date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,recovered,death,totalTestResults,percent_positive,hospitalized_percent,recovered_percent,death_percent,population,,positive_norm,hospitalized_norm,recovered_norm,,death_norm
4/13/2020,AK,277,7553,,,32,85,8,7830,3.537675607,11.55234657,30.68592058,2.888086643,731545,40,0.000378651,4.37E-05,0.000116192,40,1.09E-05
4/12/2020,AK,272,7766,,,31,66,8,8038,3.38392635,11.39705882,24.26470588,2.941176471,731545,39,0.000371816,4.24E-05,9.02E-05,39,1.09E-05
4/11/2020,AK,257,7475,,,31,63,8,7732,3.323848939,12.06225681,24.51361868,3.112840467,731545,38,0.000351311,4.24E-05,8.61E-05,38,1.09E-05
4/10/2020,AK,246,7186,,,28,55,7,7432,3.310010764,11.38211382,22.35772358,2.845528455,731545,37,0.000336275,3.83E-05,7.52E-05,37,9.57E-06
4/9/2020,AK,235,6988,,,27,49,7,7223,3.253495777,11.4893617,20.85106383,2.978723404,731545,36,0.000321238,3.69E-05,6.70E-05,36,9.57E-06
4/8/2020,AK,226,6842,,,27,32,7,7068,3.197509904,11.94690265,14.15929204,3.097345133,731545,35,0.000308935,3.69E-05,4.37E-05,35,9.57E-06
4/7/2020,AK,213,6700,,,23,29,6,6913,3.081151454,10.79812207,13.61502347,2.816901408,731545,34,0.000291165,3.14E-05,3.96E-05,34,8.20E-06
4/6/2020,AK,191,6692,,,23,,6,6883,2.774952782,12.04188482,,3.141361257,731545,33,0.000261091,3.14E-05,,33,8.20E-06
4/5/2020,AK,185,6099,,,20,,6,6284,2.943984723,10.81081081,,3.243243243,731545,32,0.000252889,2.73E-05,,32,8.20E-06
4/4/2020,AK,171,5869,,,16,,5,6040,2.831125828,9.356725146,,2.923976608,731545,31,0.000233752,2.19E-05,,31,6.83E-06
4/3/2020,AK,157,5859,,,15,,3,6016,2.609707447,9.554140127,,1.910828025,731545,30,0.000214614,2.05E-05,,30,4.10E-06
4/2/2020,AK,143,4879,,,9,,3,5022,2.847471127,6.293706294,,2.097902098,731545,29,0.000195477,1.23E-05,,29,4.10E-06
4/1/2020,AK,133,4470,,,9,,3,4603,2.889419944,6.766917293,,2.255639098,731545,28,0.000181807,1.23E-05,,28,4.10E-06
3/31/2020,AK,119,3594,,,7,,3,3713,3.204955562,5.882352941,,2.521008403,731545,27,0.000162669,9.57E-06,,27,4.10E-06
3/30/2020,AK,114,3540,,,7,,3,3654,3.119868637,6.140350877,,2.631578947,731545,26,0.000155835,9.57E-06,,26,4.10E-06
3/29/2020,AK,102,3232,,,6,,2,3334,3.059388122,5.882352941,,1.960784314,731545,25,0.000139431,8.20E-06,,25,2.73E-06
3/28/2020,AK,85,2836,,,5,,2,2921,2.909962342,5.882352941,,2.352941176,731545,24,0.000116192,6.83E-06,,24,2.73E-06
3/27/2020,AK,69,2319,13,,3,,1,2388,2.889447236,4.347826087,,1.449275362,731545,23,9.43E-05,4.10E-06,,23,1.37E-06
3/26/2020,AK,59,1801,,,3,,1,1860,3.172043011,5.084745763,,1.694915254,731545,22,8.07E-05,4.10E-06,,22,1.37E-06
3/25/2020,AK,42,1649,,,1,,1,1691,2.483737433,2.380952381,,2.380952381,731545,21,5.74E-05,1.37E-06,,21,1.37E-06
3/24/2020,AK,36,986,,,0,,,1022,3.522504892,0,,,731545,20,4.92E-05,0,,20,0.00E+00
3/23/2020,AK,22,946,,,0,,,968,2.272727273,0,,,731545,19,3.01E-05,0,,19,0.00E+00
3/22/2020,AK,22,946,,,0,,,968,2.272727273,0,,,731545,18,3.01E-05,0,,18,0.00E+00
3/21/2020,AK,14,758,,,0,,,772,1.813471503,0,,,731545,17,1.91E-05,0,,17,0.00E+00
3/20/2020,AK,12,686,,,,,,698,1.719197708,,,,731545,16,1.64E-05,,,16,0.00E+00
3/19/2020,AK,6,432,,,,,,438,1.369863014,,,,731545,15,8.20E-06,,,15,0.00E+00
3/18/2020,AK,6,406,,,,,,412,1.45631068,,,,731545,14,8.20E-06,,,14,0.00E+00
3/17/2020,AK,3,334,,,,,,337,0.890207715,,,,731545,13,4.10E-06,,,13,0.00E+00
3/16/2020,AK,1,143,,,,,,144,0.694444444,,,,731545,12,1.37E-06,,,12,0.00E+00
3/15/2020,AK,1,143,,,,,,144,0.694444444,,,,731545,11,1.37E-06,,,11,0.00E+00
3/14/2020,AK,1,143,,,,,,144,0.694444444,,,,731545,10,1.37E-06,,,10,0.00E+00
3/13/2020,AK,1,59,,,,,,60,1.666666667,,,,731545,9,1.37E-06,,,9,0.00E+00
3/12/2020,AK,0,46,14,,,,,46,0,,,,731545,8,0,,,8,0.00E+00
3/11/2020,AK,0,46,14,,,,,46,0,,,,731545,7,0,,,7,0.00E+00
3/10/2020,AK,0,23,9,,,,,23,0,,,,731545,6,0,,,6,
3/9/2020,AK,0,23,9,,,,,23,0,,,,731545,5,0,,,5,
3/8/2020,AK,0,14,6,,,,,14,0,,,,731545,4,0,,,4,
3/7/2020,AK,0,12,2,,,,,12,0,,,,731545,3,0,,,3,
3/6/2020,AK,0,8,1,,,,,8,0,,,,731545,2,0,,,2,
,,,,,,,,,,,,,,,1,,,,1,
,,,,,,,,,,,,,,,0,,,,0,
