date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,recovered,death,totalTestResults,percent_positive,hospitalized_percent,recovered_percent,death_percent,population,,positive_norm,hospitalized_norm,recovered_norm,,death_norm
4/13/2020,AL,3734,25448,,,457,,99,29182,12.79555891,12.23888591,,2.651312266,4903185,40,0.000761546,9.32E-05,,40,2.02E-05
4/12/2020,AL,3525,18058,,,437,,93,21583,16.33229857,12.39716312,,2.638297872,4903185,39,0.00071892,8.91E-05,,39,1.90E-05
4/11/2020,AL,3191,18058,,,402,,91,21249,15.01717728,12.59793168,,2.851770605,4903185,38,0.000650801,8.20E-05,,38,1.86E-05
4/10/2020,AL,2968,18058,,,368,,80,21026,14.11585656,12.39892183,,2.69541779,4903185,37,0.000605321,7.51E-05,,37,1.63E-05
4/9/2020,AL,2769,18058,,,333,,74,20827,13.29524175,12.02600217,,2.672444926,4903185,36,0.000564735,6.79E-05,,36,1.51E-05
4/8/2020,AL,2369,16753,,,314,,66,19122,12.38887146,13.25453778,,2.785985648,4903185,35,0.000483155,6.40E-05,,35,1.35E-05
4/7/2020,AL,2119,12797,,,271,,56,14916,14.20622151,12.78905144,,2.642756017,4903185,34,0.000432168,5.53E-05,,34,1.14E-05
4/6/2020,AL,1968,12797,,,240,,50,14765,13.32881815,12.19512195,,2.540650407,4903185,33,0.000401372,4.89E-05,,33,1.02E-05
4/5/2020,AL,1796,11282,,,231,,45,13078,13.7329867,12.86191537,,2.505567929,4903185,32,0.000366293,4.71E-05,,32,9.18E-06
4/4/2020,AL,1580,9273,,,212,,43,10853,14.55818668,13.41772152,,2.721518987,4903185,31,0.00032224,4.32E-05,,31,8.77E-06
4/3/2020,AL,1432,8187,,,,,35,9619,14.88720241,,,2.444134078,4903185,30,0.000292055,,,30,7.14E-06
4/2/2020,AL,1233,7503,,,,,32,8736,14.11401099,,,2.595296026,4903185,29,0.000251469,,,29,6.53E-06
4/1/2020,AL,1077,6697,,,,,26,7774,13.85387188,,,2.414113278,4903185,28,0.000219653,,,28,5.30E-06
3/31/2020,AL,981,6298,,,,,13,7279,13.47712598,,,1.325178389,4903185,27,0.000200074,,,27,2.65E-06
3/30/2020,AL,859,5694,,,,,6,6553,13.10849992,,,0.698486612,4903185,26,0.000175192,,,26,1.22E-06
3/29/2020,AL,806,4184,,,,,4,4990,16.15230461,,,0.496277916,4903185,25,0.000164383,,,25,8.16E-07
3/28/2020,AL,696,4184,,,,,3,4880,14.26229508,,,0.431034483,4903185,24,0.000141949,,,24,6.12E-07
3/27/2020,AL,587,4184,,,,,3,4771,12.30350031,,,0.511073254,4903185,23,0.000119718,,,23,6.12E-07
3/26/2020,AL,506,3593,,,,,1,4099,12.34447426,,,0.197628458,4903185,22,0.000103198,,,22,2.04E-07
3/25/2020,AL,283,2529,,,,,0,2812,10.06401138,,,0,4903185,21,5.77E-05,,,21,0
3/24/2020,AL,215,2106,,,,,0,2321,9.2632486,,,0,4903185,20,4.38E-05,,,20,0
3/23/2020,AL,167,1665,,,,,0,1832,9.115720524,,,0,4903185,19,3.41E-05,,,19,0
3/22/2020,AL,138,1464,,,,,0,1602,8.61423221,,,0,4903185,18,2.81E-05,,,18,0
3/21/2020,AL,124,28,,,,,0,152,81.57894737,,,0,4903185,17,2.53E-05,,,17,0
3/20/2020,AL,81,28,,,,,0,109,74.31192661,,,0,4903185,16,1.65E-05,,,16,0
3/19/2020,AL,68,28,,,,,0,96,70.83333333,,,0,4903185,15,1.39E-05,,,15,0
3/18/2020,AL,46,28,,,,,0,74,62.16216216,,,0,4903185,14,9.38E-06,,,14,0
3/17/2020,AL,36,28,,,,,0,64,56.25,,,0,4903185,13,7.34E-06,,,13,0
3/16/2020,AL,28,28,40,,,,0,56,50,,,0,4903185,12,5.71E-06,,,12,0
3/15/2020,AL,12,28,46,,,,0,40,30,,,0,4903185,11,2.45E-06,,,11,0
3/14/2020,AL,6,22,46,,,,,28,21.42857143,,,,4903185,10,1.22E-06,,,10,0
3/13/2020,AL,1,11,,,,,,12,8.333333333,,,,4903185,9,2.04E-07,,,9,0
3/12/2020,AL,0,10,,,,,,10,0,,,,4903185,8,0,,,8,0
3/11/2020,AL,0,10,,,,,,10,0,,,,4903185,7,0,,,7,0
3/10/2020,AL,0,0,0,,,,,0,,,,,4903185,6,0,,,6,
3/9/2020,AL,0,,,,,,,0,,,,,4903185,5,0,,,5,
3/8/2020,AL,0,,,,,,,0,,,,,4903185,4,0,,,4,
3/7/2020,AL,0,,,,,,,0,,,,,4903185,3,0,,,3,
,,,,,,,,,,,,,,,2,0,,,2,
,,,,,,,,,,,,,,,1,,,,1,
,,,,,,,,,,,,,,,0,,,,0,
