date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,recovered,death,totalTestResults,percent_positive,hospitalized_percent,recovered_percent,death_percent,population,,positive_norm,hospitalized_norm,recovered_norm,,death_norm
4/13/2020,AR,1410,19394,,74,130,391,30,20804,6.77754278,9.219858156,27.73049645,2.127659574,3017804,40,0.000467227,4.31E-05,0.000129564,40,9.94E-06
4/12/2020,AR,1280,18442,,74,130,367,27,19722,6.490213974,10.15625,28.671875,2.109375,3017804,39,0.000424149,4.31E-05,0.000121612,39,8.95E-06
4/11/2020,AR,1226,17352,,86,130,340,24,18578,6.599203359,10.60358891,27.7324633,1.957585644,3017804,38,0.000406256,4.31E-05,0.000112665,38,7.95E-06
4/10/2020,AR,1171,15949,,86,130,312,23,17120,6.839953271,11.10162254,26.64389411,1.964133219,3017804,37,0.000388031,4.31E-05,0.000103386,37,7.62E-06
4/9/2020,AR,1119,13832,,73,130,288,21,14951,7.484449201,11.61751564,25.73726542,1.876675603,3017804,36,0.000370799,4.31E-05,9.54E-05,36,6.96E-06
4/8/2020,AR,1000,13530,,76,130,208,18,14530,6.882312457,13,20.8,1.8,3017804,35,0.000331367,4.31E-05,6.89E-05,35,5.96E-06
4/7/2020,AR,946,12692,,74,148,142,16,13638,6.936500953,15.6448203,15.01057082,1.691331924,3017804,34,0.000313473,4.90E-05,4.71E-05,34,5.30E-06
4/6/2020,AR,875,11970,,74,137,102,16,12845,6.811989101,15.65714286,11.65714286,1.828571429,3017804,33,0.000289946,4.54E-05,3.38E-05,33,5.30E-06
4/5/2020,AR,830,10412,,67,130,97,16,11242,7.383027931,15.6626506,11.68674699,1.927710843,3017804,32,0.000275034,4.31E-05,3.21E-05,32,5.30E-06
4/4/2020,AR,743,9627,,72,106,79,14,10370,7.164898746,14.26648721,10.63257066,1.884253028,3017804,31,0.000246206,3.51E-05,2.62E-05,31,4.64E-06
4/3/2020,AR,704,8995,,71,105,60,12,9699,7.258480256,14.91477273,8.522727273,1.704545455,3017804,30,0.000233282,3.48E-05,1.99E-05,30,3.98E-06
4/2/2020,AR,643,7880,,66,100,47,12,8523,7.544291916,15.55209953,7.309486781,1.866251944,3017804,29,0.000213069,3.31E-05,1.56E-05,29,3.98E-06
4/1/2020,AR,584,7354,,56,90,42,10,7938,7.357016881,15.4109589,7.191780822,1.712328767,3017804,28,0.000193518,2.98E-05,1.39E-05,28,3.31E-06
3/31/2020,AR,523,5959,,64,,35,8,6482,8.068497377,12.23709369,6.692160612,1.529636711,3017804,27,0.000173305,2.12E-05,1.16E-05,27,2.65E-06
3/30/2020,AR,473,5262,,62,,29,7,5735,8.247602441,13.10782241,6.131078224,1.479915433,3017804,26,0.000156736,2.05E-05,9.61E-06,26,2.32E-06
3/29/2020,AR,426,3027,,43,,28,6,3453,12.33709818,10.09389671,6.572769953,1.408450704,3017804,25,0.000141162,1.42E-05,9.28E-06,25,1.99E-06
3/28/2020,AR,404,2938,,48,,24,5,3342,12.08856972,11.88118812,5.940594059,1.237623762,3017804,24,0.000133872,1.59E-05,7.95E-06,24,1.66E-06
3/27/2020,AR,381,1545,,48,,19,3,1926,19.78193146,12.5984252,4.98687664,0.787401575,3017804,23,0.000126251,1.59E-05,6.30E-06,23,9.94E-07
3/26/2020,AR,335,1504,,41,,13,3,1839,18.21642197,12.23880597,3.880597015,0.895522388,3017804,22,0.000111008,1.36E-05,4.31E-06,22,9.94E-07
3/25/2020,AR,280,1437,,22,,11,2,1717,16.3075131,7.857142857,3.928571429,0.714285714,3017804,21,9.28E-05,7.29E-06,3.65E-06,21,6.63E-07
3/24/2020,AR,218,947,,22,,,0,1165,18.71244635,10.09174312,,0,3017804,20,7.22E-05,7.29E-06,,20,0
3/23/2020,AR,174,906,,13,,,0,1080,16.11111111,7.471264368,,0,3017804,19,5.77E-05,4.31E-06,,19,0
3/22/2020,AR,165,711,119,13,,,0,876,18.83561644,7.878787879,,0,3017804,18,5.47E-05,4.31E-06,,18,0
3/21/2020,AR,118,567,154,,,,,685,17.22627737,,,,3017804,17,3.91E-05,,,17,0
3/20/2020,AR,96,351,203,,,,,447,21.47651007,,,,3017804,16,3.18E-05,,,16,0
3/19/2020,AR,46,310,113,,,,,356,12.92134831,,,,3017804,15,1.52E-05,,,15,0
3/18/2020,AR,33,236,50,,,,,269,12.26765799,,,,3017804,14,1.09E-05,,,14,0
3/17/2020,AR,22,197,41,,,,,219,10.0456621,,,,3017804,13,7.29E-06,,,13,0
3/16/2020,AR,22,132,14,,,,,154,14.28571429,,,,3017804,12,7.29E-06,,,12,0
3/15/2020,AR,16,103,30,,,,,119,13.44537815,,,,3017804,11,5.30E-06,,,11,0
3/14/2020,AR,12,65,26,,,,,77,15.58441558,,,,3017804,10,3.98E-06,,,10,0
3/13/2020,AR,9,30,22,,,,,39,23.07692308,,,,3017804,9,2.98E-06,,,9,0
3/12/2020,AR,6,24,20,,,,,30,20,,,,3017804,8,1.99E-06,,,8,0
3/11/2020,AR,0,12,14,,,,,12,0,,,,3017804,7,0,,,7,0
3/10/2020,AR,0,12,3,,,,,12,0,,,,3017804,6,0,,,6,
3/9/2020,AR,0,12,0,,,,,12,0,,,,3017804,5,0,,,5,
3/8/2020,AR,0,6,0,,,,,6,0,,,,3017804,4,0,,,4,
3/7/2020,AR,0,6,0,,,,,6,0,,,,3017804,3,0,,,3,
3/6/2020,AR,0,6,0,,,,,6,0,,,,3017804,2,0,,,2,
,,,,,,,,,,,,,,,1,,,,1,
,,,,,,,,,,,,,,,0,,,,0,
