date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,recovered,death,totalTestResults,percent_positive,hospitalized_percent,recovered_percent,death_percent,population,,positive_norm,hospitalized_norm,recovered_norm,,death_norm
4/13/2020,AZ,3702,39645,,525,,,122,43347,8.540383418,14.1815235,,3.295515937,7278717,40,0.000508606,7.21E-05,,40,1.68E-05
4/12/2020,AZ,3539,38570,,,,,115,42109,8.404379111,,,3.24950551,7278717,39,0.000486212,,,39,1.58E-05
4/11/2020,AZ,3393,37137,,,,,108,40530,8.37157661,,,3.183023873,7278717,38,0.000466154,,,38,1.48E-05
4/10/2020,AZ,3112,34622,,,,,97,37734,8.247204113,,,3.116966581,7278717,37,0.000427548,,,37,1.33E-05
4/9/2020,AZ,3018,34160,,,,,89,37178,8.117704019,,,2.94897283,7278717,36,0.000414634,,,36,1.22E-05
4/8/2020,AZ,2726,31838,,,,,80,34564,7.886818655,,,2.934702861,7278717,35,0.000374517,,,35,1.10E-05
4/7/2020,AZ,2575,30800,,,,,73,33375,7.715355805,,,2.834951456,7278717,34,0.000353771,,,34,1.00E-05
4/6/2020,AZ,2456,30078,,,,,65,32534,7.549025635,,,2.646579805,7278717,33,0.000337422,,,33,8.93E-06
4/5/2020,AZ,2269,25141,,,,,64,27410,8.27800073,,,2.820625826,7278717,32,0.000311731,,,32,8.79E-06
4/4/2020,AZ,2019,25141,,,,,52,27160,7.433726068,,,2.575532442,7278717,31,0.000277384,,,31,7.14E-06
4/3/2020,AZ,1769,22904,,,,,41,24673,7.169780732,,,2.317693612,7278717,30,0.000243037,,,30,5.63E-06
4/2/2020,AZ,1598,21111,,,,,32,22709,7.036857634,,,2.002503129,7278717,29,0.000219544,,,29,4.40E-06
4/1/2020,AZ,1413,19645,,,,,29,21058,6.71003894,,,2.052370842,7278717,28,0.000194128,,,28,3.98E-06
3/31/2020,AZ,1289,18082,,,,,24,19371,6.654277012,,,1.861908456,7278717,27,0.000177092,,,27,3.30E-06
3/30/2020,AZ,1157,15602,,,,,20,16759,6.903753207,,,1.72860847,7278717,26,0.000158957,,,26,2.75E-06
3/29/2020,AZ,919,12953,,,,,17,13872,6.624855825,,,1.849836779,7278717,25,0.000126259,,,25,2.34E-06
3/28/2020,AZ,873,7455,21,,,,15,8328,10.48270893,,,1.718213058,7278717,24,0.000119939,,,24,2.06E-06
3/27/2020,AZ,736,7455,30,,,,13,8191,8.985471859,,,1.766304348,7278717,23,0.000101117,,,23,1.79E-06
3/26/2020,AZ,577,347,33,,,,8,924,62.44588745,,,1.386481802,7278717,22,7.93E-05,,,22,1.10E-06
3/25/2020,AZ,450,323,53,,,,6,773,58.21474774,,,1.333333333,7278717,21,6.18E-05,,,21,8.24E-07
3/24/2020,AZ,357,313,22,,,,5,670,53.28358209,,,1.400560224,7278717,20,4.90E-05,,,20,6.87E-07
3/23/2020,AZ,265,309,6,,,,2,574,46.16724739,,,0.754716981,7278717,19,3.64E-05,,,19,2.75E-07
3/22/2020,AZ,152,282,87,,,,2,434,35.02304147,,,1.315789474,7278717,18,2.09E-05,,,18,2.75E-07
3/21/2020,AZ,104,240,122,,,,1,344,30.23255814,,,0.961538462,7278717,17,1.43E-05,,,17,1.37E-07
3/20/2020,AZ,65,211,101,,,,0,276,23.55072464,,,0,7278717,16,8.93E-06,,,16,0
3/19/2020,AZ,44,175,130,,,,0,219,20.0913242,,,0,7278717,15,6.05E-06,,,15,0
3/18/2020,AZ,28,148,102,,,,0,176,15.90909091,,,0,7278717,14,3.85E-06,,,14,0
3/17/2020,AZ,20,142,66,,,,0,162,12.34567901,,,0,7278717,13,2.75E-06,,,13,0
3/16/2020,AZ,18,125,63,,,,0,143,12.58741259,,,0,7278717,12,2.47E-06,,,12,0
3/15/2020,AZ,12,121,50,,,,0,133,9.022556391,,,0,7278717,11,1.65E-06,,,11,0
3/14/2020,AZ,12,121,50,,,,0,133,9.022556391,,,0,7278717,10,1.65E-06,,,10,0
3/13/2020,AZ,9,94,40,,,,0,103,8.737864078,,,0,7278717,9,1.24E-06,,,9,0
3/12/2020,AZ,9,82,24,,,,,91,9.89010989,,,,7278717,8,1.24E-06,,,8,0
3/11/2020,AZ,9,59,32,,,,,68,13.23529412,,,,7278717,7,1.24E-06,,,7,0
3/10/2020,AZ,6,51,27,,,,,57,10.52631579,,,,7278717,6,8.24E-07,,,6,
3/9/2020,AZ,5,44,7,,,,,49,10.20408163,,,,7278717,5,6.87E-07,,,5,
3/8/2020,AZ,5,44,7,,,,,49,10.20408163,,,,7278717,4,6.87E-07,,,4,
3/7/2020,AZ,5,44,7,,,,,49,10.20408163,,,,7278717,3,6.87E-07,,,3,
3/6/2020,AZ,3,33,15,,,,,36,8.333333333,,,,7278717,2,4.12E-07,,,2,
3/5/2020,AZ,2,28,6,,,,,30,6.666666667,,,,7278717,1,2.75E-07,,,1,
3/4/2020,AZ,2,27,5,,,,,29,6.896551724,,,,7278717,0,2.75E-07,,,0,
