date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,recovered,death,totalTestResults,percent_positive,hospitalized_percent,recovered_percent,death_percent,population,,positive_norm,hospitalized_norm,recovered_norm,,death_norm
4/13/2020,CA,22348,168534,13200,3015,,,687,190882,11.70775662,13.49114015,,3.074100591,39512223,40,0.000565597,7.63E-05,,40,1.74E-05
4/12/2020,CA,21794,168534,13200,5234,,,651,190328,11.45075869,24.01578416,,2.987060659,39512223,39,0.000551576,0.000132465,,39,1.65E-05
4/11/2020,CA,19472,152604,13200,5236,,,541,172076,11.31593017,26.88989318,,2.778348398,39512223,38,0.00049281,0.000132516,,38,1.37E-05
4/10/2020,CA,19472,145391,13900,2897,,,541,164863,11.81101885,14.87777321,,2.778348398,39512223,37,0.00049281,7.33E-05,,37,1.37E-05
4/9/2020,CA,18309,145191,14100,2825,,,492,163500,11.19816514,15.42957016,,2.687203015,39512223,36,0.000463376,7.15E-05,,36,1.25E-05
4/8/2020,CA,16957,127307,14600,2714,,,442,144264,11.75414518,16.0051896,,2.606593147,39512223,35,0.000429158,6.87E-05,,35,1.12E-05
4/7/2020,CA,15865,115364,14100,2611,,,374,131229,12.08955338,16.45761109,,2.357390482,39512223,34,0.000401521,6.61E-05,,34,9.47E-06
4/6/2020,CA,14336,103095,15000,2509,,,343,117431,12.20802003,17.50139509,,2.392578125,39512223,33,0.000362824,6.35E-05,,33,8.68E-06
4/5/2020,CA,13438,103095,15000,2398,,,319,116533,11.53149752,17.8449174,,2.373865159,39512223,32,0.000340097,6.07E-05,,32,8.07E-06
4/4/2020,CA,12026,101674,13000,2300,,,276,113700,10.5769569,19.12522867,,2.295027441,39512223,31,0.000304362,5.82E-05,,31,6.99E-06
4/3/2020,CA,10701,24599,59500,2188,,,237,35300,30.31444759,20.44668723,,2.214746285,39512223,30,0.000270828,5.54E-05,,30,6.00E-06
4/2/2020,CA,9191,23809,59500,1922,,,203,33000,27.85151515,20.91176151,,2.208682407,39512223,29,0.000232612,4.86E-05,,29,5.14E-06
4/1/2020,CA,8155,21772,57400,1855,,,171,29927,27.24964079,22.74678112,,2.096873084,39512223,28,0.000206392,4.69E-05,,28,4.33E-06
3/31/2020,CA,7482,21772,57400,1617,,,153,29254,25.57598961,21.61186848,,2.044907779,39512223,27,0.000189359,4.09E-05,,27,3.87E-06
3/30/2020,CA,6447,20549,64400,1432,,,133,26996,23.88131575,22.2118815,,2.062975027,39512223,26,0.000163165,3.62E-05,,26,3.37E-06
3/29/2020,CA,5708,20549,64400,1034,,,123,26257,21.73896485,18.11492642,,2.154870357,39512223,25,0.000144462,2.62E-05,,25,3.11E-06
3/28/2020,CA,4643,20549,64400,1034,,,101,25192,18.43045411,22.270084,,2.175317683,39512223,24,0.000117508,2.62E-05,,24,2.56E-06
3/27/2020,CA,3879,17380,57400,746,,,78,21259,18.24638976,19.23176076,,2.010827533,39512223,23,9.82E-05,1.89E-05,,23,1.97E-06
3/26/2020,CA,3006,17380,57400,,,,65,20386,14.74541352,,,2.162341983,39512223,22,7.61E-05,,,22,1.65E-06
3/25/2020,CA,2355,15921,48600,,,,53,18276,12.88575181,,,2.250530786,39512223,21,5.96E-05,,,21,1.34E-06
3/24/2020,CA,2102,13452,12100,,,,40,15554,13.51420856,,,1.902949572,39512223,20,5.32E-05,,,20,1.01E-06
3/23/2020,CA,1733,12567,12100,,,,27,14300,12.11888112,,,1.557991922,39512223,19,4.39E-05,,,19,6.83E-07
3/22/2020,CA,1536,11304,,,,,27,12840,11.96261682,,,1.7578125,39512223,18,3.89E-05,,,18,6.83E-07
3/21/2020,CA,1279,11249,,,,,24,12528,10.20913155,,,1.876465989,39512223,17,3.24E-05,,,17,6.07E-07
3/20/2020,CA,1063,10424,,,,,20,11487,9.253939236,,,1.881467545,39512223,16,2.69E-05,,,16,5.06E-07
3/19/2020,CA,924,8787,,,,,18,9711,9.514983009,,,1.948051948,39512223,15,2.34E-05,,,15,4.56E-07
3/18/2020,CA,611,7981,,,,,13,8592,7.111266294,,,2.127659574,39512223,14,1.55E-05,,,14,3.29E-07
3/17/2020,CA,483,7981,,,,,11,8464,5.706521739,,,2.277432712,39512223,13,1.22E-05,,,13,2.78E-07
3/16/2020,CA,335,7981,,,,,6,8316,4.028379028,,,1.791044776,39512223,12,8.48E-06,,,12,1.52E-07
3/15/2020,CA,293,916,,,,,5,1209,24.23490488,,,1.706484642,39512223,11,7.42E-06,,,11,1.27E-07
3/14/2020,CA,252,916,,,,,5,1168,21.57534247,,,1.984126984,39512223,10,6.38E-06,,,10,1.27E-07
3/13/2020,CA,202,916,,,,,4,1118,18.06797853,,,1.98019802,39512223,9,5.11E-06,,,9,1.01E-07
3/12/2020,CA,202,916,,,,,4,1118,18.06797853,,,1.98019802,39512223,8,5.11E-06,,,8,1.01E-07
3/11/2020,CA,157,916,,,,,,1073,14.63187325,,,,39512223,7,3.97E-06,,,7,0.00E+00
3/10/2020,CA,133,690,,,,,,823,16.16038882,,,,39512223,6,3.37E-06,,,6,
3/9/2020,CA,114,690,,,,,,804,14.17910448,,,,39512223,5,2.89E-06,,,5,
3/8/2020,CA,88,462,,,,,,550,16,,,,39512223,4,2.23E-06,,,4,
3/7/2020,CA,69,462,,,,,,531,12.99435028,,,,39512223,3,1.75E-06,,,3,
3/6/2020,CA,60,462,,,,,,522,11.49425287,,,,39512223,2,1.52E-06,,,2,
3/5/2020,CA,53,462,,,,,,515,10.29126214,,,,,1,,,,1,
3/4/2020,CA,53,462,,,,,,515,10.29126214,,,,,0,,,,0,
