date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,recovered,death,totalTestResults,percent_positive,hospitalized_percent,recovered_percent,death_percent,population,,positive_norm,hospitalized_norm,recovered_norm,,death_norm
4/13/2020,CO,7684,29850,,,1472,,304,37534,20.47210529,19.15668922,,3.956272775,5758736,40,0.001334321,0.000255612,,40,5.28E-05
4/12/2020,CO,6893,27980,,,1376,,274,34873,19.76600809,19.96228057,,3.975047149,5758736,39,0.001196964,0.000238941,,39,4.76E-05
4/11/2020,CO,6510,26143,,,1312,,250,32653,19.93691238,20.15360983,,3.840245776,5758736,38,0.001130456,0.000227828,,38,4.34E-05
4/10/2020,CO,6510,26143,,,1312,,250,32653,19.93691238,20.15360983,,3.840245776,5758736,37,0.001130456,0.000227828,,37,4.34E-05
4/9/2020,CO,5655,23544,,,1162,,193,29199,19.36710161,20.54818744,,3.41290893,5758736,36,0.000981986,0.00020178,,36,3.35E-05
4/8/2020,CO,5429,22665,,,1079,,179,28094,19.32441091,19.87474673,,3.297108123,5758736,35,0.000942742,0.000187368,,35,3.11E-05
4/7/2020,CO,5172,21703,,,994,,150,26875,19.24465116,19.21887084,,2.900232019,5758736,34,0.000898114,0.000172607,,34,2.60E-05
4/6/2020,CO,4950,20823,,,924,,140,25773,19.20614597,18.66666667,,2.828282828,5758736,33,0.000859564,0.000160452,,33,2.43E-05
4/5/2020,CO,4565,19335,,,875,,126,23900,19.10041841,19.16757941,,2.760131435,5758736,32,0.000792709,0.000151943,,32,2.19E-05
4/4/2020,CO,4173,17898,,,823,,111,22071,18.90716325,19.72202253,,2.659956866,5758736,31,0.000724638,0.000142913,,31,1.93E-05
4/3/2020,CO,3728,16683,,,710,,97,20411,18.26466121,19.04506438,,2.60193133,5758736,30,0.000647364,0.000123291,,30,1.68E-05
4/2/2020,CO,3342,15303,,,620,,80,18645,17.92437651,18.55176541,,2.393776182,5758736,29,0.000580336,0.000107663,,29,1.39E-05
4/1/2020,CO,2966,13883,,,509,,69,16849,17.6034186,17.16115981,,2.326365475,5758736,28,0.000515044,8.84E-05,,28,1.20E-05
3/31/2020,CO,2627,12737,,,414,,51,15364,17.09841187,15.75942139,,1.941377998,5758736,27,0.000456176,7.19E-05,,27,8.86E-06
3/30/2020,CO,2627,12737,,,414,,51,15364,17.09841187,15.75942139,,1.941377998,5758736,26,0.000456176,7.19E-05,,26,8.86E-06
3/29/2020,CO,2061,11215,,,274,,44,13276,15.52425429,13.29451722,,2.134885978,5758736,25,0.000357891,4.76E-05,,25,7.64E-06
3/28/2020,CO,1734,9942,,,239,,31,11676,14.85097636,13.78316032,,1.787773933,5758736,24,0.000301108,4.15E-05,,24,5.38E-06
3/27/2020,CO,1430,8692,,,184,,24,10122,14.12764276,12.86713287,,1.678321678,5758736,23,0.000248318,3.20E-05,,23,4.17E-06
3/26/2020,CO,1086,6978,,,148,,19,8064,13.4672619,13.62799263,,1.749539595,5758736,22,0.000188583,2.57E-05,,22,3.30E-06
3/25/2020,CO,912,6789,,,84,,11,7701,11.84261784,9.210526316,,1.206140351,5758736,21,0.000158368,1.46E-05,,21,1.91E-06
3/24/2020,CO,720,5504,,,72,,7,6224,11.56812339,10,,0.972222222,5758736,20,0.000125027,1.25E-05,,20,1.22E-06
3/23/2020,CO,591,4845,,,58,,6,5436,10.87196468,9.813874788,,1.015228426,5758736,19,0.000102627,1.01E-05,,19,1.04E-06
3/22/2020,CO,475,4075,,,49,,5,4550,10.43956044,10.31578947,,1.052631579,5758736,18,8.25E-05,8.51E-06,,18,8.68E-07
3/21/2020,CO,363,3317,,,44,,4,3680,9.864130435,12.12121212,,1.101928375,5758736,17,6.30E-05,7.64E-06,,17,6.95E-07
3/20/2020,CO,277,2675,,,,,3,2952,9.383468835,,,1.083032491,5758736,16,4.81E-05,,,16,5.21E-07
3/19/2020,CO,216,2112,,,,,2,2328,9.278350515,,,0.925925926,5758736,15,3.75E-05,,,15,3.47E-07
3/18/2020,CO,183,1617,,,,,2,1800,10.16666667,,,1.092896175,5758736,14,3.18E-05,,,14,3.47E-07
3/17/2020,CO,160,1056,,,,,1,1216,13.15789474,,,0.625,5758736,13,2.78E-05,,,13,1.74E-07
3/16/2020,CO,131,627,,,,,1,758,17.2823219,,,0.763358779,5758736,12,2.27E-05,,,12,1.74E-07
3/15/2020,CO,131,627,,,,,1,758,17.2823219,,,0.763358779,5758736,11,2.27E-05,,,11,1.74E-07
3/14/2020,CO,101,610,,,,,1,711,14.20534459,,,0.99009901,5758736,10,1.75E-05,,,10,1.74E-07
3/13/2020,CO,72,524,,,,,,596,12.08053691,,,,5758736,9,1.25E-05,,,9,0.00E+00
3/12/2020,CO,45,298,,,,,,343,13.11953353,,,,5758736,8,7.81E-06,,,8,0.00E+00
3/11/2020,CO,28,251,,,,,,279,10.03584229,,,,5758736,7,4.86E-06,,,7,0.00E+00
3/10/2020,CO,12,142,1,,,,,154,7.792207792,,,,5758736,6,2.08E-06,,,6,
3/9/2020,CO,9,133,,,,,,142,6.338028169,,,,5758736,5,1.56E-06,,,5,
3/8/2020,CO,8,104,,,,,,112,7.142857143,,,,5758736,4,1.39E-06,,,4,
3/7/2020,CO,8,55,69,,,,,63,12.6984127,,,,5758736,3,1.39E-06,,,3,
3/6/2020,CO,2,46,30,,,,,48,4.166666667,,,,5758736,2,3.47E-07,,,2,
3/5/2020,CO,0,19,21,,,,,19,0,,,,5758736,1,0,,,1,
,,,,,,,,,,,,,,,0,,,,0,
