date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,recovered,death,totalTestResults,percent_positive,hospitalized_percent,recovered_percent,death_percent,population,,positive_norm,hospitalized_norm,recovered_norm,,death_norm
4/13/2020,CT,13381,30928,,1760,,,602,44309,30.19928231,13.1529781,,4.498916374,3565287,40,0.003753134,0.000493649,,40,0.00016885
4/12/2020,CT,12035,29185,,1654,,,554,41220,29.19699175,13.74324886,,4.603240548,3565287,39,0.003375605,0.000463918,,39,0.000155387
4/11/2020,CT,11510,28321,,1593,,,494,39831,28.89709021,13.84013901,,4.29192007,3565287,38,0.003228352,0.000446808,,38,0.000138558
4/10/2020,CT,10538,25750,,1562,,,448,36288,29.039903,14.82254697,,4.251281078,3565287,37,0.002955723,0.000438113,,37,0.000125656
4/9/2020,CT,9784,23718,,1464,,,380,33502,29.20422661,14.96320523,,3.883892069,3565287,36,0.002744239,0.000410626,,36,0.000106583
4/8/2020,CT,7781,21255,,1308,,,277,29036,26.79776829,16.81017864,,3.559953733,3565287,35,0.002182433,0.000366871,,35,7.77E-05
4/7/2020,CT,7781,21255,,1308,,,277,29036,26.79776829,16.81017864,,3.559953733,3565287,34,0.002182433,0.000366871,,34,7.77E-05
4/6/2020,CT,6906,19780,,1221,,,206,26686,25.87873792,17.68027802,,2.982913409,3565287,33,0.001937011,0.000342469,,33,5.78E-05
4/5/2020,CT,5675,17595,,1142,,,189,23270,24.38762355,20.12334802,,3.330396476,3565287,32,0.001591737,0.000320311,,32,5.30E-05
4/4/2020,CT,5276,16753,,1033,,,165,22029,23.9502474,19.57922669,,3.127369219,3565287,31,0.001479825,0.000289738,,31,4.63E-05
4/3/2020,CT,4914,15101,,909,,,131,20015,24.55158631,18.4981685,,2.665852666,3565287,30,0.00137829,0.000254958,,30,3.67E-05
4/2/2020,CT,3824,14476,,827,,,112,18300,20.89617486,21.62656904,,2.928870293,3565287,29,0.001072564,0.000231959,,29,3.14E-05
4/1/2020,CT,3557,13043,,766,,,85,16600,21.42771084,21.53500141,,2.389654203,3565287,28,0.000997676,0.000214849,,28,2.38E-05
3/31/2020,CT,3128,13029,,608,,,69,16157,19.36002971,19.43734015,,2.205882353,3565287,27,0.000877349,0.000170533,,27,1.94E-05
3/30/2020,CT,2571,12029,,517,,,36,14600,17.60958904,20.10890704,,1.400233372,3565287,26,0.00072112,0.000145009,,26,1.01E-05
3/29/2020,CT,1993,9907,,404,,,34,11900,16.74789916,20.27094832,,1.705970898,3565287,25,0.000559001,0.000113315,,25,9.54E-06
3/28/2020,CT,1291,7109,,173,,,27,8400,15.36904762,13.40046476,,2.091402014,3565287,24,0.000362103,4.85E-05,,24,7.57E-06
3/27/2020,CT,1291,7109,,173,,,27,8400,15.36904762,13.40046476,,2.091402014,3565287,23,0.000362103,4.85E-05,,23,7.57E-06
3/26/2020,CT,1012,5625,,125,,,21,6637,15.24785295,12.35177866,,2.075098814,3565287,22,0.000283848,3.51E-05,,22,5.89E-06
3/25/2020,CT,875,5023,,113,,,19,5898,14.83553747,12.91428571,,2.171428571,3565287,21,0.000245422,3.17E-05,,21,5.33E-06
3/24/2020,CT,618,4682,,71,,,12,5300,11.66037736,11.48867314,,1.941747573,3565287,20,0.000173338,1.99E-05,,20,3.37E-06
3/23/2020,CT,415,4085,,54,,,10,4500,9.222222222,13.01204819,,2.409638554,3565287,19,0.0001164,1.51E-05,,19,2.80E-06
3/22/2020,CT,223,2877,,43,,,5,3100,7.193548387,19.28251121,,2.242152466,3565287,18,6.25E-05,1.21E-05,,18,1.40E-06
3/21/2020,CT,194,2106,,,,,4,2300,8.434782609,,,2.06185567,3565287,17,5.44E-05,,,17,1.12E-06
3/20/2020,CT,194,604,,,,,3,798,24.31077694,,,1.546391753,3565287,16,5.44E-05,,,16,8.41E-07
3/19/2020,CT,96,604,,,,,1,700,13.71428571,,,1.041666667,3565287,15,2.69E-05,,,15,2.80E-07
3/18/2020,CT,68,125,,,,,,193,35.23316062,,,,3565287,14,1.91E-05,,,14,0.00E+00
3/17/2020,CT,41,125,,,,,,166,24.69879518,,,,3565287,13,1.15E-05,,,13,0.00E+00
3/16/2020,CT,26,125,,,,,,151,17.21854305,,,,3565287,12,7.29E-06,,,12,0.00E+00
3/15/2020,CT,20,125,,,,,,145,13.79310345,,,,3565287,11,5.61E-06,,,11,0.00E+00
3/14/2020,CT,11,125,,,,,,136,8.088235294,,,,3565287,10,3.09E-06,,,10,0.00E+00
3/13/2020,CT,6,99,,,,,,105,5.714285714,,,,3565287,9,1.68E-06,,,9,0.00E+00
3/12/2020,CT,6,89,,,,,,95,6.315789474,,,,3565287,8,1.68E-06,,,8,0.00E+00
3/11/2020,CT,3,71,,,,,,74,4.054054054,,,,3565287,7,8.41E-07,,,7,0.00E+00
3/10/2020,CT,2,54,,,,,,56,3.571428571,,,,3565287,6,5.61E-07,,,6,
3/9/2020,CT,1,46,,,,,,47,2.127659574,,,,3565287,5,2.80E-07,,,5,
3/8/2020,CT,1,29,8,,,,,30,3.333333333,,,,3565287,4,2.80E-07,,,4,
3/7/2020,CT,0,,,,,,,0,,,,,3565287,3,0,,,3,
,,,,,,,,,,,,,,,2,0.00E+00,,,2,
,,,,,,,,,,,,,,,1,,,,1,
,,,,,,,,,,,,,,,0,,,,0,
