date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,recovered,death,totalTestResults,percent_positive,hospitalized_percent,recovered_percent,death_percent,population,,positive_norm,hospitalized_norm,recovered_norm,,death_norm
4/13/2020,DC,1955,8979,,295,,507,53,10934,17.88000732,15.08951407,25.93350384,2.710997442,705749,40,0.002770107,0.000417996,0.000718386,40,7.51E-05
4/12/2020,DC,1875,8765,,,,493,50,10640,17.62218045,,26.29333333,2.666666667,705749,39,0.002656752,,0.000698549,39,7.08E-05
4/11/2020,DC,1778,8261,,,,447,47,10039,17.71092738,,25.14060742,2.643419573,705749,38,0.002519309,,0.00063337,38,6.66E-05
4/10/2020,DC,1660,7695,,,,426,38,9355,17.74452165,,25.6626506,2.289156627,705749,37,0.002352111,,0.000603614,37,5.38E-05
4/9/2020,DC,1523,7201,,,,393,32,8724,17.45758826,,25.80433355,2.101116218,705749,36,0.002157991,,0.000556855,36,4.53E-05
4/8/2020,DC,1440,6843,,,,361,27,8283,17.38500543,,25.06944444,1.875,705749,35,0.002040385,,0.000511513,35,3.83E-05
4/7/2020,DC,1211,6612,,,,318,22,7823,15.47999489,,26.25928984,1.816680429,705749,34,0.001715907,,0.000450585,34,3.12E-05
4/6/2020,DC,1097,6356,,,,287,24,7453,14.71890514,,26.16226071,2.187784868,705749,33,0.001554377,,0.00040666,33,3.40E-05
4/5/2020,DC,998,5836,,,,258,22,6834,14.60345332,,25.85170341,2.204408818,705749,32,0.0014141,,0.000365569,32,3.12E-05
4/4/2020,DC,902,5536,,,,235,21,6438,14.01056229,,26.05321508,2.328159645,705749,31,0.001278075,,0.00033298,31,2.98E-05
4/3/2020,DC,757,4827,,,,206,15,5584,13.55659026,,27.21268164,1.981505945,705749,30,0.001072619,,0.000291888,30,2.13E-05
4/2/2020,DC,653,4417,,,,173,12,5070,12.87968442,,26.49310873,1.837672282,705749,29,0.000925258,,0.00024513,29,1.70E-05
4/1/2020,DC,586,3262,2,,,142,11,3848,15.22869023,,24.23208191,1.877133106,705749,28,0.000830324,,0.000201205,28,1.56E-05
3/31/2020,DC,495,3262,2,,,121,9,3757,13.17540591,,24.44444444,1.818181818,705749,27,0.000701383,,0.000171449,27,1.28E-05
3/30/2020,DC,401,2682,2,,,106,9,3083,13.00681155,,26.43391521,2.244389027,705749,26,0.000568191,,0.000150195,26,1.28E-05
3/29/2020,DC,342,2469,1,,,66,5,2811,12.16648879,,19.29824561,1.461988304,705749,25,0.000484592,,9.35E-05,25,7.08E-06
3/28/2020,DC,304,2211,1,,,51,4,2515,12.08747515,,16.77631579,1.315789474,705749,24,0.000430748,,7.23E-05,24,5.67E-06
3/27/2020,DC,267,1897,2,,,49,3,2164,12.33826248,,18.35205993,1.123595506,705749,23,0.000378321,,6.94E-05,23,4.25E-06
3/26/2020,DC,231,1626,1,,,21,3,1857,12.43941842,,9.090909091,1.298701299,705749,22,0.000327312,,2.98E-05,22,4.25E-06
3/25/2020,DC,183,1423,3,,,,2,1606,11.39476961,,,1.092896175,705749,21,0.000259299,,,21,2.83E-06
3/24/2020,DC,137,1195,2,,,,2,1332,10.28528529,,,1.459854015,705749,20,0.00019412,,,20,2.83E-06
3/23/2020,DC,116,1113,,,,,2,1229,9.438567941,,,1.724137931,705749,19,0.000164364,,,19,2.83E-06
3/22/2020,DC,98,957,,,,,1,1055,9.289099526,,,1.020408163,705749,18,0.00013886,,,18,1.42E-06
3/21/2020,DC,77,506,0,,,,1,583,13.20754717,,,1.298701299,705749,17,0.000109104,,,17,1.42E-06
3/20/2020,DC,71,501,1,,,,1,572,12.41258741,,,1.408450704,705749,16,0.000100602,,,16,1.42E-06
3/19/2020,DC,39,153,11,,,,0,192,20.3125,,,0,705749,15,5.53E-05,,,15,0
3/18/2020,DC,31,138,1,,,,,169,18.34319527,,,,705749,14,4.39E-05,,,14,0.00E+00
3/17/2020,DC,22,104,0,,,,,126,17.46031746,,,,705749,13,3.12E-05,,,13,0.00E+00
3/16/2020,DC,17,96,7,,,,,113,15.04424779,,,,705749,12,2.41E-05,,,12,0.00E+00
3/15/2020,DC,16,79,20,,,,,95,16.84210526,,,,705749,11,2.27E-05,,,11,0.00E+00
3/14/2020,DC,10,49,10,,,,,59,16.94915254,,,,705749,10,1.42E-05,,,10,0.00E+00
3/13/2020,DC,10,20,,,,,,30,33.33333333,,,,705749,9,1.42E-05,,,9,0.00E+00
3/12/2020,DC,10,20,,,,,,30,33.33333333,,,,705749,8,1.42E-05,,,8,0.00E+00
3/11/2020,DC,5,20,15,,,,,25,20,,,,705749,7,7.08E-06,,,7,0.00E+00
3/10/2020,DC,5,17,2,,,,,22,22.72727273,,,,705749,6,7.08E-06,,,6,
3/9/2020,DC,1,14,3,,,,,15,6.666666667,,,,705749,5,1.42E-06,,,5,
3/8/2020,DC,1,10,0,,,,,11,9.090909091,,,,705749,4,1.42E-06,,,4,
3/7/2020,DC,0,8,1,,,,,8,0,,,,705749,3,0,,,3,
3/6/2020,DC,0,8,1,,,,,8,0,,,,705749,2,0,,,2,
3/5/2020,DC,0,6,2,,,,,6,0,,,,705749,1,0,,,1,
,,,,,,,,,,,,,,,0,,,,0,
