date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,recovered,death,totalTestResults,percent_positive,hospitalized_percent,recovered_percent,death_percent,population,,positive_norm,hospitalized_norm,recovered_norm,,death_norm
4/13/2020,DE,1625,10195,,201,,213,35,11820,13.74788494,12.36923077,13.10769231,2.153846154,973764,40,0.001668782,0.000206416,0.000218739,40,3.59E-05
4/12/2020,DE,1479,9624,,190,,191,33,11103,13.32072413,12.84651792,12.91413117,2.231237323,973764,39,0.001518849,0.000195119,0.000196146,39,3.39E-05
4/11/2020,DE,1479,9624,,190,,191,33,11103,13.32072413,12.84651792,12.91413117,2.231237323,973764,38,0.001518849,0.000195119,0.000196146,38,3.39E-05
4/10/2020,DE,1326,10415,,181,,177,23,11741,11.29375692,13.65007541,13.34841629,1.73453997,973764,37,0.001361726,0.000185877,0.000181769,37,2.36E-05
4/9/2020,DE,1207,8683,,201,,173,23,9890,12.20424671,16.65285833,14.33305717,1.905550953,973764,36,0.00123952,0.000206416,0.000177661,36,2.36E-05
4/8/2020,DE,928,7628,,147,,144,16,8556,10.84618981,15.84051724,15.51724138,1.724137931,973764,35,0.000953003,0.000150961,0.00014788,35,1.64E-05
4/7/2020,DE,928,7628,,147,,144,16,8556,10.84618981,15.84051724,15.51724138,1.724137931,973764,34,0.000953003,0.000150961,0.00014788,34,1.64E-05
4/6/2020,DE,673,6321,,101,,71,14,6994,9.6225336,15.00742942,10.54977712,2.080237741,973764,33,0.000691133,0.000103721,7.29E-05,33,1.44E-05
4/5/2020,DE,673,6321,,101,,71,14,6994,9.6225336,15.00742942,10.54977712,2.080237741,973764,32,0.000691133,0.000103721,7.29E-05,32,1.44E-05
4/4/2020,DE,593,5874,,95,,71,14,6467,9.169630431,16.02023609,11.97301855,2.360876897,973764,31,0.000608977,9.76E-05,7.29E-05,31,1.44E-05
4/3/2020,DE,450,4995,,63,,71,14,5445,8.26446281,14,15.77777778,3.111111111,973764,30,0.000462124,6.47E-05,7.29E-05,30,1.44E-05
4/2/2020,DE,393,4566,,56,,49,12,4959,7.924984876,14.24936387,12.46819338,3.053435115,973764,29,0.000403589,5.75E-05,5.03E-05,29,1.23E-05
4/1/2020,DE,368,4015,,51,,49,11,4383,8.396075747,13.85869565,13.31521739,2.989130435,973764,28,0.000377915,5.24E-05,5.03E-05,28,1.13E-05
3/31/2020,DE,319,3696,,57,,22,10,4015,7.945205479,17.86833856,6.896551724,3.134796238,973764,27,0.000327595,5.85E-05,2.26E-05,27,1.03E-05
3/30/2020,DE,264,2216,,45,,9,6,2480,10.64516129,17.04545455,3.409090909,2.272727273,973764,26,0.000271113,4.62E-05,9.24E-06,26,6.16E-06
3/29/2020,DE,232,36,,33,,9,6,268,86.56716418,14.22413793,3.879310345,2.586206897,973764,25,0.000238251,3.39E-05,9.24E-06,25,6.16E-06
3/28/2020,DE,214,36,,31,,9,3,250,85.6,14.48598131,4.205607477,1.401869159,973764,24,0.000219766,3.18E-05,9.24E-06,24,3.08E-06
3/27/2020,DE,163,36,,15,,9,2,199,81.90954774,9.202453988,5.521472393,1.226993865,973764,23,0.000167392,1.54E-05,9.24E-06,23,2.05E-06
3/26/2020,DE,130,36,,13,,4,1,166,78.31325301,10,3.076923077,0.769230769,973764,22,0.000133503,1.34E-05,4.11E-06,22,1.03E-06
3/25/2020,DE,115,36,,11,,,0,151,76.1589404,9.565217391,,0,973764,21,0.000118098,1.13E-05,,21,0
3/24/2020,DE,91,36,,,,,0,127,71.65354331,,,0,973764,20,9.35E-05,,,20,0
3/23/2020,DE,68,36,,,,,0,104,65.38461538,,,0,973764,19,6.98E-05,,,19,0
3/22/2020,DE,56,36,,,,,0,92,60.86956522,,,0,973764,18,5.75E-05,,,18,0
3/21/2020,DE,45,36,,,,,0,81,55.55555556,,,0,973764,17,4.62E-05,,,17,0
3/20/2020,DE,38,36,,,,,0,74,51.35135135,,,0,973764,16,3.90E-05,,,16,0
3/19/2020,DE,30,36,,,,,0,66,45.45454545,,,0,973764,15,3.08E-05,,,15,0
3/18/2020,DE,25,36,,,,,,61,40.98360656,,,,973764,14,2.57E-05,,,14,0
3/17/2020,DE,16,36,,,,,,52,30.76923077,,,,973764,13,1.64E-05,,,13,0
3/16/2020,DE,8,36,32,,,,,44,18.18181818,,,,973764,12,8.22E-06,,,12,0
3/15/2020,DE,6,36,32,,,,,42,14.28571429,,,,973764,11,6.16E-06,,,11,0
3/14/2020,DE,6,36,32,,,,,42,14.28571429,,,,973764,10,6.16E-06,,,10,0
3/13/2020,DE,4,30,10,,,,,34,11.76470588,,,,973764,9,4.11E-06,,,9,0
3/12/2020,DE,4,23,14,,,,,27,14.81481481,,,,973764,8,4.11E-06,,,8,0
3/11/2020,DE,1,17,2,,,,,18,5.555555556,,,,973764,7,1.03E-06,,,7,0
3/10/2020,DE,0,17,3,,,,,17,0,,,,973764,6,0,,,6,
3/9/2020,DE,0,15,3,,,,,15,0,,,,973764,5,0,,,5,
3/8/2020,DE,0,10,0,,,,,10,0,,,,973764,4,0,,,4,
3/7/2020,DE,0,10,0,,,,,10,0,,,,973764,3,0,,,3,
3/6/2020,DE,0,10,0,,,,,10,0,,,,973764,2,0,,,2,
,,,,,,,,,,,,,,,1,,,,1,
,,,,,,,,,,,,,,,0,,,,0,
