date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,recovered,death,totalTestResults,percent_positive,hospitalized_percent,recovered_percent,death_percent,population,,positive_norm,hospitalized_norm,recovered_norm,,death_norm
4/13/2020,FL,20601,175606,1789,,2833,,483,196207,10.4996254,13.75175962,,2.344546381,21477737,40,0.000959179,0.000131904,,40,2.25E-05
4/12/2020,FL,19355,163398,1297,,2772,,465,182753,10.59079742,14.32188065,,2.402479979,21477737,39,0.000901166,0.000129064,,39,2.17E-05
4/11/2020,FL,18494,154439,1418,,2661,,438,172933,10.69431514,14.38845031,,2.368335676,21477737,38,0.000861078,0.000123896,,38,2.04E-05
4/10/2020,FL,17531,145299,1411,,2487,,390,162830,10.76644353,14.18629856,,2.224630654,21477737,37,0.000816241,0.000115794,,37,1.82E-05
4/9/2020,FL,16364,136185,1395,,2268,,354,152549,10.72704508,13.85969201,,2.16328526,21477737,36,0.000761905,0.000105598,,36,1.65E-05
4/8/2020,FL,15455,127679,1324,,2062,,309,143134,10.7975743,13.34196053,,1.99935296,21477737,35,0.000719582,9.60E-05,,35,1.44E-05
4/7/2020,FL,14747,123415,1407,,1999,,296,138162,10.67370189,13.55529938,,2.007187903,21477737,34,0.000686618,9.31E-05,,34,1.38E-05
4/6/2020,FL,13324,109950,1142,,1682,,236,123274,10.80844298,12.62383669,,1.771239868,21477737,33,0.000620363,7.83E-05,,33,1.10E-05
4/5/2020,FL,12151,101253,1129,,1572,,218,113404,10.7147896,12.93720681,,1.794091021,21477737,32,0.000565749,7.32E-05,,32,1.02E-05
4/4/2020,FL,11111,90956,1281,,1462,,191,102067,10.88598666,13.15813158,,1.71901719,21477737,31,0.000517326,6.81E-05,,31,8.89E-06
4/3/2020,FL,9585,82137,1225,,1287,,163,91722,10.4500556,13.42723005,,1.700573813,21477737,30,0.000446276,5.99E-05,,30,7.59E-06
4/2/2020,FL,8010,69286,1285,,1123,,128,77296,10.36276133,14.01997503,,1.598002497,21477737,29,0.000372944,5.23E-05,,29,5.96E-06
4/1/2020,FL,6955,59529,1235,,949,,87,66484,10.46116359,13.64485981,,1.250898634,21477737,28,0.000323824,4.42E-05,,28,4.05E-06
3/31/2020,FL,6338,54285,1163,,823,,77,60623,10.45477789,12.98516882,,1.214894288,21477737,27,0.000295096,3.83E-05,,27,3.59E-06
3/30/2020,FL,5473,48225,,,652,,63,53698,10.19218593,11.91302759,,1.151105427,21477737,26,0.000254822,3.04E-05,,26,2.93E-06
3/29/2020,FL,4246,39070,,,594,,56,43316,9.802382491,13.98963731,,1.318888366,21477737,25,0.000197693,2.77E-05,,25,2.61E-06
3/28/2020,FL,3763,35366,,,526,,54,39129,9.616908176,13.97820888,,1.435025246,21477737,24,0.000175205,2.45E-05,,24,2.51E-06
3/27/2020,FL,2765,28186,1517,,456,,34,30951,8.933475494,16.49186257,,1.22965642,21477737,23,0.000128738,2.12E-05,,23,1.58E-06
3/26/2020,FL,2355,23741,1443,,406,,28,26096,9.024371551,17.23991507,,1.18895966,21477737,22,0.000109648,1.89E-05,,22,1.30E-06
3/25/2020,FL,1682,15374,1233,,316,,22,17056,9.86163227,18.78715815,,1.307966706,21477737,21,7.83E-05,1.47E-05,,21,1.02E-06
3/24/2020,FL,1412,13127,1008,,259,,18,14539,9.711809616,18.3427762,,1.274787535,21477737,20,6.57E-05,1.21E-05,,20,8.38E-07
3/23/2020,FL,1171,11063,860,,217,,14,12234,9.571685467,18.53116994,,1.195559351,21477737,19,5.45E-05,1.01E-05,,19,6.52E-07
3/22/2020,FL,830,7990,963,,185,,13,8820,9.410430839,22.28915663,,1.56626506,21477737,18,3.86E-05,8.61E-06,,18,6.05E-07
3/21/2020,FL,658,6579,1002,,158,,12,7237,9.092165262,24.01215805,,1.823708207,21477737,17,3.06E-05,7.36E-06,,17,5.59E-07
3/20/2020,FL,520,1870,1026,,,,10,2390,21.75732218,,,1.923076923,21477737,16,2.42E-05,,,16,4.66E-07
3/19/2020,FL,390,1533,1019,,,,8,1923,20.28081123,,,2.051282051,21477737,15,1.82E-05,,,15,3.72E-07
3/18/2020,FL,314,1225,954,,,,7,1539,20.402859,,,2.229299363,21477737,14,1.46E-05,,,14,3.26E-07
3/17/2020,FL,186,940,872,,,,6,1126,16.51865009,,,3.225806452,21477737,13,8.66E-06,,,13,2.79E-07
3/16/2020,FL,141,684,514,,,,4,825,17.09090909,,,2.836879433,21477737,12,6.56E-06,,,12,1.86E-07
3/15/2020,FL,116,678,454,,,,4,794,14.60957179,,,3.448275862,21477737,11,5.40E-06,,,11,1.86E-07
3/14/2020,FL,77,478,221,,,,3,555,13.87387387,,,3.896103896,21477737,10,3.59E-06,,,10,1.40E-07
3/13/2020,FL,50,478,221,,,,2,528,9.46969697,,,4,21477737,9,2.33E-06,,,9,9.31E-08
3/12/2020,FL,32,301,147,,,,2,333,9.60960961,,,6.25,21477737,8,1.49E-06,,,8,9.31E-08
3/11/2020,FL,28,301,147,,,,2,329,8.510638298,,,7.142857143,21477737,7,1.30E-06,,,7,9.31E-08
3/10/2020,FL,19,222,155,,,,,241,7.883817427,,,,21477737,6,8.85E-07,,,6,
3/9/2020,FL,18,140,115,,,,,158,11.39240506,,,,21477737,5,8.38E-07,,,5,
3/8/2020,FL,17,118,108,,,,,135,12.59259259,,,,21477737,4,7.92E-07,,,4,
3/7/2020,FL,14,100,88,,,,,114,12.28070175,,,,21477737,3,6.52E-07,,,3,
3/6/2020,FL,9,55,51,,,,,64,14.0625,,,,21477737,2,4.19E-07,,,2,
3/5/2020,FL,9,31,69,,,,,40,22.5,,,,21477737,1,4.19E-07,,,1,
3/4/2020,FL,2,24,16,,,,,26,7.692307692,,,,21477737,0,9.31E-08,,,0,
