date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,recovered,death,totalTestResults,percent_positive,hospitalized_percent,recovered_percent,death_percent,population,,positive_norm,hospitalized_norm,recovered_norm,,death_norm
4/13/2020,GA,13315,43706,,,2589,,464,57021,23.35104611,19.44423582,,3.484791588,10617423,40,0.001254071,0.000243844,,40,4.37E-05
4/12/2020,GA,12452,42001,,,2505,,433,54453,22.86742696,20.11725024,,3.477353036,10617423,39,0.001172789,0.000235933,,39,4.08E-05
4/11/2020,GA,12159,39556,,,2479,,428,51715,23.51155371,20.38818982,,3.520026318,10617423,38,0.001145193,0.000233484,,38,4.03E-05
4/10/2020,GA,11483,34664,,,2351,,416,46147,24.88352439,20.4737438,,3.622746669,10617423,37,0.001081524,0.000221428,,37,3.92E-05
4/9/2020,GA,10566,30519,,,2159,,379,41085,25.71741512,20.43346583,,3.586977096,10617423,36,0.000995157,0.000203345,,36,3.57E-05
4/8/2020,GA,9901,28886,,,1993,,362,38787,25.52659396,20.12927987,,3.656196344,10617423,35,0.000932524,0.00018771,,35,3.41E-05
4/7/2020,GA,8818,24895,,,1774,,329,33713,26.15608222,20.11794058,,3.731004763,10617423,34,0.000830522,0.000167084,,34,3.10E-05
4/6/2020,GA,7314,23960,,,1332,,229,31274,23.38683891,18.21164889,,3.130981679,10617423,33,0.000688868,0.000125454,,33,2.16E-05
4/5/2020,GA,6647,21185,,,1283,,211,27832,23.8825812,19.30194073,,3.174364375,10617423,32,0.000626046,0.000120839,,32,1.99E-05
4/4/2020,GA,6160,20134,,,1239,,201,26294,23.42739789,20.11363636,,3.262987013,10617423,31,0.000580178,0.000116695,,31,1.89E-05
4/3/2020,GA,5831,19434,,,1158,,184,25265,23.0793588,19.85937232,,3.155547933,10617423,30,0.000549192,0.000109066,,30,1.73E-05
4/2/2020,GA,5348,17609,,,1056,,163,22957,23.29572679,19.74569933,,3.047868362,10617423,29,0.0005037,9.95E-05,,29,1.54E-05
4/1/2020,GA,4638,15688,,,952,,139,20326,22.81806553,20.52608883,,2.996981458,10617423,28,0.000436829,8.97E-05,,28,1.31E-05
3/31/2020,GA,3929,12252,,,833,,111,16181,24.2815648,21.20132349,,2.825146348,10617423,27,0.000370052,7.85E-05,,27,1.05E-05
3/30/2020,GA,2809,9915,,,707,,87,12724,22.07639107,25.16909932,,3.097187611,10617423,26,0.000264565,6.66E-05,,26,8.19E-06
3/29/2020,GA,2651,9913,,,666,,80,12564,21.09996816,25.12259525,,3.017729159,10617423,25,0.000249684,6.27E-05,,25,7.53E-06
3/28/2020,GA,2366,8685,,,617,,69,11051,21.40982716,26.07776839,,2.916314455,10617423,24,0.000222841,5.81E-05,,24,6.50E-06
3/27/2020,GA,2001,7864,,,566,,64,9865,20.28383173,28.28585707,,3.1984008,10617423,23,0.000188464,5.33E-05,,23,6.03E-06
3/26/2020,GA,1525,7401,,,473,,48,8926,17.08492046,31.01639344,,3.147540984,10617423,22,0.000143632,4.45E-05,,22,4.52E-06
3/25/2020,GA,1247,4932,,,394,,40,6179,20.1812591,31.59582999,,3.207698476,10617423,21,0.000117448,3.71E-05,,21,3.77E-06
3/24/2020,GA,1026,4458,,,,,32,5484,18.70897155,,,3.118908382,10617423,20,9.66E-05,,,20,3.01E-06
3/23/2020,GA,772,4297,,,,,25,5069,15.22982837,,,3.238341969,10617423,19,7.27E-05,,,19,2.35E-06
3/22/2020,GA,600,3420,,,,,23,4020,14.92537313,,,3.833333333,10617423,18,5.65E-05,,,18,2.17E-06
3/21/2020,GA,507,2557,,,,,14,3064,16.54699739,,,2.761341223,10617423,17,4.78E-05,,,17,1.32E-06
3/20/2020,GA,420,1966,,,,,13,2386,17.60268231,,,3.095238095,10617423,16,3.96E-05,,,16,1.22E-06
3/19/2020,GA,287,1544,,,,,10,1831,15.67449481,,,3.484320557,10617423,15,2.70E-05,,,15,9.42E-07
3/18/2020,GA,197,1311,,,,,1,1508,13.06366048,,,0.507614213,10617423,14,1.86E-05,,,14,9.42E-08
3/17/2020,GA,146,,,,,,1,146,100,,,0.684931507,10617423,13,1.38E-05,,,13,9.42E-08
3/16/2020,GA,121,,,,,,1,121,100,,,0.826446281,10617423,12,1.14E-05,,,12,9.42E-08
3/15/2020,GA,99,,,,,,1,99,100,,,1.01010101,10617423,11,9.32E-06,,,11,9.42E-08
3/14/2020,GA,66,,,,,,1,66,100,,,1.515151515,10617423,10,6.22E-06,,,10,9.42E-08
3/13/2020,GA,42,,,,,,1,42,100,,,2.380952381,10617423,9,3.96E-06,,,9,9.42E-08
3/12/2020,GA,31,,,,,,,31,100,,,,10617423,8,2.92E-06,,,8,0.00E+00
3/11/2020,GA,22,,,,,,,22,100,,,,10617423,7,2.07E-06,,,7,0.00E+00
3/10/2020,GA,17,,,,,,,17,100,,,,10617423,6,1.60E-06,,,6,
3/9/2020,GA,12,,,,,,,12,100,,,,10617423,5,1.13E-06,,,5,
3/8/2020,GA,7,,,,,,,7,100,,,,10617423,4,6.59E-07,,,4,
3/7/2020,GA,6,,,,,,,6,100,,,,10617423,3,5.65E-07,,,3,
3/6/2020,GA,2,,,,,,,2,100,,,,10617423,2,1.88E-07,,,2,
3/5/2020,GA,2,,,,,,,2,100,,,,10617423,1,1.88E-07,,,1,
3/4/2020,GA,2,,,,,,,2,100,,,,10617423,0,1.88E-07,,,0,
