date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,recovered,death,totalTestResults,percent_positive,hospitalized_percent,recovered_percent,death_percent,population,,positive_norm,hospitalized_norm,recovered_norm,,death_norm
4/13/2020,HI,499,18345,,,44,310,9,18844,2.648057737,8.817635271,62.1242485,1.803607214,1415872,40,0.000352433,3.11E-05,0.000218946,40,6.36E-06
4/12/2020,HI,486,17482,,,44,300,8,17968,2.704808549,9.053497942,61.72839506,1.646090535,1415872,39,0.000343251,3.11E-05,0.000211884,39,5.65E-06
4/11/2020,HI,465,17066,,,43,284,8,17531,2.652444242,9.247311828,61.07526882,1.720430108,1415872,38,0.00032842,3.04E-05,0.000200583,38,5.65E-06
4/10/2020,HI,442,15707,,,42,251,6,16149,2.73701158,9.502262443,56.78733032,1.357466063,1415872,37,0.000312175,2.97E-05,0.000177276,37,4.24E-06
4/9/2020,HI,435,15316,,,42,113,5,15751,2.761729414,9.655172414,25.97701149,1.149425287,1415872,36,0.000307231,2.97E-05,7.98E-05,36,3.53E-06
4/8/2020,HI,410,14739,,,42,113,5,15149,2.706449271,10.24390244,27.56097561,1.219512195,1415872,35,0.000289574,2.97E-05,7.98E-05,35,3.53E-06
4/7/2020,HI,387,13155,,,26,89,5,13542,2.857775809,6.718346253,22.99741602,1.291989664,1415872,34,0.00027333,1.84E-05,6.29E-05,34,3.53E-06
4/6/2020,HI,371,13155,,,21,85,4,13526,2.742865592,5.660377358,22.91105121,1.078167116,1415872,33,0.000262029,1.48E-05,6.00E-05,33,2.83E-06
4/5/2020,HI,351,12604,,,19,82,4,12955,2.709378618,5.413105413,23.36182336,1.13960114,1415872,32,0.000247904,1.34E-05,5.79E-05,32,2.83E-06
4/4/2020,HI,319,11959,,,18,78,3,12278,2.59814302,5.642633229,24.45141066,0.940438871,1415872,31,0.000225303,1.27E-05,5.51E-05,31,2.12E-06
4/3/2020,HI,285,10206,,,15,72,2,10491,2.716614241,5.263157895,25.26315789,0.701754386,1415872,30,0.000201289,1.06E-05,5.09E-05,30,1.41E-06
4/2/2020,HI,258,10206,,,15,69,1,10464,2.46559633,5.813953488,26.74418605,0.387596899,1415872,29,0.00018222,1.06E-05,4.87E-05,29,7.06E-07
4/1/2020,HI,208,8721,,,13,58,1,8929,2.329488185,6.25,27.88461538,0.480769231,1415872,28,0.000146906,9.18E-06,4.10E-05,28,7.06E-07
3/31/2020,HI,204,8471,,,12,49,,8675,2.351585014,5.882352941,24.01960784,,1415872,27,0.000144081,8.48E-06,3.46E-05,27,0.00E+00
3/30/2020,HI,175,7825,,,12,,,8000,2.1875,6.857142857,,,1415872,26,0.000123599,8.48E-06,,26,0.00E+00
3/29/2020,HI,151,6849,,,12,,,7000,2.157142857,7.947019868,,,1415872,25,0.000106648,8.48E-06,,25,0.00E+00
3/28/2020,HI,120,4357,,,8,,,4477,2.680366317,6.666666667,,,1415872,24,8.48E-05,5.65E-06,,24,0.00E+00
3/27/2020,HI,106,4357,,,7,,,4463,2.375084024,6.603773585,,,1415872,23,7.49E-05,4.94E-06,,23,0.00E+00
3/26/2020,HI,95,4357,,,5,,,4452,2.133872417,5.263157895,,,1415872,22,6.71E-05,3.53E-06,,22,0.00E+00
3/25/2020,HI,90,4357,,,6,,,4447,2.023836294,6.666666667,,,1415872,21,6.36E-05,4.24E-06,,21,0.00E+00
3/24/2020,HI,77,3589,,,4,,,3666,2.100381888,5.194805195,,,1415872,20,5.44E-05,2.83E-06,,20,0.00E+00
3/23/2020,HI,56,2955,,,,,,3011,1.859847227,,,,1415872,19,3.96E-05,,,19,0.00E+00
3/22/2020,HI,48,263,,,,,,311,15.4340836,,,,1415872,18,3.39E-05,,,18,0.00E+00
3/21/2020,HI,37,124,,,,,,161,22.98136646,,,,1415872,17,2.61E-05,,,17,0.00E+00
3/20/2020,HI,26,124,,,,,,150,17.33333333,,,,1415872,16,1.84E-05,,,16,0.00E+00
3/19/2020,HI,16,93,,,,,,109,14.67889908,,,,1415872,15,1.13E-05,,,15,0.00E+00
3/18/2020,HI,14,93,,,,,,107,13.08411215,,,,1415872,14,9.89E-06,,,14,0.00E+00
3/17/2020,HI,10,,,,,,,10,100,,,,1415872,13,7.06E-06,,,13,0.00E+00
3/16/2020,HI,7,,,,,,,7,100,,,,1415872,12,4.94E-06,,,12,0.00E+00
3/15/2020,HI,2,,,,,,,2,100,,,,1415872,11,1.41E-06,,,11,0.00E+00
3/14/2020,HI,2,,,,,,,2,100,,,,1415872,10,1.41E-06,,,10,0.00E+00
3/13/2020,HI,2,,,,,,,2,100,,,,1415872,9,1.41E-06,,,9,0.00E+00
3/12/2020,HI,2,,,,,,,2,100,,,,1415872,8,1.41E-06,,,8,0.00E+00
3/11/2020,HI,2,,,,,,,2,100,,,,1415872,7,1.41E-06,,,7,0.00E+00
3/10/2020,HI,2,,,,,,,2,100,,,,1415872,6,1.41E-06,,,6,
3/9/2020,HI,2,,,,,,,2,100,,,,1415872,5,1.41E-06,,,5,
3/8/2020,HI,1,,,,,,,1,100,,,,1415872,4,7.06E-07,,,4,
3/7/2020,HI,1,,,,,,,1,100,,,,1415872,3,7.06E-07,,,3,
,,,,,,,,,,,,,,,2,0.00E+00,,,2,
,,,,,,,,,,,,,,,1,,,,1,
,,,,,,,,,,,,,,,0,,,,0,
