date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,recovered,death,totalTestResults,percent_positive,hospitalized_percent,recovered_percent,death_percent,population,,positive_norm,hospitalized_norm,recovered_norm,,death_norm
4/13/2020,IA,1710,16986,,142,,741,43,18696,9.146341463,8.304093567,43.33333333,2.514619883,3155070,40,0.000541985,4.50E-05,0.00023486,40,1.36E-05
4/12/2020,IA,1587,16005,,129,,674,41,17592,9.021145975,8.128544423,42.47006931,2.583490863,3155070,39,0.000503,4.09E-05,0.000213624,39,1.30E-05
4/11/2020,IA,1510,15622,,118,,585,34,17132,8.81391548,7.814569536,38.74172185,2.251655629,3155070,38,0.000478595,3.74E-05,0.000185416,38,1.08E-05
4/10/2020,IA,1388,14565,,125,,506,31,15953,8.700557889,9.005763689,36.45533141,2.233429395,3155070,37,0.000439927,3.96E-05,0.000160377,37,9.83E-06
4/9/2020,IA,1270,13703,,122,,476,29,14973,8.481934148,9.606299213,37.48031496,2.283464567,3155070,36,0.000402527,3.87E-05,0.000150868,36,9.19E-06
4/8/2020,IA,1145,12821,,122,193,431,27,13966,8.198482028,16.8558952,37.6419214,2.358078603,3155070,35,0.000362908,6.12E-05,0.000136606,35,8.56E-06
4/7/2020,IA,1048,11670,,104,193,341,26,12718,8.240289354,18.41603053,32.53816794,2.480916031,3155070,34,0.000332164,6.12E-05,0.00010808,34,8.24E-06
4/6/2020,IA,946,10653,,99,179,284,25,11599,8.155875507,18.9217759,30.02114165,2.642706131,3155070,33,0.000299835,5.67E-05,9.00E-05,33,7.92E-06
4/5/2020,IA,868,9973,,91,165,188,22,10841,8.006641454,19.00921659,21.65898618,2.534562212,3155070,32,0.000275113,5.23E-05,5.96E-05,32,6.97E-06
4/4/2020,IA,786,9454,,85,153,188,14,10240,7.67578125,19.46564885,23.91857506,1.781170483,3155070,31,0.000249123,4.85E-05,5.96E-05,31,4.44E-06
4/3/2020,IA,699,8754,,80,138,188,11,9453,7.394477944,19.74248927,26.89556509,1.573676681,3155070,30,0.000221548,4.37E-05,5.96E-05,30,3.49E-06
4/2/2020,IA,614,8054,,74,120,46,11,8668,7.083525611,19.54397394,7.491856678,1.791530945,3155070,29,0.000194607,3.80E-05,1.46E-05,29,3.49E-06
4/1/2020,IA,549,7304,,63,99,118,9,7853,6.990958869,18.03278689,21.49362477,1.639344262,3155070,28,0.000174006,3.14E-05,3.74E-05,28,2.85E-06
3/31/2020,IA,497,6888,,61,94,33,7,7385,6.72985782,18.91348089,6.639839034,1.408450704,3155070,27,0.000157524,2.98E-05,1.05E-05,27,2.22E-06
3/30/2020,IA,424,6162,,51,74,23,6,6586,6.437898573,17.45283019,5.424528302,1.41509434,3155070,26,0.000134387,2.35E-05,7.29E-06,26,1.90E-06
3/29/2020,IA,336,5013,,51,68,17,4,5349,6.281547953,20.23809524,5.05952381,1.19047619,3155070,25,0.000106495,2.16E-05,5.39E-06,25,1.27E-06
3/28/2020,IA,298,4375,,46,61,15,3,4673,6.377059705,20.46979866,5.033557047,1.006711409,3155070,24,9.45E-05,1.93E-05,4.75E-06,24,9.51E-07
3/27/2020,IA,235,3740,,32,50,18,3,3975,5.911949686,21.27659574,7.659574468,1.276595745,3155070,23,7.45E-05,1.58E-05,5.71E-06,23,9.51E-07
3/26/2020,IA,179,2578,,31,46,15,1,2757,6.492564382,25.69832402,8.379888268,0.558659218,3155070,22,5.67E-05,1.46E-05,4.75E-06,22,3.17E-07
3/25/2020,IA,145,2578,,23,36,,1,2723,5.325009181,24.82758621,,0.689655172,3155070,21,4.60E-05,1.14E-05,,21,3.17E-07
3/24/2020,IA,124,2315,,,27,,,2439,5.084050841,21.77419355,,,3155070,20,3.93E-05,8.56E-06,,20,0.00E+00
3/23/2020,IA,105,2043,,,,,,2148,4.888268156,,,,3155070,19,3.33E-05,,,19,0.00E+00
3/22/2020,IA,90,1215,,,,,,1305,6.896551724,,,,3155070,18,2.85E-05,,,18,0.00E+00
