date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,recovered,death,totalTestResults,percent_positive,hospitalized_percent,recovered_percent,death_percent,population,,positive_norm,hospitalized_norm,recovered_norm,,death_norm
4/13/2020,ID,1426,13455,,,132,,27,14881,9.582689335,9.256661992,,1.893408135,1787065,40,0.000797956,7.39E-05,,40,1.51E-05
4/12/2020,ID,1407,12901,,,131,,27,14308,9.833659491,9.310589908,,1.918976546,1787065,39,0.000787324,7.33E-05,,39,1.51E-05
4/11/2020,ID,1396,12368,,,128,,25,13764,10.14240046,9.169054441,,1.790830946,1787065,38,0.000781169,7.16E-05,,38,1.40E-05
4/10/2020,ID,1353,11741,,,127,,24,13094,10.33297694,9.386548411,,1.77383592,1787065,37,0.000757107,7.11E-05,,37,1.34E-05
4/9/2020,ID,1232,11299,,,113,,18,12531,9.831617588,9.172077922,,1.461038961,1787065,36,0.000689399,6.32E-05,,36,1.01E-05
4/8/2020,ID,1210,10688,,,93,,15,11898,10.16977643,7.685950413,,1.239669421,1787065,35,0.000677088,5.20E-05,,35,8.39E-06
4/7/2020,ID,1170,10076,,,83,,13,11246,10.40369909,7.094017094,,1.111111111,1787065,34,0.000654705,4.64E-05,,34,7.27E-06
4/6/2020,ID,1101,9894,,,77,,10,10995,10.01364256,6.993642144,,0.908265213,1787065,33,0.000616094,4.31E-05,,33,5.60E-06
4/5/2020,ID,1077,9184,,,66,,10,10261,10.49605302,6.128133705,,0.928505107,1787065,32,0.000602664,3.69E-05,,32,5.60E-06
4/4/2020,ID,1013,7857,,,62,,10,8870,11.4205186,6.120434353,,0.987166831,1787065,31,0.000566851,3.47E-05,,31,5.60E-06
4/3/2020,ID,891,7054,,,56,,9,7945,11.21460038,6.285072952,,1.01010101,1787065,30,0.000498583,3.13E-05,,30,5.04E-06
4/2/2020,ID,669,6613,,,49,,9,7282,9.187036528,7.324364723,,1.34529148,1787065,29,0.000374357,2.74E-05,,29,5.04E-06
4/1/2020,ID,525,6076,,,46,,9,6601,7.953340403,8.761904762,,1.714285714,1787065,28,0.000293778,2.57E-05,,28,5.04E-06
3/31/2020,ID,415,5297,,,45,,7,5712,7.265406162,10.84337349,,1.686746988,1787065,27,0.000232224,2.52E-05,,27,3.92E-06
3/30/2020,ID,310,4396,,,39,,6,4706,6.587335317,12.58064516,,1.935483871,1787065,26,0.000173469,2.18E-05,,26,3.36E-06
3/29/2020,ID,261,4021,,,36,,5,4282,6.095282578,13.79310345,,1.915708812,1787065,25,0.00014605,2.01E-05,,25,2.80E-06
3/28/2020,ID,230,3342,,,25,,4,3572,6.438969765,10.86956522,,1.739130435,1787065,24,0.000128703,1.40E-05,,24,2.24E-06
3/27/2020,ID,189,2668,,,,,3,2857,6.615330767,,,1.587301587,1787065,23,0.00010576,,,23,1.68E-06
3/26/2020,ID,123,2065,,,,,0,2188,5.621572212,,,0,1787065,22,6.88E-05,,,22,0
3/25/2020,ID,73,1887,,,,,0,1960,3.724489796,,,0,1787065,21,4.08E-05,,,21,0
3/24/2020,ID,50,1887,,,,,0,1937,2.581311306,,,0,1787065,20,2.80E-05,,,20,0
3/23/2020,ID,47,1309,,,,,0,1356,3.466076696,,,0,1787065,19,2.63E-05,,,19,0
3/22/2020,ID,42,1175,,,,,0,1217,3.451109285,,,0,1787065,18,2.35E-05,,,18,0
3/21/2020,ID,31,880,,,,,,911,3.402854007,,,,1787065,17,1.73E-05,,,17,0
3/20/2020,ID,23,590,,,,,,613,3.752039152,,,,1787065,16,1.29E-05,,,16,0
3/19/2020,ID,11,459,,,,,,470,2.340425532,,,,1787065,15,6.16E-06,,,15,0
3/18/2020,ID,9,459,,,,,,468,1.923076923,,,,1787065,14,5.04E-06,,,14,0
3/17/2020,ID,7,346,,,,,,353,1.983002833,,,,1787065,13,3.92E-06,,,13,0
3/16/2020,ID,5,265,,,,,,270,1.851851852,,,,1787065,12,2.80E-06,,,12,0
3/15/2020,ID,5,174,,,,,,179,2.793296089,,,,1787065,11,2.80E-06,,,11,0
3/14/2020,ID,2,174,,,,,,176,1.136363636,,,,1787065,10,1.12E-06,,,10,0
3/13/2020,ID,0,131,,,,,,131,0,,,,1787065,9,0,,,9,0
3/12/2020,ID,0,93,,,,,,93,0,,,,1787065,8,0,,,8,0
3/11/2020,ID,0,67,,,,,,67,0,,,,1787065,7,0,,,7,0
3/10/2020,ID,0,41,,,,,,41,0,,,,1787065,6,0,,,6,
3/9/2020,ID,0,41,,,,,,41,0,,,,1787065,5,0,,,5,
3/8/2020,ID,0,27,,,,,,27,0,,,,1787065,4,0,,,4,
3/7/2020,ID,0,27,,,,,,27,0,,,,1787065,3,0,,,3,
,,,,,,,,,,,,,,,2,0,,,2,
,,,,,,,,,,,,,,,1,,,,1,
,,,,,,,,,,,,,,,0,,,,0,
