date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,recovered,death,totalTestResults,percent_positive,hospitalized_percent,recovered_percent,death_percent,population,,positive_norm,hospitalized_norm,recovered_norm,,death_norm
4/13/2020,IL,22025,83743,,3680,,,794,105768,20.82387868,16.70828604,,3.604994325,12671821,40,0.001738109,0.000290408,,40,6.27E-05
4/12/2020,IL,20852,79883,,3680,,,720,100735,20.69985606,17.64818722,,3.452906196,12671821,39,0.001645541,0.000290408,,39,5.68E-05
4/11/2020,IL,19180,72969,,3680,,,677,92149,20.81411627,19.18665276,,3.529718457,12671821,38,0.001513595,0.000290408,,38,5.34E-05
4/10/2020,IL,17887,69640,,3680,,,596,87527,20.43597975,20.57360094,,3.332028848,12671821,37,0.001411557,0.000290408,,37,4.70E-05
4/9/2020,IL,16422,64435,,3680,,,528,80857,20.30992988,22.40896359,,3.215199123,12671821,36,0.001295946,0.000290408,,36,4.17E-05
4/8/2020,IL,15078,59988,,3680,,,462,75066,20.08632403,24.40641995,,3.064066852,12671821,35,0.001189884,0.000290408,,35,3.65E-05
4/7/2020,IL,13549,55183,,3680,,,380,68732,19.71279753,27.16067606,,2.804635028,12671821,34,0.001069223,0.000290408,,34,3.00E-05
4/6/2020,IL,12262,50680,,,,,307,62942,19.48142735,,,2.503669874,12671821,33,0.000967659,,,33,2.42E-05
4/5/2020,IL,11256,47727,,,,,274,58983,19.08346473,,,2.434257285,12671821,32,0.00088827,,,32,2.16E-05
4/4/2020,IL,10357,43224,,,,,243,53581,19.32961311,,,2.346239258,12671821,31,0.000817325,,,31,1.92E-05
4/3/2020,IL,8904,39144,,,,,210,48048,18.53146853,,,2.358490566,12671821,30,0.000702661,,,30,1.66E-05
4/2/2020,IL,7695,35961,,,,,157,43656,17.6264431,,,2.0402859,12671821,29,0.000607253,,,29,1.24E-05
4/1/2020,IL,6980,33404,,,,,141,40384,17.2840729,,,2.020057307,12671821,28,0.000550828,,,28,1.11E-05
3/31/2020,IL,5994,29231,,,,,99,35225,17.01632363,,,1.651651652,12671821,27,0.000473018,,,27,7.81E-06
3/30/2020,IL,5057,25389,,,,,73,30446,16.60973527,,,1.443543603,12671821,26,0.000399074,,,26,5.76E-06
3/29/2020,IL,4596,23166,,,,,65,27762,16.55500324,,,1.414273281,12671821,25,0.000362695,,,25,5.13E-06
3/28/2020,IL,3491,22000,,,,,47,25491,13.69502962,,,1.346319106,12671821,24,0.000275493,,,24,3.71E-06
3/27/2020,IL,3026,18516,,,,,34,21542,14.046978,,,1.123595506,12671821,23,0.000238798,,,23,2.68E-06
3/26/2020,IL,2538,14093,,,,,26,16631,15.26065781,,,1.024428684,12671821,22,0.000200287,,,22,2.05E-06
3/25/2020,IL,1865,12344,,,,,19,14209,13.12548385,,,1.018766756,12671821,21,0.000147177,,,21,1.50E-06
3/24/2020,IL,1535,9934,,,,,16,11469,13.38390444,,,1.042345277,12671821,20,0.000121135,,,20,1.26E-06
3/23/2020,IL,1273,8583,,,,,12,9856,12.91599026,,,0.942655145,12671821,19,0.000100459,,,19,9.47E-07
3/22/2020,IL,1049,7271,,,,,9,8320,12.60817308,,,0.857959962,12671821,18,8.28E-05,,,18,7.10E-07
3/21/2020,IL,753,5488,,,,,6,6241,12.06537414,,,0.796812749,12671821,17,5.94E-05,,,17,4.73E-07
3/20/2020,IL,585,3696,,,,,5,4281,13.66503153,,,0.854700855,12671821,16,4.62E-05,,,16,3.95E-07
3/19/2020,IL,422,2725,,,,,4,3147,13.40959644,,,0.947867299,12671821,15,3.33E-05,,,15,3.16E-07
3/18/2020,IL,288,1763,,,,,1,2051,14.04193077,,,0.347222222,12671821,14,2.27E-05,,,14,7.89E-08
3/17/2020,IL,159,1340,,,,,1,1499,10.60707138,,,0.628930818,12671821,13,1.25E-05,,,13,7.89E-08
3/16/2020,IL,93,932,,,,,,1025,9.073170732,,,,12671821,12,7.34E-06,,,12,0.00E+00
3/15/2020,IL,64,449,195,,,,,513,12.47563353,,,,12671821,11,5.05E-06,,,11,0.00E+00
3/14/2020,IL,46,316,82,,,,,362,12.70718232,,,,12671821,10,3.63E-06,,,10,0.00E+00
3/13/2020,IL,32,294,92,,,,,326,9.81595092,,,,12671821,9,2.53E-06,,,9,0.00E+00
3/12/2020,IL,25,266,76,,,,,291,8.591065292,,,,12671821,8,1.97E-06,,,8,0.00E+00
3/11/2020,IL,19,244,63,,,,,263,7.224334601,,,,12671821,7,1.50E-06,,,7,0.00E+00
3/10/2020,IL,19,244,63,,,,,263,7.224334601,,,,12671821,6,1.50E-06,,,6,
3/9/2020,IL,7,191,44,,,,,198,3.535353535,,,,12671821,5,5.52E-07,,,5,
3/8/2020,IL,6,191,44,,,,,197,3.045685279,,,,12671821,4,4.73E-07,,,4,
3/7/2020,IL,6,191,44,,,,,197,3.045685279,,,,12671821,3,4.73E-07,,,3,
3/6/2020,IL,5,180,35,,,,,185,2.702702703,,,,12671821,2,3.95E-07,,,2,
3/5/2020,IL,5,165,27,,,,,170,2.941176471,,,,12671821,1,3.95E-07,,,1,
3/4/2020,IL,4,124,27,,,,,128,3.125,,,,12671821,0,3.16E-07,,,0,
