date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,recovered,death,totalTestResults,percent_positive,hospitalized_percent,recovered_percent,death_percent,population,,positive_norm,hospitalized_norm,recovered_norm,,death_norm
4/13/2020,IN,8236,36303,,,,,350,44539,18.491659,,,4.249635746,6732219,40,0.001223371,,,40,5.20E-05
4/12/2020,IN,7928,34561,,,,,343,42489,18.65894702,,,4.326437941,6732219,39,0.001177621,,,39,5.09E-05
4/11/2020,IN,7435,31780,,,,,330,39215,18.95958179,,,4.438466711,6732219,38,0.001104391,,,38,4.90E-05
4/10/2020,IN,6907,28133,,,,,300,35040,19.71175799,,,4.343419719,6732219,37,0.001025962,,,37,4.46E-05
4/9/2020,IN,6351,25782,,,,,245,32133,19.76472785,,,3.857660211,6732219,36,0.000943374,,,36,3.64E-05
4/8/2020,IN,5943,24926,,,,,203,30869,19.25232434,,,3.415783274,6732219,35,0.00088277,,,35,3.02E-05
4/7/2020,IN,5507,23257,,,,,173,28764,19.1454596,,,3.141456328,6732219,34,0.000818007,,,34,2.57E-05
4/6/2020,IN,4944,21247,,,,,139,26191,18.87671337,,,2.811488673,6732219,33,0.000734379,,,33,2.06E-05
4/5/2020,IN,4411,18241,,,,,127,22652,19.47289423,,,2.879165722,6732219,32,0.000655207,,,32,1.89E-05
4/4/2020,IN,3953,15847,,,,,116,19800,19.96464646,,,2.934480142,6732219,31,0.000587176,,,31,1.72E-05
4/3/2020,IN,3437,14398,,,,,102,17835,19.27109616,,,2.967704393,6732219,30,0.00051053,,,30,1.52E-05
4/2/2020,IN,3039,13246,,,,,78,16285,18.6613448,,,2.566633761,6732219,29,0.000451411,,,29,1.16E-05
4/1/2020,IN,2565,11810,,,,,65,14375,17.84347826,,,2.53411306,6732219,28,0.000381004,,,28,9.66E-06
3/31/2020,IN,2159,11214,,,,,49,13373,16.1444702,,,2.269569245,6732219,27,0.000320697,,,27,7.28E-06
3/30/2020,IN,1786,9872,,,,,35,11658,15.31995196,,,1.95968645,6732219,26,0.000265291,,,26,5.20E-06
3/29/2020,IN,1514,8316,,,,,32,9830,15.40183113,,,2.113606341,6732219,25,0.000224889,,,25,4.75E-06
3/28/2020,IN,1232,7175,,,,,31,8407,14.65445462,,,2.516233766,6732219,24,0.000183001,,,24,4.60E-06
3/27/2020,IN,981,5955,,,,,24,6936,14.14359862,,,2.44648318,6732219,23,0.000145717,,,23,3.56E-06
3/26/2020,IN,645,4006,,,,,17,4651,13.86798538,,,2.635658915,6732219,22,9.58E-05,,,22,2.53E-06
3/25/2020,IN,477,2879,,,1,,14,3356,14.21334923,0.209643606,,2.935010482,6732219,21,7.09E-05,1.49E-07,,21,2.08E-06
3/24/2020,IN,365,2566,,,1,,12,2931,12.45308768,0.273972603,,3.287671233,6732219,20,5.42E-05,1.49E-07,,20,1.78E-06
3/23/2020,IN,259,1701,,,1,,7,1960,13.21428571,0.386100386,,2.702702703,6732219,19,3.85E-05,1.49E-07,,19,1.04E-06
3/22/2020,IN,201,1293,,,1,,6,1494,13.45381526,0.497512438,,2.985074627,6732219,18,2.99E-05,1.49E-07,,18,8.91E-07
3/21/2020,IN,126,707,,,1,,4,833,15.12605042,0.793650794,,3.174603175,6732219,17,1.87E-05,1.49E-07,,17,5.94E-07
3/20/2020,IN,79,475,,,,,2,554,14.2599278,,,2.53164557,6732219,16,1.17E-05,,,16,2.97E-07
3/19/2020,IN,56,324,,,,,2,380,14.73684211,,,3.571428571,6732219,15,8.32E-06,,,15,2.97E-07
3/18/2020,IN,39,154,,,,,2,193,20.20725389,,,5.128205128,6732219,14,5.79E-06,,,14,2.97E-07
3/17/2020,IN,30,129,,,,,2,159,18.86792453,,,6.666666667,6732219,13,4.46E-06,,,13,2.97E-07
3/16/2020,IN,24,115,,,,,1,139,17.26618705,,,4.166666667,6732219,12,3.56E-06,,,12,1.49E-07
3/15/2020,IN,19,102,,,,,0,121,15.70247934,,,0,6732219,11,2.82E-06,,,11,0
3/14/2020,IN,15,74,,,,,0,89,16.85393258,,,0,6732219,10,2.23E-06,,,10,0
3/13/2020,IN,12,61,,,,,,73,16.43835616,,,,6732219,9,1.78E-06,,,9,0.00E+00
3/12/2020,IN,12,52,,,,,,64,18.75,,,,6732219,8,1.78E-06,,,8,0.00E+00
3/11/2020,IN,10,33,,,,,,43,23.25581395,,,,6732219,7,1.49E-06,,,7,0.00E+00
3/10/2020,IN,6,30,,,,,,36,16.66666667,,,,6732219,6,8.91E-07,,,6,
3/9/2020,IN,2,,,,,,,2,100,,,,6732219,5,2.97E-07,,,5,
3/8/2020,IN,2,,,,,,,2,100,,,,6732219,4,2.97E-07,,,4,
3/7/2020,IN,1,,,,,,,1,100,,,,6732219,3,1.49E-07,,,3,
3/6/2020,IN,1,,,,,,,1,100,,,,6732219,2,1.49E-07,,,2,
,,,,,,,,,,,,,,,1,,,,1,
,,,,,,,,,,,,,,,0,,,,0,
