date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,recovered,death,totalTestResults,percent_positive,hospitalized_percent,recovered_percent,death_percent,population,,positive_norm,hospitalized_norm,recovered_norm,,death_norm
4/13/2020,KS,1376,12488,,,309,,62,13864,9.924985574,22.45639535,,4.505813953,2913314,40,0.000472314,0.000106065,,40,2.13E-05
4/12/2020,KS,1337,11916,,,298,,56,13253,10.0882819,22.28870606,,4.188481675,2913314,39,0.000458928,0.000102289,,39,1.92E-05
4/11/2020,KS,1268,11075,,,293,,55,12343,10.27302925,23.10725552,,4.337539432,2913314,38,0.000435243,0.000100573,,38,1.89E-05
4/10/2020,KS,1166,10248,,,274,,50,11414,10.21552479,23.49914237,,4.288164666,2913314,37,0.000400231,9.41E-05,,37,1.72E-05
4/9/2020,KS,1106,9669,,,263,,42,10775,10.26450116,23.77938517,,3.797468354,2913314,36,0.000379636,9.03E-05,,36,1.44E-05
4/8/2020,KS,900,8614,,,223,,27,9514,9.459743536,24.77777778,,3,2913314,35,0.000308927,7.65E-05,,35,9.27E-06
4/7/2020,KS,900,8614,,,223,,27,9514,9.459743536,24.77777778,,3,2913314,34,0.000308927,7.65E-05,,34,9.27E-06
4/6/2020,KS,845,8239,,,198,,25,9084,9.302069573,23.43195266,,2.958579882,2913314,33,0.000290048,6.80E-05,,33,8.58E-06
4/5/2020,KS,747,7476,,,183,,22,8223,9.084275812,24.49799197,,2.945113788,2913314,32,0.000256409,6.28E-05,,32,7.55E-06
4/4/2020,KS,698,6880,,,172,,21,7578,9.210873581,24.64183381,,3.008595989,2913314,31,0.00023959,5.90E-05,,31,7.21E-06
4/3/2020,KS,620,6454,,,151,,17,7074,8.764489681,24.35483871,,2.741935484,2913314,30,0.000212816,5.18E-05,,30,5.84E-06
4/2/2020,KS,552,6059,,,138,,13,6611,8.349720163,25,,2.355072464,2913314,29,0.000189475,4.74E-05,,29,4.46E-06
4/1/2020,KS,482,5411,,,114,,10,5893,8.179195656,23.65145228,,2.074688797,2913314,28,0.000165447,3.91E-05,,28,3.43E-06
3/31/2020,KS,428,4996,,,79,,9,5424,7.890855457,18.45794393,,2.102803738,2913314,27,0.000146912,2.71E-05,,27,3.09E-06
3/30/2020,KS,368,4554,,,66,,8,4922,7.476635514,17.93478261,,2.173913043,2913314,26,0.000126317,2.27E-05,,26,2.75E-06
3/29/2020,KS,319,4194,,,55,,6,4513,7.068468868,17.24137931,,1.880877743,2913314,25,0.000109497,1.89E-05,,25,2.06E-06
3/28/2020,KS,261,3671,,,27,,5,3932,6.637843337,10.34482759,,1.915708812,2913314,24,8.96E-05,9.27E-06,,24,1.72E-06
3/27/2020,KS,202,3229,,,27,,4,3431,5.887496357,13.36633663,,1.98019802,2913314,23,6.93E-05,9.27E-06,,23,1.37E-06
3/26/2020,KS,168,2869,,,,,3,3037,5.531774778,,,1.785714286,2913314,22,5.77E-05,,,22,1.03E-06
3/25/2020,KS,126,2360,,,,,3,2486,5.068382944,,,2.380952381,2913314,21,4.32E-05,,,21,1.03E-06
3/24/2020,KS,98,2086,,,,,2,2184,4.487179487,,,2.040816327,2913314,20,3.36E-05,,,20,6.87E-07
3/23/2020,KS,82,417,,,,,2,499,16.43286573,,,2.43902439,2913314,19,2.81E-05,,,19,6.87E-07
3/22/2020,KS,64,417,,,,,2,481,13.30561331,,,3.125,2913314,18,2.20E-05,,,18,6.87E-07
3/21/2020,KS,55,417,,,,,2,472,11.65254237,,,3.636363636,2913314,17,1.89E-05,,,17,6.87E-07
3/20/2020,KS,44,417,,,,,1,461,9.544468547,,,2.272727273,2913314,16,1.51E-05,,,16,3.43E-07
3/19/2020,KS,34,417,,,,,1,451,7.538802661,,,2.941176471,2913314,15,1.17E-05,,,15,3.43E-07
3/18/2020,KS,16,417,,,,,1,433,3.695150115,,,6.25,2913314,14,5.49E-06,,,14,3.43E-07
3/17/2020,KS,15,382,,,,,1,397,3.778337531,,,6.666666667,2913314,13,5.15E-06,,,13,3.43E-07
3/16/2020,KS,11,166,,,,,1,177,6.214689266,,,9.090909091,2913314,12,3.78E-06,,,12,3.43E-07
3/15/2020,KS,8,135,,,,,1,143,5.594405594,,,12.5,2913314,11,2.75E-06,,,11,3.43E-07
3/14/2020,KS,6,93,,,,,1,99,6.060606061,,,16.66666667,2913314,10,2.06E-06,,,10,3.43E-07
3/13/2020,KS,6,93,,,,,,99,6.060606061,,,,2913314,9,2.06E-06,,,9,0.00E+00
3/12/2020,KS,4,41,,,,,,45,8.888888889,,,,2913314,8,1.37E-06,,,8,0.00E+00
3/11/2020,KS,1,41,,,,,,42,2.380952381,,,,2913314,7,3.43E-07,,,7,0.00E+00
3/10/2020,KS,1,17,21,,,,,18,5.555555556,,,,2913314,6,3.43E-07,,,6,
3/9/2020,KS,1,11,0,,,,,12,8.333333333,,,,2913314,5,3.43E-07,,,5,
3/8/2020,KS,1,11,0,,,,,12,8.333333333,,,,2913314,4,3.43E-07,,,4,
3/7/2020,KS,0,11,2,,,,,11,0,,,,2913314,3,0,,,3,
3/6/2020,KS,0,4,0,,,,,4,0,,,,2913314,2,0,,,2,
,,,,,,,,,,,,,,,1,,,,1,
,,,,,,,,,,,,,,,0,,,,0,
