date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,recovered,death,totalTestResults,percent_positive,hospitalized_percent,recovered_percent,death_percent,population,,positive_norm,hospitalized_norm,recovered_norm,,death_norm
4/13/2020,KY,1963,23903,,289,667,607,97,25866,7.589113121,33.97860418,30.92205807,4.9414162,4467673,40,0.000439379,0.000149295,0.000135865,40,2.17E-05
4/12/2020,KY,1840,22727,,271,459,464,94,24567,7.489721985,24.94565217,25.2173913,5.108695652,4467673,39,0.000411848,0.000102738,0.000103857,39,2.10E-05
4/11/2020,KY,1693,22595,,271,459,464,90,24288,6.970520422,27.11163615,27.40696988,5.316007088,4467673,38,0.000378944,0.000102738,0.000103857,38,2.01E-05
4/10/2020,KY,1693,22595,,271,459,464,90,24288,6.970520422,27.11163615,27.40696988,5.316007088,4467673,37,0.000378944,0.000102738,0.000103857,37,2.01E-05
4/9/2020,KY,1346,20455,,,,,73,21801,6.174028714,,,5.423476969,4467673,36,0.000301275,,,36,1.63E-05
4/8/2020,KY,1149,20455,,,,,65,21604,5.318459545,,,5.657093124,4467673,35,0.000257181,,,35,1.45E-05
4/7/2020,KY,1008,18947,,,,,59,19955,5.051365573,,,5.853174603,4467673,34,0.000225621,,,34,1.32E-05
4/6/2020,KY,955,17812,,,,,45,18767,5.088719561,,,4.712041885,4467673,33,0.000213758,,,33,1.01E-05
4/5/2020,KY,917,15746,,,,,40,16663,5.503210706,,,4.362050164,4467673,32,0.000205252,,,32,8.95E-06
4/4/2020,KY,831,14741,,,,,37,15572,5.336501413,,,4.452466907,4467673,31,0.000186003,,,31,8.28E-06
4/3/2020,KY,770,12034,,,,,31,12804,6.013745704,,,4.025974026,4467673,30,0.000172349,,,30,6.94E-06
4/2/2020,KY,680,7220,,,,,20,7900,8.607594937,,,2.941176471,4467673,29,0.000152205,,,29,4.48E-06
4/1/2020,KY,591,6965,,,,,17,7556,7.821598729,,,2.876480541,4467673,28,0.000132284,,,28,3.81E-06
3/31/2020,KY,480,6330,,,,,11,6810,7.04845815,,,2.291666667,4467673,27,0.000107438,,,27,2.46E-06
3/30/2020,KY,439,5579,,,,,9,6018,7.29478232,,,2.050113895,4467673,26,9.83E-05,,,26,2.01E-06
3/29/2020,KY,394,5147,,,,,9,5541,7.11062985,,,2.284263959,4467673,25,8.82E-05,,,25,2.01E-06
3/28/2020,KY,302,4821,,,,,8,5123,5.894983408,,,2.649006623,4467673,24,6.76E-05,,,24,1.79E-06
3/27/2020,KY,248,3768,,,,,6,4016,6.175298805,,,2.419354839,4467673,23,5.55E-05,,,23,1.34E-06
3/26/2020,KY,198,3102,,,,,4,3300,6,,,2.02020202,4467673,22,4.43E-05,,,22,8.95E-07
3/25/2020,KY,157,2865,,,,,4,3022,5.195234944,,,2.547770701,4467673,21,3.51E-05,,,21,8.95E-07
3/24/2020,KY,124,1762,,,,,4,1886,6.5747614,,,3.225806452,4467673,20,2.78E-05,,,20,8.95E-07
3/23/2020,KY,104,1762,,,,,3,1866,5.573419078,,,2.884615385,4467673,19,2.33E-05,,,19,6.71E-07
3/22/2020,KY,99,1472,,,,,3,1571,6.301718651,,,3.03030303,4467673,18,2.22E-05,,,18,6.71E-07
3/21/2020,KY,54,714,,,,,2,768,7.03125,,,3.703703704,4467673,17,1.21E-05,,,17,4.48E-07
3/20/2020,KY,47,592,,,,,1,639,7.355242567,,,2.127659574,4467673,16,1.05E-05,,,16,2.24E-07
3/19/2020,KY,35,454,,,,,1,489,7.157464213,,,2.857142857,4467673,15,7.83E-06,,,15,2.24E-07
3/18/2020,KY,26,354,,,,,1,380,6.842105263,,,3.846153846,4467673,14,5.82E-06,,,14,2.24E-07
3/17/2020,KY,22,295,,,,,1,317,6.940063091,,,4.545454545,4467673,13,4.92E-06,,,13,2.24E-07
3/16/2020,KY,21,234,,,,,1,255,8.235294118,,,4.761904762,4467673,12,4.70E-06,,,12,2.24E-07
3/15/2020,KY,16,139,,,,,,155,10.32258065,,,,4467673,11,3.58E-06,,,11,0.00E+00
3/14/2020,KY,14,139,,,,,,153,9.150326797,,,,4467673,10,3.13E-06,,,10,0.00E+00
3/13/2020,KY,11,107,,,,,,118,9.322033898,,,,4467673,9,2.46E-06,,,9,0.00E+00
3/12/2020,KY,8,56,,,,,,64,12.5,,,,4467673,8,1.79E-06,,,8,0.00E+00
3/11/2020,KY,8,46,,,,,,54,14.81481481,,,,4467673,7,1.79E-06,,,7,0.00E+00
3/10/2020,KY,6,28,,,,,,34,17.64705882,,,,4467673,6,1.34E-06,,,6,
3/9/2020,KY,4,17,,,,,,21,19.04761905,,,,4467673,5,8.95E-07,,,5,
3/8/2020,KY,1,13,,,,,,14,7.142857143,,,,4467673,4,2.24E-07,,,4,
3/7/2020,KY,1,9,,,,,,10,10,,,,4467673,3,2.24E-07,,,3,
3/6/2020,KY,0,7,3,,,,,7,0,,,,4467673,2,0,,,2,
,,,,,,,,,,,,,,,1,,,,1,
,,,,,,,,,,,,,,,0,,,,0,
