date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,recovered,death,totalTestResults,percent_positive,hospitalized_percent,recovered_percent,death_percent,population,,positive_norm,hospitalized_norm,recovered_norm,,death_norm
4/13/2020,LA,21016,87075,,2134,,,884,108091,19.44287684,10.15416825,,4.206318995,4648794,40,0.004520742,0.000459044,,40,0.000190157
4/12/2020,LA,20595,83450,,2084,,,840,104045,19.79431977,10.11896091,,4.078659869,4648794,39,0.004430181,0.000448288,,39,0.000180692
4/11/2020,LA,20014,76901,,2067,,,806,96915,20.651086,10.32777056,,4.027180973,4648794,38,0.004305203,0.000444631,,38,0.000173378
4/10/2020,LA,19253,73027,,2054,,,755,92280,20.86367577,10.66846725,,3.921466784,4648794,37,0.004141504,0.000441835,,37,0.000162408
4/9/2020,LA,18283,68636,,2014,,,702,86919,21.0345264,11.01569764,,3.839632445,4648794,36,0.003932848,0.000433231,,36,0.000151007
4/8/2020,LA,17030,64376,,1983,,,652,81406,20.91983392,11.64415737,,3.828537874,4648794,35,0.003663316,0.000426562,,35,0.000140251
4/7/2020,LA,16284,58371,,1996,,,582,74655,21.81233675,12.25743061,,3.574060427,4648794,34,0.003502844,0.000429359,,34,0.000125194
4/6/2020,LA,14867,54299,,1981,,,512,69166,21.49466501,13.32481334,,3.443868972,4648794,33,0.003198034,0.000426132,,33,0.000110136
4/5/2020,LA,13010,47315,,1803,,,477,60325,21.56651471,13.85857033,,3.666410453,4648794,32,0.002798575,0.000387843,,32,0.000102607
4/4/2020,LA,12496,46002,,1726,,,409,58498,21.36141407,13.81241997,,3.273047375,4648794,31,0.002688009,0.000371279,,31,8.80E-05
4/3/2020,LA,10297,43348,,1707,,,370,53645,19.19470594,16.57764397,,3.593279596,4648794,30,0.002214983,0.000367192,,30,7.96E-05
4/2/2020,LA,9150,41936,,1639,,,310,51086,17.91097365,17.91256831,,3.387978142,4648794,29,0.001968252,0.000352565,,29,6.67E-05
4/1/2020,LA,6424,39352,,1498,,,273,45776,14.0335547,23.31880448,,4.249688667,4648794,28,0.001381864,0.000322234,,28,5.87E-05
3/31/2020,LA,5237,33730,,1355,,,239,38967,13.43957708,25.87359175,,4.563681497,4648794,27,0.001126529,0.000291473,,27,5.14E-05
3/30/2020,LA,4025,30008,,1185,,,185,34033,11.82675638,29.44099379,,4.596273292,4648794,26,0.000865816,0.000254905,,26,3.98E-05
3/29/2020,LA,3540,24331,,1127,,,151,27871,12.70137419,31.83615819,,4.265536723,4648794,25,0.000761488,0.000242428,,25,3.25E-05
3/28/2020,LA,3315,21846,,927,,,137,25161,13.17515202,27.9638009,,4.132730015,4648794,24,0.000713088,0.000199407,,24,2.95E-05
3/27/2020,LA,2746,18613,,773,,,119,21359,12.85640714,28.15003642,,4.333576111,4648794,23,0.000590691,0.00016628,,23,2.56E-05
3/26/2020,LA,2305,15724,,676,,,83,18029,12.78495757,29.32754881,,3.600867679,4648794,22,0.000495828,0.000145414,,22,1.79E-05
3/25/2020,LA,1795,9656,,491,,,65,11451,15.67548686,27.35376045,,3.621169916,4648794,21,0.000386122,0.000105619,,21,1.40E-05
3/24/2020,LA,1388,7215,,271,,,46,8603,16.13390678,19.52449568,,3.314121037,4648794,20,0.000298572,5.83E-05,,20,9.90E-06
3/23/2020,LA,1172,4776,,,,,34,5948,19.70410222,,,2.901023891,4648794,19,0.000252108,,,19,7.31E-06
3/22/2020,LA,837,2661,,,,,20,3498,23.92795883,,,2.38948626,4648794,18,0.000180047,,,18,4.30E-06
3/21/2020,LA,585,2180,,,,,16,2765,21.15732369,,,2.735042735,4648794,17,0.000125839,,,17,3.44E-06
3/20/2020,LA,479,568,,,,,12,1047,45.74976122,,,2.505219207,4648794,16,0.000103037,,,16,2.58E-06
3/19/2020,LA,347,458,,,,,8,805,43.10559006,,,2.305475504,4648794,15,7.46E-05,,,15,1.72E-06
3/18/2020,LA,240,335,,,,,6,575,41.73913043,,,2.5,4648794,14,5.16E-05,,,14,1.29E-06
3/17/2020,LA,171,286,,,,,4,457,37.41794311,,,2.339181287,4648794,13,3.68E-05,,,13,8.60E-07
3/16/2020,LA,114,188,,,,,2,302,37.74834437,,,1.754385965,4648794,12,2.45E-05,,,12,4.30E-07
3/15/2020,LA,91,156,,,,,2,247,36.84210526,,,2.197802198,4648794,11,1.96E-05,,,11,4.30E-07
3/14/2020,LA,69,109,,,,,,178,38.76404494,,,,4648794,10,1.48E-05,,,10,0.00E+00
3/13/2020,LA,36,37,,,,,,73,49.31506849,,,,4648794,9,7.74E-06,,,9,0.00E+00
3/12/2020,LA,14,37,,,,,,51,27.45098039,,,,4648794,8,3.01E-06,,,8,0.00E+00
3/11/2020,LA,6,37,,,,,,43,13.95348837,,,,4648794,7,1.29E-06,,,7,0.00E+00
3/10/2020,LA,1,11,,,,,,12,8.333333333,,,,4648794,6,2.15E-07,,,6,
3/9/2020,LA,1,5,,,,,,6,16.66666667,,,,4648794,5,2.15E-07,,,5,
3/8/2020,LA,0,5,,,,,,5,0,,,,4648794,4,0,,,4,
3/7/2020,LA,0,,,,,,,0,,,,,4648794,3,0,,,3,
,,,,,,,,,,,,,,,2,0.00E+00,,,2,
,,,,,,,,,,,,,,,1,,,,1,
,,,,,,,,,,,,,,,0,,,,0,
