date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,recovered,death,totalTestResults,percent_positive,hospitalized_percent,recovered_percent,death_percent,population,,positive_norm,hospitalized_norm,recovered_norm,,death_norm
4/13/2020,MA,26867,95182,,,2340,,844,122049,22.01328974,8.70956936,,3.141400231,6892503,40,0.003898003,0.000339499,,40,0.000122452
4/12/2020,MA,25475,91255,,,2235,,756,116730,21.82386704,8.773307164,,2.967615309,6892503,39,0.003696045,0.000324265,,39,0.000109684
4/11/2020,MA,22860,85916,,,2120,,686,108776,21.01566522,9.27384077,,3.000874891,6892503,38,0.003316647,0.000307581,,38,9.95E-05
4/10/2020,MA,20974,81398,,,1956,,599,102372,20.48802407,9.325831982,,2.855916849,6892503,37,0.003043016,0.000283787,,37,8.69E-05
4/9/2020,MA,18941,76017,,,1747,,503,94958,19.94671328,9.223377858,,2.655614804,6892503,36,0.002748058,0.000253464,,36,7.30E-05
4/8/2020,MA,16790,70721,,,1583,,433,87511,19.18615945,9.42823109,,2.578916021,6892503,35,0.00243598,0.00022967,,35,6.28E-05
4/7/2020,MA,15202,66142,,,1435,,356,81344,18.68853265,9.439547428,,2.341797132,6892503,34,0.002205585,0.000208197,,34,5.17E-05
4/6/2020,MA,13837,62592,,,1241,,260,76429,18.10438446,8.96870709,,1.879020019,6892503,33,0.002007544,0.000180051,,33,3.77E-05
4/5/2020,MA,12500,59437,,,1145,,231,71937,17.37631539,9.16,,1.848,6892503,32,0.001813565,0.000166123,,32,3.35E-05
4/4/2020,MA,11736,57064,,,1068,,216,68800,17.05813953,9.100204499,,1.840490798,6892503,31,0.00170272,0.000154951,,31,3.13E-05
4/3/2020,MA,10402,52560,,,966,,192,62962,16.5210762,9.286675639,,1.845798885,6892503,30,0.001509176,0.000140152,,30,2.79E-05
4/2/2020,MA,8966,47642,,,813,,154,56608,15.83875071,9.067588668,,1.717599822,6892503,29,0.001300834,0.000117954,,29,2.23E-05
4/1/2020,MA,7738,44000,,,682,,122,51738,14.95612509,8.813646937,,1.576634789,6892503,28,0.001122669,9.89E-05,,28,1.77E-05
3/31/2020,MA,6620,40315,,,562,,89,46935,14.10461276,8.489425982,,1.344410876,6892503,27,0.000960464,8.15E-05,,27,1.29E-05
3/30/2020,MA,5752,37041,,,453,,56,42793,13.4414507,7.875521558,,0.973574409,6892503,26,0.00083453,6.57E-05,,26,8.12E-06
3/29/2020,MA,4955,34111,,,399,,48,39066,12.68366354,8.05247225,,0.968718466,6892503,25,0.000718897,5.79E-05,,25,6.96E-06
3/28/2020,MA,4257,30792,,,350,,44,35049,12.14585295,8.221752408,,1.033591731,6892503,24,0.000617628,5.08E-05,,24,6.38E-06
3/27/2020,MA,3240,26131,,,219,,35,29371,11.03128937,6.759259259,,1.080246914,6892503,23,0.000470076,3.18E-05,,23,5.08E-06
3/26/2020,MA,2417,21204,,,219,,25,23621,10.2324203,9.060819197,,1.034340091,6892503,22,0.000350671,3.18E-05,,22,3.63E-06
3/25/2020,MA,1838,17956,,,103,,15,19794,9.285642114,5.603917301,,0.816104461,6892503,21,0.000266667,1.49E-05,,21,2.18E-06
3/24/2020,MA,1159,12590,,,94,,11,13749,8.429703978,8.110440035,,0.949094047,6892503,20,0.000168154,1.36E-05,,20,1.60E-06
3/23/2020,MA,777,8145,,,79,,9,8922,8.708809684,10.16731017,,1.158301158,6892503,19,0.000112731,1.15E-05,,19,1.31E-06
3/22/2020,MA,646,5459,,,71,,5,6105,10.58149058,10.99071207,,0.773993808,6892503,18,9.37E-05,1.03E-05,,18,7.25E-07
3/21/2020,MA,525,4752,,,61,,1,5277,9.948834565,11.61904762,,0.19047619,6892503,17,7.62E-05,8.85E-06,,17,1.45E-07
3/20/2020,MA,413,3678,,,,,1,4091,10.09533121,,,0.242130751,6892503,16,5.99E-05,,,16,1.45E-07
3/19/2020,MA,328,2804,,,,,,3132,10.47254151,,,,6892503,15,4.76E-05,,,15,0.00E+00
3/18/2020,MA,256,2015,,,,,,2271,11.27256715,,,,6892503,14,3.71E-05,,,14,0.00E+00
3/17/2020,MA,218,1541,,,,,,1759,12.39340534,,,,6892503,13,3.16E-05,,,13,0.00E+00
3/16/2020,MA,164,352,,,,,,516,31.78294574,,,,6892503,12,2.38E-05,,,12,0.00E+00
3/15/2020,MA,138,352,,,,,,490,28.16326531,,,,6892503,11,2.00E-05,,,11,0.00E+00
3/14/2020,MA,138,352,,,,,,490,28.16326531,,,,6892503,10,2.00E-05,,,10,0.00E+00
3/13/2020,MA,123,92,,,,,,215,57.20930233,,,,6892503,9,1.78E-05,,,9,0.00E+00
3/12/2020,MA,95,,,,,,,95,100,,,,6892503,8,1.38E-05,,,8,0.00E+00
3/11/2020,MA,92,,,,,,,92,100,,,,6892503,7,1.33E-05,,,7,0.00E+00
3/10/2020,MA,92,,,,,,,92,100,,,,6892503,6,1.33E-05,,,6,
3/9/2020,MA,41,,,,,,,41,100,,,,6892503,5,5.95E-06,,,5,
3/8/2020,MA,13,,,,,,,13,100,,,,6892503,4,1.89E-06,,,4,
3/7/2020,MA,13,,,,,,,13,100,,,,6892503,3,1.89E-06,,,3,
3/6/2020,MA,8,,,,,,,8,100,,,,6892503,2,1.16E-06,,,2,
3/5/2020,MA,2,,,,,,,2,100,,,,6892503,1,2.90E-07,,,1,
3/4/2020,MA,2,,,,,,,2,100,,,,6892503,0,2.90E-07,,,0,
