date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,recovered,death,totalTestResults,percent_positive,hospitalized_percent,recovered_percent,death_percent,population,,positive_norm,hospitalized_norm,recovered_norm,,death_norm
4/13/2020,MD,8936,42815,,,1975,603,262,51751,17.26729918,22.10161146,6.747985676,2.931960609,6045680,40,0.00147808,0.00032668,9.97E-05,40,4.33E-05
4/12/2020,MD,8225,41539,,,1860,456,235,49764,16.52801222,22.61398176,5.544072948,2.857142857,6045680,39,0.001360476,0.000307658,7.54E-05,39,3.89E-05
4/11/2020,MD,7694,39544,,,1709,431,206,47238,16.28773445,22.21211334,5.601767611,2.67741097,6045680,38,0.001272644,0.000282681,7.13E-05,38,3.41E-05
4/10/2020,MD,6968,37480,,,1413,397,171,44448,15.67674586,20.27841561,5.697474168,2.454075775,6045680,37,0.001152559,0.000233721,6.57E-05,37,2.83E-05
4/9/2020,MD,6185,35344,,,1348,376,138,41529,14.89320716,21.79466451,6.079223929,2.231204527,6045680,36,0.001023045,0.000222969,6.22E-05,36,2.28E-05
4/8/2020,MD,5529,32933,,,1210,365,124,38462,14.3752275,21.88460843,6.601555435,2.242720203,6045680,35,0.000914537,0.000200143,6.04E-05,35,2.05E-05
4/7/2020,MD,4371,27256,,,1106,288,103,31627,13.82046985,25.30313429,6.588881263,2.356440174,6045680,34,0.000722996,0.000182941,4.76E-05,34,1.70E-05
4/6/2020,MD,4045,25572,,,1059,184,91,29617,13.65769659,26.18046972,4.548825711,2.249690977,6045680,33,0.000669073,0.000175166,3.04E-05,33,1.51E-05
4/5/2020,MD,3609,24728,,,936,159,67,28337,12.73599887,25.93516209,4.405652535,1.856469936,6045680,32,0.000596955,0.000154821,2.63E-05,32,1.11E-05
4/4/2020,MD,3125,22485,,,821,159,53,25610,12.20226474,26.272,5.088,1.696,6045680,31,0.000516898,0.000135799,2.63E-05,31,8.77E-06
4/3/2020,MD,2758,20932,,,664,159,42,23690,11.64204306,24.07541697,5.765047136,1.52284264,6045680,30,0.000456194,0.00010983,2.63E-05,30,6.95E-06
4/2/2020,MD,2331,18890,,,582,81,36,21221,10.98440224,24.96782497,3.474903475,1.544401544,6045680,29,0.000385565,9.63E-05,1.34E-05,29,5.95E-06
4/1/2020,MD,1985,17233,,,522,,31,19218,10.32885836,26.29722922,,1.561712846,6045680,28,0.000328334,8.63E-05,,28,5.13E-06
3/31/2020,MD,1660,14868,,,429,,18,16528,10.04356244,25.84337349,,1.084337349,6045680,27,0.000274576,7.10E-05,,27,2.98E-06
3/30/2020,MD,1413,13316,,,353,,15,14729,9.593319302,24.98230715,,1.061571125,6045680,26,0.000233721,5.84E-05,,26,2.48E-06
3/29/2020,MD,1239,12354,,,277,,10,13593,9.114985654,22.35673931,,0.807102502,6045680,25,0.00020494,4.58E-05,,25,1.65E-06
3/28/2020,MD,992,11516,,,226,,5,12508,7.930924209,22.78225806,,0.504032258,6045680,24,0.000164084,3.74E-05,,24,8.27E-07
3/27/2020,MD,774,94,,,173,25,5,868,89.17050691,22.35142119,3.22997416,0.645994832,6045680,23,0.000128025,2.86E-05,4.14E-06,23,8.27E-07
3/26/2020,MD,580,94,,,132,,4,674,86.05341246,22.75862069,,0.689655172,6045680,22,9.59E-05,2.18E-05,,22,6.62E-07
3/25/2020,MD,423,94,,,,,4,517,81.81818182,,,0.945626478,6045680,21,7.00E-05,,,21,6.62E-07
3/24/2020,MD,349,94,,,,,3,443,78.78103837,,,0.859598854,6045680,20,5.77E-05,,,20,4.96E-07
3/23/2020,MD,288,94,,,,,3,382,75.39267016,,,1.041666667,6045680,19,4.76E-05,,,19,4.96E-07
3/22/2020,MD,244,94,,,,,3,338,72.18934911,,,1.229508197,6045680,18,4.04E-05,,,18,4.96E-07
3/21/2020,MD,190,94,,,,,2,284,66.90140845,,,1.052631579,6045680,17,3.14E-05,,,17,3.31E-07
3/20/2020,MD,149,94,,,,,1,243,61.31687243,,,0.67114094,6045680,16,2.46E-05,,,16,1.65E-07
3/19/2020,MD,107,94,,,,,1,201,53.23383085,,,0.934579439,6045680,15,1.77E-05,,,15,1.65E-07
