date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,recovered,death,totalTestResults,percent_positive,hospitalized_percent,recovered_percent,death_percent,population,,positive_norm,hospitalized_norm,recovered_norm,,death_norm
4/13/2020,ME,698,11608,,22,124,273,19,12306,5.672029904,17.76504298,39.11174785,2.722063037,1344212,40,0.000519263,9.22E-05,0.000203093,40,1.41E-05
4/12/2020,ME,633,6088,,,120,266,19,6721,9.418241333,18.95734597,42.0221169,3.001579779,1344212,39,0.000470908,8.93E-05,0.000197885,39,1.41E-05
4/11/2020,ME,616,6088,,,114,256,19,6704,9.188544153,18.50649351,41.55844156,3.084415584,1344212,38,0.000458261,8.48E-05,0.000190446,38,1.41E-05
4/10/2020,ME,586,6088,,,111,246,17,6674,8.780341624,18.94197952,41.97952218,2.901023891,1344212,37,0.000435943,8.26E-05,0.000183007,37,1.26E-05
4/9/2020,ME,560,6088,,,105,202,16,6648,8.423586041,18.75,36.07142857,2.857142857,1344212,36,0.000416601,7.81E-05,0.000150274,36,1.19E-05
4/8/2020,ME,537,6088,,,101,187,14,6625,8.105660377,18.80819367,34.82309125,2.60707635,1344212,35,0.000399491,7.51E-05,0.000139115,35,1.04E-05
4/7/2020,ME,519,6088,,,99,176,12,6607,7.85530498,19.07514451,33.91136802,2.312138728,1344212,34,0.0003861,7.36E-05,0.000130932,34,8.93E-06
4/6/2020,ME,499,6088,,,92,158,10,6587,7.575527554,18.43687375,31.66332665,2.004008016,1344212,33,0.000371221,6.84E-05,0.000117541,33,7.44E-06
4/5/2020,ME,470,6088,,,86,156,10,6558,7.166819152,18.29787234,33.19148936,2.127659574,1344212,32,0.000349647,6.40E-05,0.000116053,32,7.44E-06
4/4/2020,ME,456,6088,,,83,140,10,6544,6.968215159,18.20175439,30.70175439,2.192982456,1344212,31,0.000339232,6.17E-05,0.00010415,31,7.44E-06
4/3/2020,ME,432,6088,,,75,113,9,6520,6.625766871,17.36111111,26.15740741,2.083333333,1344212,30,0.000321378,5.58E-05,8.41E-05,30,6.70E-06
4/2/2020,ME,376,6088,,,68,94,7,6464,5.816831683,18.08510638,25,1.861702128,1344212,29,0.000279718,5.06E-05,6.99E-05,29,5.21E-06
4/1/2020,ME,344,6088,,,63,80,7,6432,5.348258706,18.31395349,23.25581395,2.034883721,1344212,28,0.000255912,4.69E-05,5.95E-05,28,5.21E-06
3/31/2020,ME,303,6088,,,57,68,5,6391,4.74104209,18.81188119,22.44224422,1.650165017,1344212,27,0.000225411,4.24E-05,5.06E-05,27,3.72E-06
3/30/2020,ME,275,3394,,,49,41,3,3669,7.495230308,17.81818182,14.90909091,1.090909091,1344212,26,0.000204581,3.65E-05,3.05E-05,26,2.23E-06
3/29/2020,ME,253,3394,,,,41,3,3647,6.937208665,,16.2055336,1.185770751,1344212,25,0.000188214,,3.05E-05,25,2.23E-06
3/28/2020,ME,211,3394,,,,36,1,3605,5.852981969,,17.06161137,0.473933649,1344212,24,0.000156969,,2.68E-05,24,7.44E-07
3/27/2020,ME,168,3394,,,,24,1,3562,4.716451432,,14.28571429,0.595238095,1344212,23,0.00012498,,1.79E-05,23,7.44E-07
3/26/2020,ME,155,3394,,,,16,,3549,4.367427444,,10.32258065,,1344212,22,0.000115309,,1.19E-05,22,0.00E+00
3/25/2020,ME,149,3177,,,,7,,3326,4.479855683,,4.697986577,,1344212,21,0.000110846,,5.21E-06,21,0.00E+00
3/24/2020,ME,125,3014,,,,,,3139,3.982159924,,,,1344212,20,9.30E-05,,,20,0.00E+00
3/23/2020,ME,107,2791,,,,,,2898,3.692201518,,,,1344212,19,7.96E-05,,,19,0.00E+00
3/22/2020,ME,89,2264,,,,,,2353,3.78240544,,,,1344212,18,6.62E-05,,,18,0.00E+00
3/21/2020,ME,73,2264,,,,,,2337,3.123662816,,,,1344212,17,5.43E-05,,,17,0.00E+00
3/20/2020,ME,57,2264,,,,,,2321,2.455838001,,,,1344212,16,4.24E-05,,,16,0.00E+00
3/19/2020,ME,53,2004,,,,,,2057,2.576567817,,,,1344212,15,3.94E-05,,,15,0.00E+00
3/18/2020,ME,43,1670,,,,,,1713,2.510215995,,,,1344212,14,3.20E-05,,,14,0.00E+00
3/17/2020,ME,32,1303,,,,,,1335,2.397003745,,,,1344212,13,2.38E-05,,,13,0.00E+00
3/16/2020,ME,17,764,,,,,,781,2.176696543,,,,1344212,12,1.26E-05,,,12,0.00E+00
3/15/2020,ME,3,91,17,,,,,94,3.191489362,,,,1344212,11,2.23E-06,,,11,0.00E+00
3/14/2020,ME,3,91,17,,,,,94,3.191489362,,,,1344212,10,2.23E-06,,,10,0.00E+00
3/13/2020,ME,3,91,17,,,,,94,3.191489362,,,,1344212,9,2.23E-06,,,9,0.00E+00
3/12/2020,ME,1,65,20,,,,,66,1.515151515,,,,1344212,8,7.44E-07,,,8,0.00E+00
3/11/2020,ME,0,42,5,,,,,42,0,,,,1344212,7,0,,,7,0.00E+00
3/10/2020,ME,0,20,5,,,,,20,0,,,,1344212,6,0,,,6,
3/9/2020,ME,0,1,,,,,,1,0,,,,1344212,5,0,,,5,
3/8/2020,ME,0,1,,,,,,1,0,,,,1344212,4,0,,,4,
3/7/2020,ME,0,1,,,,,,1,0,,,,1344212,3,0,,,3,
,,,,,,,,,,,,,,,2,0,,,2,
,,,,,,,,,,,,,,,1,,,,1,
,,,,,,,,,,,,,,,0,,,,0,
