date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,recovered,death,totalTestResults,percent_positive,hospitalized_percent,recovered_percent,death_percent,population,,positive_norm,hospitalized_norm,recovered_norm,,death_norm
4/13/2020,MI,25635,57009,,3986,,447,1602,82644,31.01858574,15.54905403,1.743709772,6.249268578,9986857,40,0.002566874,0.000399125,4.48E-05,40,0.000160411
4/12/2020,MI,24638,54799,,3636,,433,1487,79437,31.01577351,14.75769137,1.757447845,6.035392483,9986857,39,0.002467042,0.000364079,4.34E-05,39,0.000148896
4/11/2020,MI,23993,52021,,3636,,595,1392,76014,31.56392244,15.15442004,2.479889968,5.80169216,9986857,38,0.002402458,0.000364079,5.96E-05,38,0.000139383
4/10/2020,MI,22783,49261,,3823,,56,1281,72044,31.62372994,16.7800553,0.245797305,5.622613352,9986857,37,0.002281298,0.000382803,5.61E-06,37,0.000128269
4/9/2020,MI,21504,45550,,3826,,56,1076,67054,32.06967519,17.79203869,0.260416667,5.003720238,9986857,36,0.00215323,0.000383104,5.61E-06,36,0.000107742
4/8/2020,MI,20589,45550,,,,56,959,66139,31.1298931,,0.271989898,4.657826995,9986857,35,0.00206161,,5.61E-06,35,9.60E-05
4/7/2020,MI,19823,45550,,,,56,845,65373,30.32291619,,0.282500126,4.262725117,9986857,34,0.001984909,,5.61E-06,34,8.46E-05
4/6/2020,MI,18850,43120,,,,56,727,61970,30.41794417,,0.297082228,3.856763926,9986857,33,0.001887481,,5.61E-06,33,7.28E-05
4/5/2020,MI,17567,40331,,,,56,617,57898,30.34128985,,0.31877953,3.512267319,9986857,32,0.001759012,,5.61E-06,32,6.18E-05
4/4/2020,MI,16395,37405,,,,56,540,53800,30.4739777,,0.341567551,3.2936871,9986857,31,0.001641658,,5.61E-06,31,5.41E-05
4/3/2020,MI,15252,33670,,,,56,479,48922,31.17615797,,0.367164962,3.140571728,9986857,30,0.001527207,,5.61E-06,30,4.80E-05
4/2/2020,MI,14117,30368,,,,,417,44485,31.73429246,,,2.953885386,9986857,29,0.001413558,,,29,4.18E-05
4/1/2020,MI,12888,27237,,,,,337,40125,32.11962617,,,2.614835506,9986857,28,0.001290496,,,28,3.37E-05
3/31/2020,MI,11875,23979,,,,,259,35854,33.12043287,,,2.181052632,9986857,27,0.001189063,,,27,2.59E-05
3/30/2020,MI,10901,21183,,,,,184,32084,33.97643685,,,1.68791854,9986857,26,0.001091535,,,26,1.84E-05
3/29/2020,MI,10010,15676,,,,,132,25686,38.97064549,,,1.318681319,9986857,25,0.001002317,,,25,1.32E-05
3/28/2020,MI,9287,14183,,,,,92,23470,39.5696634,,,0.990632066,9986857,24,0.000929922,,,24,9.21E-06
3/27/2020,MI,8659,12639,,,,,92,21298,40.65639966,,,1.062478346,9986857,23,0.00086704,,,23,9.21E-06
3/26/2020,MI,7767,10305,,,,,60,18072,42.97808765,,,0.772499034,9986857,22,0.000777722,,,22,6.01E-06
3/25/2020,MI,7060,7537,,,,,43,14597,48.36610262,,,0.609065156,9986857,21,0.000706929,,,21,4.31E-06
3/24/2020,MI,1791,5796,,,,,24,7587,23.60616845,,,1.340033501,9986857,20,0.000179336,,,20,2.40E-06
3/23/2020,MI,1328,4697,,,,,15,6025,22.04149378,,,1.129518072,9986857,19,0.000132975,,,19,1.50E-06
3/22/2020,MI,1035,3712,,,,,8,4747,21.80324415,,,0.77294686,9986857,18,0.000103636,,,18,8.01E-07
3/21/2020,MI,787,3696,,,,,5,4483,17.55520857,,,0.635324015,9986857,17,7.88E-05,,,17,5.01E-07
3/20/2020,MI,549,2746,,,,,3,3295,16.6616085,,,0.546448087,9986857,16,5.50E-05,,,16,3.00E-07
3/19/2020,MI,336,1785,,,,,3,2121,15.84158416,,,0.892857143,9986857,15,3.36E-05,,,15,3.00E-07
3/18/2020,MI,80,1215,,,,,,1295,6.177606178,,,,9986857,14,8.01E-06,,,14,0.00E+00
3/17/2020,MI,65,626,,,,,,691,9.406657019,,,,9986857,13,6.51E-06,,,13,0.00E+00
3/16/2020,MI,53,272,30,,,,,325,16.30769231,,,,9986857,12,5.31E-06,,,12,0.00E+00
3/15/2020,MI,33,205,26,,,,,238,13.86554622,,,,9986857,11,3.30E-06,,,11,0.00E+00
3/14/2020,MI,25,205,26,,,,,230,10.86956522,,,,9986857,10,2.50E-06,,,10,0.00E+00
3/13/2020,MI,16,133,26,,,,,149,10.73825503,,,,9986857,9,1.60E-06,,,9,0.00E+00
3/12/2020,MI,2,91,27,,,,,93,2.150537634,,,,9986857,8,2.00E-07,,,8,0.00E+00
3/11/2020,MI,2,57,18,,,,,59,3.389830508,,,,9986857,7,2.00E-07,,,7,0.00E+00
3/10/2020,MI,0,39,24,,,,,39,0,,,,9986857,6,0,,,6,
3/9/2020,MI,0,36,11,,,,,36,0,,,,9986857,5,0,,,5,
3/8/2020,MI,0,26,10,,,,,26,0,,,,9986857,4,0,,,4,
3/7/2020,MI,0,18,9,,,,,18,0,,,,9986857,3,0,,,3,
3/6/2020,MI,0,8,8,,,,,8,0,,,,9986857,2,0,,,2,
3/5/2020,MI,0,8,0,,,,,8,0,,,,9986857,1,0,,,1,
,,,,,,,,,,,,,,,0,,,,0,
