date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,recovered,death,totalTestResults,percent_positive,hospitalized_percent,recovered_percent,death_percent,population,,positive_norm,hospitalized_norm,recovered_norm,,death_norm
4/13/2020,MN,1650,36777,,157,361,842,70,38427,4.293855883,21.87878788,51.03030303,4.242424242,5639632,40,0.000292572,6.40E-05,0.000149301,40,1.24E-05
4/12/2020,MN,1621,35800,,157,361,842,70,37421,4.331792309,22.27020358,51.94324491,4.318322023,5639632,39,0.00028743,6.40E-05,0.000149301,39,1.24E-05
4/11/2020,MN,1427,33977,,145,340,793,64,35404,4.030618009,23.82620883,55.57112824,4.484933427,5639632,38,0.000253031,6.03E-05,0.000140612,38,1.13E-05
4/10/2020,MN,1336,32558,,143,317,732,57,33894,3.941700596,23.72754491,54.79041916,4.266467066,5639632,37,0.000236895,5.62E-05,0.000129796,37,1.01E-05
4/9/2020,MN,1242,31052,,145,293,675,50,32294,3.84591565,23.59098229,54.34782609,4.025764895,5639632,36,0.000220227,5.20E-05,0.000119689,36,8.87E-06
4/8/2020,MN,1154,29599,,135,271,632,39,30753,3.752479433,23.48353553,54.7660312,3.379549393,5639632,35,0.000204623,4.81E-05,0.000112064,35,6.92E-06
4/7/2020,MN,1069,28191,,120,242,549,34,29260,3.653451811,22.63797942,51.35640786,3.180542563,5639632,34,0.000189551,4.29E-05,9.73E-05,34,6.03E-06
4/6/2020,MN,986,27142,,115,223,470,30,28128,3.505403868,22.61663286,47.6673428,3.042596349,5639632,33,0.000174834,3.95E-05,8.33E-05,33,5.32E-06
4/5/2020,MN,935,25842,,106,202,451,29,26777,3.491802666,21.60427807,48.23529412,3.101604278,5639632,32,0.000165791,3.58E-05,8.00E-05,32,5.14E-06
4/4/2020,MN,865,24558,,95,180,440,24,25423,3.40243087,20.80924855,50.86705202,2.774566474,5639632,31,0.000153379,3.19E-05,7.80E-05,31,4.26E-06
4/3/2020,MN,789,23438,,86,156,,22,24227,3.256697074,19.77186312,,2.78833967,5639632,30,0.000139903,2.77E-05,,30,3.90E-06
4/2/2020,MN,742,21652,,75,138,,18,22394,3.313387515,18.59838275,,2.425876011,5639632,29,0.000131569,2.45E-05,,29,3.19E-06
4/1/2020,MN,689,20502,,54,122,,17,21191,3.251380303,17.70682148,,2.467343977,5639632,28,0.000122171,2.16E-05,,28,3.01E-06
3/31/2020,MN,629,19151,,56,112,,12,19780,3.179979778,17.80604134,,1.907790143,5639632,27,0.000111532,1.99E-05,,27,2.13E-06
3/30/2020,MN,576,18246,,56,92,,10,18822,3.060248645,15.97222222,,1.736111111,5639632,26,0.000102134,1.63E-05,,26,1.77E-06
3/29/2020,MN,503,17154,,39,75,252,9,17657,2.84872855,14.91053678,50.09940358,1.789264414,5639632,25,8.92E-05,1.33E-05,4.47E-05,25,1.60E-06
3/28/2020,MN,441,15688,,30,57,220,5,16129,2.734205468,12.92517007,49.88662132,1.133786848,5639632,24,7.82E-05,1.01E-05,3.90E-05,24,8.87E-07
3/27/2020,MN,398,13605,,34,51,180,4,14003,2.84224809,12.81407035,45.22613065,1.005025126,5639632,23,7.06E-05,9.04E-06,3.19E-05,23,7.09E-07
3/26/2020,MN,346,12604,,31,41,,2,12950,2.671814672,11.84971098,,0.578034682,5639632,22,6.14E-05,7.27E-06,,22,3.55E-07
3/25/2020,MN,287,11188,,26,35,122,1,11475,2.501089325,12.19512195,42.5087108,0.348432056,5639632,21,5.09E-05,6.21E-06,2.16E-05,21,1.77E-07
3/24/2020,MN,262,5550,,,21,,1,5812,4.507914659,8.015267176,,0.381679389,5639632,20,4.65E-05,3.72E-06,,20,1.77E-07
3/23/2020,MN,235,4511,,,17,,1,4746,4.951538137,7.234042553,,0.425531915,5639632,19,4.17E-05,3.01E-06,,19,1.77E-07
3/22/2020,MN,169,4511,,,12,,1,4680,3.611111111,7.100591716,,0.591715976,5639632,18,3.00E-05,2.13E-06,,18,1.77E-07
3/21/2020,MN,138,3952,,,,,1,4090,3.37408313,,,0.724637681,5639632,17,2.45E-05,,,17,1.77E-07
3/20/2020,MN,115,3741,,,,,,3856,2.982365145,,,,5639632,16,2.04E-05,,,16,0.00E+00
3/19/2020,MN,89,2949,,,,,,3038,2.92955892,,,,5639632,15,1.58E-05,,,15,0.00E+00
3/18/2020,MN,77,2685,,,,,,2762,2.787834902,,,,5639632,14,1.37E-05,,,14,0.00E+00
3/17/2020,MN,60,2276,,,,,,2336,2.568493151,,,,5639632,13,1.06E-05,,,13,0.00E+00
3/16/2020,MN,54,1839,,,,,,1893,2.852614897,,,,5639632,12,9.58E-06,,,12,0.00E+00
3/15/2020,MN,35,1387,,,,,,1422,2.461322082,,,,5639632,11,6.21E-06,,,11,0.00E+00
3/14/2020,MN,21,847,,,,,,868,2.419354839,,,,5639632,10,3.72E-06,,,10,0.00E+00
3/13/2020,MN,14,541,,,,,,555,2.522522523,,,,5639632,9,2.48E-06,,,9,0.00E+00
3/12/2020,MN,9,307,,,,,,316,2.848101266,,,,5639632,8,1.60E-06,,,8,0.00E+00
3/11/2020,MN,5,217,,,,,,222,2.252252252,,,,5639632,7,8.87E-07,,,7,0.00E+00
3/10/2020,MN,3,132,,,,,,135,2.222222222,,,,5639632,6,5.32E-07,,,6,
3/9/2020,MN,2,80,,,,,,82,2.43902439,,,,5639632,5,3.55E-07,,,5,
3/8/2020,MN,1,48,,,,,,49,2.040816327,,,,5639632,4,1.77E-07,,,4,
3/7/2020,MN,1,48,,,,,,49,2.040816327,,,,5639632,3,1.77E-07,,,3,
3/6/2020,MN,0,36,,,,,,36,0,,,,5639632,2,0,,,2,
,,,,,,,,,,,,,,,1,,,,1,
,,,,,,,,,,,,,,,0,,,,0,
