date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,recovered,death,totalTestResults,percent_positive,hospitalized_percent,recovered_percent,death_percent,population,,positive_norm,hospitalized_norm,recovered_norm,,death_norm
4/13/2020,MO,4388,41040,,988,,,114,45428,9.659240997,22.5159526,,2.597994531,6137428,40,0.000714957,0.000160979,,40,1.86E-05
4/12/2020,MO,4160,41040,,988,,,110,45200,9.203539823,23.75,,2.644230769,6137428,39,0.000677808,0.000160979,,39,1.79E-05
4/11/2020,MO,4024,39148,,506,,,109,43172,9.32085611,12.57455268,,2.708747515,6137428,38,0.000655649,8.24E-05,,38,1.78E-05
4/10/2020,MO,3799,36941,,568,,,96,40740,9.324987727,14.95130297,,2.526980784,6137428,37,0.000618989,9.25E-05,,37,1.56E-05
4/9/2020,MO,3539,34955,,568,,,77,38494,9.193640567,16.04973156,,2.175755863,6137428,36,0.000576626,9.25E-05,,36,1.25E-05
4/8/2020,MO,3327,30783,,519,,,58,34110,9.753737907,15.59963931,,1.743312293,6137428,35,0.000542084,8.46E-05,,35,9.45E-06
4/7/2020,MO,3037,28932,,508,,,53,31969,9.499827958,16.72703326,,1.745143233,6137428,34,0.000494833,8.28E-05,,34,8.64E-06
4/6/2020,MO,2722,27113,,439,,,39,29835,9.123512653,16.12784717,,1.432770022,6137428,33,0.000443508,7.15E-05,,33,6.35E-06
4/5/2020,MO,2367,24882,,424,,,34,27249,8.686557305,17.91297,,1.436417406,6137428,32,0.000385666,6.91E-05,,32,5.54E-06
4/4/2020,MO,2291,22614,,413,,,24,24905,9.198956033,18.02706242,,1.047577477,6137428,31,0.000373283,6.73E-05,,31,3.91E-06
4/3/2020,MO,2113,19357,,,,,19,21470,9.841639497,,,0.899195457,6137428,30,0.000344281,,,30,3.10E-06
4/2/2020,MO,1834,17849,,,,,19,19683,9.317685312,,,1.035986914,6137428,29,0.000298822,,,29,3.10E-06
4/1/2020,MO,1581,15846,,,,,18,17427,9.072129454,,,1.138519924,6137428,28,0.0002576,,,28,2.93E-06
3/31/2020,MO,1327,14614,,,,,14,15941,8.324446396,,,1.055011304,6137428,27,0.000216214,,,27,2.28E-06
3/30/2020,MO,1031,13204,,,,,13,14235,7.242711626,,,1.260911736,6137428,26,0.000167986,,,26,2.12E-06
3/29/2020,MO,838,11547,,,,,10,12385,6.766249495,,,1.193317422,6137428,25,0.000136539,,,25,1.63E-06
3/28/2020,MO,838,10082,,,,,10,10920,7.673992674,,,1.193317422,6137428,24,0.000136539,,,24,1.63E-06
3/27/2020,MO,669,369,,,,,8,1038,64.45086705,,,1.195814649,6137428,23,0.000109003,,,23,1.30E-06
3/26/2020,MO,502,369,,,,,8,871,57.63490241,,,1.593625498,6137428,22,8.18E-05,,,22,1.30E-06
3/25/2020,MO,356,369,,,,,8,725,49.10344828,,,2.247191011,6137428,21,5.80E-05,,,21,1.30E-06
3/24/2020,MO,183,369,,,,,3,552,33.15217391,,,1.639344262,6137428,20,2.98E-05,,,20,4.89E-07
3/23/2020,MO,183,369,,,,,3,552,33.15217391,,,1.639344262,6137428,19,2.98E-05,,,19,4.89E-07
3/22/2020,MO,90,369,,,,,3,459,19.60784314,,,3.333333333,6137428,18,1.47E-05,,,18,4.89E-07
3/21/2020,MO,73,369,,,,,3,442,16.5158371,,,4.109589041,6137428,17,1.19E-05,,,17,4.89E-07
3/20/2020,MO,47,369,,,,,1,416,11.29807692,,,2.127659574,6137428,16,7.66E-06,,,16,1.63E-07
3/19/2020,MO,24,308,,,,,1,332,7.228915663,,,4.166666667,6137428,15,3.91E-06,,,15,1.63E-07
3/18/2020,MO,13,253,,,,,0,266,4.887218045,,,0,6137428,14,2.12E-06,,,14,0
3/17/2020,MO,8,207,,,,,0,215,3.720930233,,,0,6137428,13,1.30E-06,,,13,0
3/16/2020,MO,6,164,,,,,0,170,3.529411765,,,0,6137428,12,9.78E-07,,,12,0
3/15/2020,MO,5,122,,,,,0,127,3.937007874,,,0,6137428,11,8.15E-07,,,11,0
3/14/2020,MO,4,90,,,,,0,94,4.255319149,,,0,6137428,10,6.52E-07,,,10,0
3/13/2020,MO,2,71,,,,,,73,2.739726027,,,,6137428,9,3.26E-07,,,9,0
3/12/2020,MO,1,64,,,,,,65,1.538461538,,,,6137428,8,1.63E-07,,,8,0
3/11/2020,MO,1,,,,,,,1,100,,,,6137428,7,1.63E-07,,,7,0
3/10/2020,MO,1,,,,,,,1,100,,,,6137428,6,1.63E-07,,,6,
3/9/2020,MO,1,,,,,,,1,100,,,,6137428,5,1.63E-07,,,5,
3/8/2020,MO,1,,,,,,,1,100,,,,6137428,4,1.63E-07,,,4,
3/7/2020,MO,0,,,,,,,0,,,,,6137428,3,0,,,3,
,,,,,,,,,,,,,,,2,0.00E+00,,,2,
,,,,,,,,,,,,,,,1,,,,1,
,,,,,,,,,,,,,,,0,,,,0,
