date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,recovered,death,totalTestResults,percent_positive,hospitalized_percent,recovered_percent,death_percent,population,,positive_norm,hospitalized_norm,recovered_norm,,death_norm
4/13/2020,MS,2942,28042,,,549,,98,30984,9.495223341,18.66077498,,3.331067301,2976149,40,0.000988526,0.000184467,,40,3.29E-05
4/12/2020,MS,2781,18632,,,548,,96,21413,12.98743754,19.70514204,,3.451995685,2976149,39,0.000934429,0.000184131,,39,3.23E-05
4/11/2020,MS,2642,18632,,,528,,93,21274,12.41891511,19.98485995,,3.52006056,2976149,38,0.000887724,0.00017741,,38,3.12E-05
4/10/2020,MS,2469,18632,,,482,,82,21101,11.70086726,19.52207371,,3.321182665,2976149,37,0.000829596,0.000161954,,37,2.76E-05
4/9/2020,MS,2260,18632,,,441,,76,20892,10.81753781,19.51327434,,3.362831858,2976149,36,0.000759371,0.000148178,,36,2.55E-05
4/8/2020,MS,2003,18632,,,410,,67,20635,9.70680882,20.46929606,,3.344982526,2976149,35,0.000673017,0.000137762,,35,2.25E-05
4/7/2020,MS,1915,18632,,,377,,59,20547,9.320095391,19.68668407,,3.080939948,2976149,34,0.000643449,0.000126674,,34,1.98E-05
4/6/2020,MS,1738,18632,,,475,,51,20370,8.53215513,27.33026467,,2.934407365,2976149,33,0.000583976,0.000159602,,33,1.71E-05
4/5/2020,MS,1638,5580,,,475,,43,7218,22.69326683,28.998779,,2.625152625,2976149,32,0.000550376,0.000159602,,32,1.44E-05
4/4/2020,MS,1455,5133,,,436,,35,6588,22.0856102,29.96563574,,2.405498282,2976149,31,0.000488887,0.000146498,,31,1.18E-05
4/3/2020,MS,1358,4753,,,420,,29,6111,22.22222222,30.92783505,,2.135493373,2976149,30,0.000456294,0.000141122,,30,9.74E-06
4/2/2020,MS,1177,4753,,,360,,26,5930,19.84822934,30.58623619,,2.209005947,2976149,29,0.000395478,0.000120962,,29,8.74E-06
4/1/2020,MS,1073,3712,,,332,,22,4785,22.42424242,30.94128611,,2.050326188,2976149,28,0.000360533,0.000111554,,28,7.39E-06
3/31/2020,MS,937,3537,,,211,,20,4474,20.94322754,22.51867663,,2.134471718,2976149,27,0.000314836,7.09E-05,,27,6.72E-06
3/30/2020,MS,847,2989,,,195,,16,3836,22.08029197,23.02243211,,1.889020071,2976149,26,0.000284596,6.55E-05,,26,5.38E-06
3/29/2020,MS,758,2560,,,235,,14,3318,22.8450874,31.00263852,,1.846965699,2976149,25,0.000254692,7.90E-05,,25,4.70E-06
3/28/2020,MS,663,2560,,,219,,13,3223,20.57089668,33.03167421,,1.960784314,2976149,24,0.000222771,7.36E-05,,24,4.37E-06
3/27/2020,MS,579,2560,,,185,,8,3139,18.44536477,31.95164076,,1.381692573,2976149,23,0.000194547,6.22E-05,,23,2.69E-06
3/26/2020,MS,485,2291,,,150,,6,2776,17.47118156,30.92783505,,1.237113402,2976149,22,0.000162962,5.04E-05,,22,2.02E-06
3/25/2020,MS,377,1566,,,117,,2,1943,19.40298507,31.03448276,,0.530503979,2976149,21,0.000126674,3.93E-05,,21,6.72E-07
3/24/2020,MS,320,1552,,,86,,1,1872,17.09401709,26.875,,0.3125,2976149,20,0.000107521,2.89E-05,,20,3.36E-07
3/23/2020,MS,249,1143,,,33,,1,1392,17.88793103,13.25301205,,0.401606426,2976149,19,8.37E-05,1.11E-05,,19,3.36E-07
3/22/2020,MS,207,1114,,,33,,1,1321,15.66994701,15.94202899,,0.483091787,2976149,18,6.96E-05,1.11E-05,,18,3.36E-07
3/21/2020,MS,140,695,,,,,1,835,16.76646707,,,0.714285714,2976149,17,4.70E-05,,,17,3.36E-07
3/20/2020,MS,80,695,,,,,1,775,10.32258065,,,1.25,2976149,16,2.69E-05,,,16,3.36E-07
3/19/2020,MS,50,552,,,,,,602,8.305647841,,,,2976149,15,1.68E-05,,,15,0.00E+00
3/18/2020,MS,34,479,,,,,,513,6.627680312,,,,2976149,14,1.14E-05,,,14,0.00E+00
3/17/2020,MS,21,368,,,,,,389,5.398457584,,,,2976149,13,7.06E-06,,,13,0.00E+00
3/16/2020,MS,12,277,,,,,,289,4.152249135,,,,2976149,12,4.03E-06,,,12,0.00E+00
3/15/2020,MS,10,84,,,,,,94,10.63829787,,,,2976149,11,3.36E-06,,,11,0.00E+00
3/14/2020,MS,6,84,,,,,,90,6.666666667,,,,2976149,10,2.02E-06,,,10,0.00E+00
3/13/2020,MS,4,41,,,,,,45,8.888888889,,,,2976149,9,1.34E-06,,,9,0.00E+00
3/12/2020,MS,1,41,,,,,,42,2.380952381,,,,2976149,8,3.36E-07,,,8,0.00E+00
3/11/2020,MS,0,20,,,,,,20,0,,,,2976149,7,0,,,7,0.00E+00
3/10/2020,MS,0,,,,,,,0,,,,,2976149,6,0,,,6,
3/9/2020,MS,0,,,,,,,0,,,,,2976149,5,0,,,5,
3/8/2020,MS,0,,,,,,,0,,,,,2976149,4,0,,,4,
3/7/2020,MS,0,,,,,,,0,,,,,2976149,3,0,,,3,
,,,,,,,,,,,,,,,2,0,,,2,
,,,,,,,,,,,,,,,1,,,,1,
,,,,,,,,,,,,,,,0,,,,0,
