date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,recovered,death,totalTestResults,percent_positive,hospitalized_percent,recovered_percent,death_percent,population,,positive_norm,hospitalized_norm,recovered_norm,,death_norm
4/13/2020,MT,394,8704,,21,47,171,7,9098,4.330622115,11.92893401,43.40101523,1.776649746,1068778,40,0.000368645,4.40E-05,0.000159996,40,6.55E-06
4/12/2020,MT,387,8526,,22,47,169,6,8913,4.3419724,12.14470284,43.66925065,1.550387597,1068778,39,0.000362096,4.40E-05,0.000158125,39,5.61E-06
4/11/2020,MT,377,8204,,21,46,169,6,8581,4.393427339,12.20159151,44.82758621,1.591511936,1068778,38,0.000352739,4.30E-05,0.000158125,38,5.61E-06
4/10/2020,MT,365,7932,,29,41,165,6,8297,4.399180427,11.23287671,45.20547945,1.643835616,1068778,37,0.000341512,3.84E-05,0.000154382,37,5.61E-06
4/9/2020,MT,354,7506,,13,36,157,6,7860,4.503816794,10.16949153,44.35028249,1.694915254,1068778,36,0.000331219,3.37E-05,0.000146897,36,5.61E-06
4/8/2020,MT,332,7066,,,31,135,6,7398,4.487699378,9.337349398,40.6626506,1.807228916,1068778,35,0.000310635,2.90E-05,0.000126312,35,5.61E-06
4/7/2020,MT,319,6666,,,28,,6,6985,4.566929134,8.777429467,,1.880877743,1068778,34,0.000298472,2.62E-05,,34,5.61E-06
4/6/2020,MT,299,6491,,,24,,6,6790,4.40353461,8.026755853,,2.006688963,1068778,33,0.000279759,2.25E-05,,33,5.61E-06
4/5/2020,MT,286,6317,,,24,,6,6603,4.331364531,8.391608392,,2.097902098,1068778,32,0.000267595,2.25E-05,,32,5.61E-06
4/4/2020,MT,265,5912,,,24,,5,6177,4.290108467,9.056603774,,1.886792453,1068778,31,0.000247947,2.25E-05,,31,4.68E-06
4/3/2020,MT,243,5333,,,24,,5,5576,4.357962697,9.87654321,,2.057613169,1068778,30,0.000227362,2.25E-05,,30,4.68E-06
4/2/2020,MT,227,5093,,,20,,5,5320,4.266917293,8.810572687,,2.202643172,1068778,29,0.000212392,1.87E-05,,29,4.68E-06
4/1/2020,MT,208,4710,,,17,,5,4918,4.229361529,8.173076923,,2.403846154,1068778,28,0.000194615,1.59E-05,,28,4.68E-06
3/31/2020,MT,184,4234,,,14,,4,4418,4.164780444,7.608695652,,2.173913043,1068778,27,0.000172159,1.31E-05,,27,3.74E-06
3/30/2020,MT,171,4143,,,10,,4,4314,3.963838665,5.847953216,,2.339181287,1068778,26,0.000159996,9.36E-06,,26,3.74E-06
3/29/2020,MT,154,4143,,,8,,1,4297,3.583895741,5.194805195,,0.649350649,1068778,25,0.00014409,7.49E-06,,25,9.36E-07
3/28/2020,MT,129,3256,,,7,,1,3385,3.810930576,5.426356589,,0.775193798,1068778,24,0.000120699,6.55E-06,,24,9.36E-07
3/27/2020,MT,108,2590,,,7,,,2698,4.002965159,6.481481481,,,1068778,23,0.00010105,6.55E-06,,23,0.00E+00
3/26/2020,MT,71,2128,,,1,,,2199,3.228740337,1.408450704,,,1068778,22,6.64E-05,9.36E-07,,22,0.00E+00
3/25/2020,MT,53,1948,,,,,,2001,2.648675662,,,,1068778,21,4.96E-05,,,21,0.00E+00
3/24/2020,MT,46,1643,,,,,,1689,2.723505033,,,,1068778,20,4.30E-05,,,20,0.00E+00
3/23/2020,MT,34,1146,,,,,,1180,2.881355932,,,,1068778,19,3.18E-05,,,19,0.00E+00
3/22/2020,MT,31,1146,,,,,,1177,2.633814783,,,,1068778,18,2.90E-05,,,18,0.00E+00
3/21/2020,MT,20,1146,,,,,,1166,1.715265866,,,,1068778,17,1.87E-05,,,17,0.00E+00
3/20/2020,MT,16,931,,,,,,947,1.689545935,,,,1068778,16,1.50E-05,,,16,0.00E+00
3/19/2020,MT,12,761,,,,,,773,1.552393273,,,,1068778,15,1.12E-05,,,15,0.00E+00
3/18/2020,MT,10,499,,,,,,509,1.964636542,,,,1068778,14,9.36E-06,,,14,0.00E+00
3/17/2020,MT,8,303,,,,,,311,2.572347267,,,,1068778,13,7.49E-06,,,13,0.00E+00
3/16/2020,MT,7,198,,,,,,205,3.414634146,,,,1068778,12,6.55E-06,,,12,0.00E+00
3/15/2020,MT,7,103,57,,,,,110,6.363636364,,,,1068778,11,6.55E-06,,,11,0.00E+00
3/14/2020,MT,5,103,,,,,,108,4.62962963,,,,1068778,10,4.68E-06,,,10,0.00E+00
3/13/2020,MT,1,55,,,,,,56,1.785714286,,,,1068778,9,9.36E-07,,,9,0.00E+00
3/12/2020,MT,1,34,,,,,,35,2.857142857,,,,1068778,8,9.36E-07,,,8,0.00E+00
3/11/2020,MT,0,21,,,,,,21,0,,,,1068778,7,0,,,7,0.00E+00
3/10/2020,MT,0,15,,,,,,15,0,,,,1068778,6,0,,,6,
3/9/2020,MT,0,11,,,,,,11,0,,,,1068778,5,0,,,5,
3/8/2020,MT,0,11,,,,,,11,0,,,,1068778,4,0,,,4,
3/7/2020,MT,0,11,,,,,,11,0,,,,1068778,3,0,,,3,
,,,,,,,,,,,,,,,2,0,,,2,
,,,,,,,,,,,,,,,1,,,,1,
,,,,,,,,,,,,,,,0,,,,0,
