date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,recovered,death,totalTestResults,percent_positive,hospitalized_percent,recovered_percent,death_percent,population,,positive_norm,hospitalized_norm,recovered_norm,,death_norm
4/13/2020,NC,4816,58572,,313,,,86,63388,7.597652553,6.499169435,,1.785714286,10488084,40,0.000459188,2.98E-05,,40,8.20E-06
4/12/2020,NC,4520,57619,,331,,,81,62139,7.274014709,7.32300885,,1.792035398,10488084,39,0.000430965,3.16E-05,,39,7.72E-06
4/11/2020,NC,4312,56081,,362,,,80,60393,7.13990032,8.395176252,,1.85528757,10488084,38,0.000411133,3.45E-05,,38,7.63E-06
4/10/2020,NC,3908,53737,,423,,,74,57645,6.779425796,10.82395087,,1.893551689,10488084,37,0.000372613,4.03E-05,,37,7.06E-06
4/9/2020,NC,3651,44158,,398,,,65,47809,7.636637453,10.90112298,,1.780334155,10488084,36,0.000348109,3.79E-05,,36,6.20E-06
4/8/2020,NC,3426,39561,,386,,,53,42987,7.96985135,11.26678342,,1.546993579,10488084,35,0.000326656,3.68E-05,,35,5.05E-06
4/7/2020,NC,3221,37861,,354,,,46,41082,7.840416728,10.99037566,,1.428127911,10488084,34,0.00030711,3.38E-05,,34,4.39E-06
4/6/2020,NC,2870,37856,,270,,,33,40726,7.047095222,9.407665505,,1.149825784,10488084,33,0.000273644,2.57E-05,,33,3.15E-06
4/5/2020,NC,2585,37460,,261,,,31,40045,6.455237857,10.0967118,,1.199226306,10488084,32,0.00024647,2.49E-05,,32,2.96E-06
4/4/2020,NC,2402,36371,,271,,,24,38773,6.195032626,11.28226478,,0.999167361,10488084,31,0.000229022,2.58E-05,,31,2.29E-06
4/3/2020,NC,2093,29505,,184,,,19,31598,6.623836952,8.791208791,,0.907787864,10488084,30,0.00019956,1.75E-05,,30,1.81E-06
4/2/2020,NC,1857,26822,,184,,,16,28679,6.475121169,9.908454496,,0.861604739,10488084,29,0.000177058,1.75E-05,,29,1.53E-06
4/1/2020,NC,1584,24659,,204,,,10,26243,6.035895286,12.87878788,,0.631313131,10488084,28,0.000151029,1.95E-05,,28,9.53E-07
3/31/2020,NC,1498,21608,,157,,,8,23106,6.483164546,10.48064085,,0.534045394,10488084,27,0.000142829,1.50E-05,,27,7.63E-07
3/30/2020,NC,1307,19557,,137,,,6,20864,6.264378834,10.48201989,,0.459066565,10488084,26,0.000124618,1.31E-05,,26,5.72E-07
3/29/2020,NC,1040,17905,,91,,,4,18945,5.489575086,8.75,,0.384615385,10488084,25,9.92E-05,8.68E-06,,25,3.81E-07
3/28/2020,NC,935,16592,,87,,,4,17527,5.334626576,9.304812834,,0.427807487,10488084,24,8.91E-05,8.30E-06,,24,3.81E-07
3/27/2020,NC,763,14373,,77,,,3,15136,5.040961945,10.09174312,,0.393184797,10488084,23,7.27E-05,7.34E-06,,23,2.86E-07
3/26/2020,NC,636,12274,,29,,,2,12910,4.926413633,4.559748428,,0.314465409,10488084,22,6.06E-05,2.77E-06,,22,1.91E-07
3/25/2020,NC,504,9985,,29,,,1,10489,4.805033845,5.753968254,,0.198412698,10488084,21,4.81E-05,2.77E-06,,21,9.53E-08
3/24/2020,NC,398,8141,,,,,0,8539,4.660967326,,,0,10488084,20,3.79E-05,,,20,0
3/23/2020,NC,297,8141,,,,,0,8438,3.51979142,,,0,10488084,19,2.83E-05,,,19,0
3/22/2020,NC,255,6183,,,,,0,6438,3.960857409,,,0,10488084,18,2.43E-05,,,18,0
3/21/2020,NC,184,5092,,,,,0,5276,3.487490523,,,0,10488084,17,1.75E-05,,,17,0
3/20/2020,NC,137,3096,,,,,0,3233,4.237550263,,,0,10488084,16,1.31E-05,,,16,0
3/19/2020,NC,97,2408,,,,,0,2505,3.872255489,,,0,10488084,15,9.25E-06,,,15,0
3/18/2020,NC,63,1787,,,,,0,1850,3.405405405,,,0,10488084,14,6.01E-06,,,14,0
3/17/2020,NC,40,474,,,,,0,514,7.782101167,,,0,10488084,13,3.81E-06,,,13,0
3/16/2020,NC,33,296,151,,,,0,329,10.03039514,,,0,10488084,12,3.15E-06,,,12,0
3/15/2020,NC,32,227,151,,,,,259,12.35521236,,,,10488084,11,3.05E-06,,,11,0
3/14/2020,NC,23,137,,,,,,160,14.375,,,,10488084,10,2.19E-06,,,10,0
3/13/2020,NC,15,86,,,,,,101,14.85148515,,,,10488084,9,1.43E-06,,,9,0
3/12/2020,NC,12,60,,,,,,72,16.66666667,,,,10488084,8,1.14E-06,,,8,0
3/11/2020,NC,7,,,,,,,7,100,,,,10488084,7,6.67E-07,,,7,0
3/10/2020,NC,7,,,,,,,7,100,,,,10488084,6,6.67E-07,,,6,
3/9/2020,NC,2,,,,,,,2,100,,,,10488084,5,1.91E-07,,,5,
3/8/2020,NC,2,,,,,,,2,100,,,,10488084,4,1.91E-07,,,4,
3/7/2020,NC,2,,,,,,,2,100,,,,10488084,3,1.91E-07,,,3,
3/6/2020,NC,2,,,,,,,2,100,,,,10488084,2,1.91E-07,,,2,
3/5/2020,NC,1,,,,,,,1,100,,,,10488084,1,9.53E-08,,,1,
3/4/2020,NC,1,,,,,,,1,100,,,,10488084,0,9.53E-08,,,0,
