date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,recovered,death,totalTestResults,percent_positive,hospitalized_percent,recovered_percent,death_percent,population,,positive_norm,hospitalized_norm,recovered_norm,,death_norm
4/13/2020,ND,331,10450,,13,40,127,8,10781,3.070216121,12.08459215,38.36858006,2.416918429,762062,40,0.000434348,5.25E-05,0.000166653,40,1.05E-05
4/12/2020,ND,308,10042,,12,39,121,8,10350,2.975845411,12.66233766,39.28571429,2.597402597,762062,39,0.000404167,5.12E-05,0.00015878,39,1.05E-05
4/11/2020,ND,293,9787,,10,36,119,7,10080,2.906746032,12.28668942,40.61433447,2.389078498,762062,38,0.000384483,4.72E-05,0.000156155,38,9.19E-06
4/10/2020,ND,278,9330,,13,36,105,6,9608,2.893422148,12.94964029,37.76978417,2.158273381,762062,37,0.0003648,4.72E-05,0.000137784,37,7.87E-06
4/9/2020,ND,269,8721,,14,34,101,5,8990,2.992213571,12.6394052,37.5464684,1.858736059,762062,36,0.00035299,4.46E-05,0.000132535,36,6.56E-06
4/8/2020,ND,251,8301,,16,34,98,4,8552,2.934985968,13.54581673,39.0438247,1.593625498,762062,35,0.00032937,4.46E-05,0.000128598,35,5.25E-06
4/7/2020,ND,237,7466,,18,33,82,4,7703,3.076723355,13.92405063,34.59915612,1.687763713,762062,34,0.000310998,4.33E-05,0.000107603,34,5.25E-06
4/6/2020,ND,225,6988,,19,32,74,3,7213,3.119367808,14.22222222,32.88888889,1.333333333,762062,33,0.000295252,4.20E-05,9.71E-05,33,3.94E-06
4/5/2020,ND,207,6580,,20,31,63,3,6787,3.049948431,14.97584541,30.43478261,1.449275362,762062,32,0.000271631,4.07E-05,8.27E-05,32,3.94E-06
4/4/2020,ND,186,6021,,,30,63,3,6207,2.996616723,16.12903226,33.87096774,1.612903226,762062,31,0.000244075,3.94E-05,8.27E-05,31,3.94E-06
4/3/2020,ND,173,5625,,,29,55,3,5798,2.983787513,16.76300578,31.79190751,1.734104046,762062,30,0.000227016,3.81E-05,7.22E-05,30,3.94E-06
4/2/2020,ND,159,4821,,,28,43,3,4980,3.192771084,17.61006289,27.04402516,1.886792453,762062,29,0.000208644,3.67E-05,5.64E-05,29,3.94E-06
4/1/2020,ND,142,4351,,,23,34,3,4493,3.160471845,16.1971831,23.94366197,2.112676056,762062,28,0.000186337,3.02E-05,4.46E-05,28,3.94E-06
3/31/2020,ND,126,4131,,,21,30,3,4257,2.959830867,16.66666667,23.80952381,2.380952381,762062,27,0.000165341,2.76E-05,3.94E-05,27,3.94E-06
3/30/2020,ND,109,3728,,,19,19,2,3837,2.840761011,17.43119266,17.43119266,1.834862385,762062,26,0.000143033,2.49E-05,2.49E-05,26,2.62E-06
3/29/2020,ND,98,3355,,,17,18,1,3453,2.838111787,17.34693878,18.36734694,1.020408163,762062,25,0.000128598,2.23E-05,2.36E-05,25,1.31E-06
3/28/2020,ND,83,2809,,,16,16,1,2892,2.869986169,19.27710843,19.27710843,1.204819277,762062,24,0.000108915,2.10E-05,2.10E-05,24,1.31E-06
3/27/2020,ND,65,2427,,,13,15,0,2492,2.608346709,20,23.07692308,0,762062,23,8.53E-05,1.71E-05,1.97E-05,23,0
3/26/2020,ND,52,2039,,,10,,0,2091,2.486848398,19.23076923,,0,762062,22,6.82E-05,1.31E-05,,22,0
3/25/2020,ND,39,1734,,,8,,0,1773,2.199661591,20.51282051,,0,762062,21,5.12E-05,1.05E-05,,21,0
3/24/2020,ND,34,1454,,,5,,0,1488,2.284946237,14.70588235,,0,762062,20,4.46E-05,6.56E-06,,20,0
3/23/2020,ND,30,1353,,,4,,0,1383,2.169197397,13.33333333,,0,762062,19,3.94E-05,5.25E-06,,19,0
3/22/2020,ND,28,1260,,,3,,0,1288,2.173913043,10.71428571,,0,762062,18,3.67E-05,3.94E-06,,18,0
3/21/2020,ND,28,1141,,,3,,0,1169,2.395209581,10.71428571,,0,762062,17,3.67E-05,3.94E-06,,17,0
3/20/2020,ND,20,800,,,,,0,820,2.43902439,,,0,762062,16,2.62E-05,,,16,0
3/19/2020,ND,15,493,,,,,0,508,2.952755906,,,0,762062,15,1.97E-05,,,15,0
3/18/2020,ND,6,268,,,,,0,274,2.189781022,,,0,762062,14,7.87E-06,,,14,0
3/17/2020,ND,3,220,0,,,,0,223,1.34529148,,,0,762062,13,3.94E-06,,,13,0
3/16/2020,ND,1,123,0,,,,0,124,0.806451613,,,0,762062,12,1.31E-06,,,12,0
3/15/2020,ND,1,95,4,,,,0,96,1.041666667,,,0,762062,11,1.31E-06,,,11,0
3/14/2020,ND,1,54,14,,,,0,55,1.818181818,,,0,762062,10,1.31E-06,,,10,0
3/13/2020,ND,1,39,12,,,,0,40,2.5,,,0,762062,9,1.31E-06,,,9,0
3/12/2020,ND,1,12,14,,,,,13,7.692307692,,,,762062,8,1.31E-06,,,8,0
3/11/2020,ND,0,7,6,,,,,7,0,,,,762062,7,0,,,7,0
3/10/2020,ND,0,6,2,,,,,6,0,,,,762062,6,0,,,6,
3/9/2020,ND,0,0,,,,,,0,,,,,762062,5,0,,,5,
3/8/2020,ND,0,0,,,,,,0,,,,,762062,4,0,,,4,
3/7/2020,ND,0,0,,,,,,0,,,,,762062,3,0,,,3,
,,,,,,,,,,,,,,,2,0,,,2,
,,,,,,,,,,,,,,,1,,,,1,
,,,,,,,,,,,,,,,0,,,,0,
