date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,recovered,death,totalTestResults,percent_positive,hospitalized_percent,recovered_percent,death_percent,population,,positive_norm,hospitalized_norm,recovered_norm,,death_norm
4/13/2020,NE,814,10158,,,,,17,10972,7.418884433,,,2.088452088,1934408,40,0.000420801,,,40,8.79E-06
4/12/2020,NE,791,9900,,,,,17,10691,7.398746609,,,2.149178255,1934408,39,0.000408911,,,39,8.79E-06
4/11/2020,NE,700,9285,,,,,17,9985,7.010515774,,,2.428571429,1934408,38,0.000361868,,,38,8.79E-06
4/10/2020,NE,635,8719,,,,,15,9354,6.788539662,,,2.362204724,1934408,37,0.000328266,,,37,7.75E-06
4/9/2020,NE,567,8116,,,,,14,8683,6.530001152,,,2.469135802,1934408,36,0.000293113,,,36,7.24E-06
4/8/2020,NE,519,7442,,,,,12,7961,6.519281497,,,2.312138728,1934408,35,0.000268299,,,35,6.20E-06
4/7/2020,NE,447,6811,,,,,10,7258,6.158721411,,,2.237136465,1934408,34,0.000231078,,,34,5.17E-06
4/6/2020,NE,409,6378,8,,,,8,6787,6.02622661,,,1.95599022,1934408,33,0.000211434,,,33,4.14E-06
4/5/2020,NE,363,5558,12,,,,8,5921,6.130721162,,,2.203856749,1934408,32,0.000187654,,,32,4.14E-06
4/4/2020,NE,321,5058,10,,,,6,5379,5.96765198,,,1.869158879,1934408,31,0.000165942,,,31,3.10E-06
4/3/2020,NE,279,4487,11,,,,6,4766,5.85396559,,,2.150537634,1934408,30,0.00014423,,,30,3.10E-06
4/2/2020,NE,246,3978,11,,,,5,4224,5.823863636,,,2.032520325,1934408,29,0.000127171,,,29,2.58E-06
4/1/2020,NE,210,3475,8,,,,4,3685,5.698778833,,,1.904761905,1934408,28,0.00010856,,,28,2.07E-06
3/31/2020,NE,172,2931,8,,,,3,3103,5.543022881,,,1.744186047,1934408,27,8.89E-05,,,27,1.55E-06
3/30/2020,NE,145,2584,5,,,,2,2729,5.313301576,,,1.379310345,1934408,26,7.50E-05,,,26,1.03E-06
3/29/2020,NE,108,1968,4,,,,2,2076,5.202312139,,,1.851851852,1934408,25,5.58E-05,,,25,1.03E-06
3/28/2020,NE,96,1904,,,,,2,2000,4.8,,,2.083333333,1934408,24,4.96E-05,,,24,1.03E-06
3/27/2020,NE,85,1761,,,,,0,1846,4.604550379,,,0,1934408,23,4.39E-05,,,23,0
3/26/2020,NE,73,1584,,,,,0,1657,4.405552203,,,0,1934408,22,3.77E-05,,,22,0
3/25/2020,NE,61,1304,,,,,0,1365,4.468864469,,,0,1934408,21,3.15E-05,,,21,0
3/24/2020,NE,52,975,,,,,0,1027,5.063291139,,,0,1934408,20,2.69E-05,,,20,0
3/23/2020,NE,50,356,,,,,0,406,12.31527094,,,0,1934408,19,2.58E-05,,,19,0
3/22/2020,NE,48,356,,,,,0,404,11.88118812,,,0,1934408,18,2.48E-05,,,18,0
3/21/2020,NE,38,356,,,,,0,394,9.644670051,,,0,1934408,17,1.96E-05,,,17,0
3/20/2020,NE,32,240,,,,,0,272,11.76470588,,,0,1934408,16,1.65E-05,,,16,0
3/19/2020,NE,27,240,,,,,0,267,10.11235955,,,0,1934408,15,1.40E-05,,,15,0
3/18/2020,NE,24,206,,,,,,230,10.43478261,,,,1934408,14,1.24E-05,,,14,0
3/17/2020,NE,21,206,,,,,,227,9.251101322,,,,1934408,13,1.09E-05,,,13,0
3/16/2020,NE,18,170,,,,,,188,9.574468085,,,,1934408,12,9.31E-06,,,12,0
3/15/2020,NE,17,80,33,,,,,97,17.5257732,,,,1934408,11,8.79E-06,,,11,0
3/14/2020,NE,14,80,33,,,,,94,14.89361702,,,,1934408,10,7.24E-06,,,10,0
3/13/2020,NE,13,80,33,,,,,93,13.97849462,,,,1934408,9,6.72E-06,,,9,0
3/12/2020,NE,10,80,33,,,,,90,11.11111111,,,,1934408,8,5.17E-06,,,8,0
3/11/2020,NE,5,47,16,,,,,52,9.615384615,,,,1934408,7,2.58E-06,,,7,0
3/10/2020,NE,3,47,16,,,,,50,6,,,,1934408,6,1.55E-06,,,6,
3/9/2020,NE,3,36,9,,,,,39,7.692307692,,,,1934408,5,1.55E-06,,,5,
3/8/2020,NE,1,17,5,,,,,18,5.555555556,,,,1934408,4,5.17E-07,,,4,
3/7/2020,NE,1,17,5,,,,,18,5.555555556,,,,1934408,3,5.17E-07,,,3,
3/6/2020,NE,0,17,5,,,,,17,0,,,,1934408,2,0,,,2,
3/5/2020,NE,0,17,5,,,,,17,0,,,,1934408,1,0,,,1,
,,,,,,,,,,,,,,,0,,,,0,
