date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,recovered,death,totalTestResults,percent_positive,hospitalized_percent,recovered_percent,death_percent,population,,positive_norm,hospitalized_norm,recovered_norm,,death_norm
4/13/2020,NH,985,10222,125,,152,239,23,11207,8.789149639,15.43147208,24.26395939,2.335025381,1359711,40,0.000724419,0.000111788,0.000175773,40,1.69E-05
4/12/2020,NH,929,9996,119,,146,236,23,10925,8.503432494,15.71582347,25.40365985,2.475780409,1359711,39,0.000683233,0.000107376,0.000173566,39,1.69E-05
4/11/2020,NH,885,9608,93,,134,234,22,10493,8.434194225,15.14124294,26.44067797,2.485875706,1359711,38,0.000650874,9.86E-05,0.000172095,38,1.62E-05
4/10/2020,NH,819,9139,155,,124,234,21,9958,8.224543081,15.14041514,28.57142857,2.564102564,1359711,37,0.000602334,9.12E-05,0.000172095,37,1.54E-05
4/9/2020,NH,788,8763,143,,118,227,18,9551,8.25044498,14.97461929,28.8071066,2.284263959,1359711,36,0.000579535,8.68E-05,0.000166947,36,1.32E-05
4/8/2020,NH,788,8389,89,,118,211,18,9177,8.586684102,14.97461929,26.77664975,2.284263959,1359711,35,0.000579535,8.68E-05,0.00015518,35,1.32E-05
4/7/2020,NH,715,8019,49,,103,151,9,8734,8.186397985,14.40559441,21.11888112,1.258741259,1359711,34,0.000525847,7.58E-05,0.000111053,34,6.62E-06
4/6/2020,NH,669,7701,101,,92,147,9,8370,7.992831541,13.75186846,21.97309417,1.34529148,1359711,33,0.000492016,6.77E-05,0.000108111,33,6.62E-06
4/5/2020,NH,621,7411,93,,86,146,9,8032,7.731573705,13.84863124,23.51046699,1.449275362,1359711,32,0.000456715,6.32E-05,0.000107376,32,6.62E-06
4/4/2020,NH,540,6965,94,,80,144,7,7505,7.195203198,14.81481481,26.66666667,1.296296296,1359711,31,0.000397143,5.88E-05,0.000105905,31,5.15E-06
4/3/2020,NH,479,6575,114,,73,101,5,7054,6.79047349,15.24008351,21.08559499,1.043841336,1359711,30,0.000352281,5.37E-05,7.43E-05,30,3.68E-06
4/2/2020,NH,415,6078,126,,58,91,4,6493,6.391498537,13.97590361,21.92771084,0.963855422,1359711,29,0.000305212,4.27E-05,6.69E-05,29,2.94E-06
4/1/2020,NH,415,5985,97,,56,56,4,6400,6.484375,13.4939759,13.4939759,0.963855422,1359711,28,0.000305212,4.12E-05,4.12E-05,28,2.94E-06
3/31/2020,NH,314,5413,65,,45,,3,5727,5.482800768,14.33121019,,0.955414013,1359711,27,0.000230931,3.31E-05,,27,2.21E-06
3/30/2020,NH,314,5386,144,,45,,3,5700,5.50877193,14.33121019,,0.955414013,1359711,26,0.000230931,3.31E-05,,26,2.21E-06
3/29/2020,NH,214,4524,285,,33,,2,4738,4.516673702,15.42056075,,0.934579439,1359711,25,0.000157386,2.43E-05,,25,1.47E-06
3/28/2020,NH,187,3656,296,,30,,2,3843,4.865990112,16.04278075,,1.069518717,1359711,24,0.000137529,2.21E-05,,24,1.47E-06
3/27/2020,NH,158,3395,592,,25,,1,3553,4.446946243,15.82278481,,0.632911392,1359711,23,0.000116201,1.84E-05,,23,7.35E-07
3/26/2020,NH,137,3001,712,,19,,1,3138,4.365838113,13.86861314,,0.729927007,1359711,22,0.000100757,1.40E-05,,22,7.35E-07
3/25/2020,NH,108,2356,804,,13,,1,2464,4.383116883,12.03703704,,0.925925926,1359711,21,7.94E-05,9.56E-06,,21,7.35E-07
3/24/2020,NH,101,1447,869,,11,,1,1548,6.524547804,10.89108911,,0.99009901,1359711,20,7.43E-05,8.09E-06,,20,7.35E-07
3/23/2020,NH,78,1374,889,,,,,1452,5.371900826,,,,1359711,19,5.74E-05,,,19,0.00E+00
3/22/2020,NH,65,1188,959,,,,,1253,5.18754988,,,,1359711,18,4.78E-05,,,18,0.00E+00
3/21/2020,NH,55,973,942,,,,,1028,5.350194553,,,,1359711,17,4.04E-05,,,17,0.00E+00
3/20/2020,NH,44,745,631,,,,,789,5.576679341,,,,1359711,16,3.24E-05,,,16,0.00E+00
3/19/2020,NH,39,621,231,,,,,660,5.909090909,,,,1359711,15,2.87E-05,,,15,0.00E+00
3/18/2020,NH,26,513,208,,,,,539,4.823747681,,,,1359711,14,1.91E-05,,,14,0.00E+00
3/17/2020,NH,17,355,195,,,,,372,4.569892473,,,,1359711,13,1.25E-05,,,13,0.00E+00
3/16/2020,NH,13,271,95,,,,,284,4.577464789,,,,1359711,12,9.56E-06,,,12,0.00E+00
3/15/2020,NH,13,271,95,,,,,284,4.577464789,,,,1359711,11,9.56E-06,,,11,0.00E+00
3/14/2020,NH,7,212,31,,,,,219,3.196347032,,,,1359711,10,5.15E-06,,,10,0.00E+00
3/13/2020,NH,6,94,21,,,,,100,6,,,,1359711,9,4.41E-06,,,9,0.00E+00
3/12/2020,NH,6,94,21,,,,,100,6,,,,1359711,8,4.41E-06,,,8,0.00E+00
3/11/2020,NH,4,38,5,,,,,42,9.523809524,,,,1359711,7,2.94E-06,,,7,0.00E+00
