date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,recovered,death,totalTestResults,percent_positive,hospitalized_percent,recovered_percent,death_percent,population,,positive_norm,hospitalized_norm,recovered_norm,,death_norm
4/13/2020,NJ,64584,64885,,7781,,,2443,129469,49.88375596,12.04787563,,3.78267063,8882190,40,0.00727118,0.000876023,,40,0.000275045
4/12/2020,NJ,61850,64885,,7604,,,2350,126735,48.80261964,12.29426031,,3.799514956,8882190,39,0.006963373,0.000856095,,39,0.000264574
4/11/2020,NJ,58151,62042,,7618,,,2183,120193,48.38135332,13.10037661,,3.754019707,8882190,38,0.006546921,0.000857671,,38,0.000245773
4/10/2020,NJ,54588,58935,,7570,,682,1932,113523,48.08541001,13.86751667,1.249358833,3.539239393,8882190,37,0.006145782,0.000852267,7.68E-05,37,0.000217514
4/9/2020,NJ,51027,56165,,7363,,,1700,107192,47.60336592,14.42961569,,3.331569561,8882190,36,0.005744867,0.000828962,,36,0.000191394
4/8/2020,NJ,47437,52979,,7026,,,1504,100416,47.2404796,14.81122331,,3.170520901,8882190,35,0.005340687,0.000791021,,35,0.000169328
4/7/2020,NJ,44416,50558,,7017,,,1232,94974,46.76648346,15.79836095,,2.773775216,8882190,34,0.005000569,0.000790008,,34,0.000138705
4/6/2020,NJ,41090,47942,,6390,,,1003,89032,46.15194537,15.55122901,,2.440983208,8882190,33,0.004626111,0.000719417,,33,0.000112923
4/5/2020,NJ,37505,44661,,4000,,,917,82166,45.64540077,10.66524463,,2.445007332,8882190,32,0.004222495,0.000450339,,32,0.00010324
4/4/2020,NJ,34124,41232,,4000,,,846,75356,45.28371994,11.72195522,,2.479193529,8882190,31,0.003841845,0.000450339,,31,9.52E-05
4/3/2020,NJ,29895,37608,,3016,,,646,67503,44.28692058,10.08864359,,2.160896471,8882190,30,0.003365724,0.000339556,,30,7.27E-05
4/2/2020,NJ,25590,33520,,2000,,,537,59110,43.29216715,7.81555295,,2.098475967,8882190,29,0.002881046,0.00022517,,29,6.05E-05
4/1/2020,NJ,22255,30387,,2000,,,355,52642,42.27612933,8.986744552,,1.595147158,8882190,28,0.002505576,0.00022517,,28,4.00E-05
3/31/2020,NJ,18696,27077,,2000,,,267,45773,40.84503965,10.6974754,,1.428112965,8882190,27,0.002104886,0.00022517,,27,3.01E-05
3/30/2020,NJ,16636,25224,,2000,,,198,41860,39.74199713,12.0221207,,1.19018995,8882190,26,0.001872962,0.00022517,,26,2.23E-05
3/29/2020,NJ,13386,22216,,2000,,,161,35602,37.59901129,14.94098312,,1.202749141,8882190,25,0.001507061,0.00022517,,25,1.81E-05
3/28/2020,NJ,11124,19386,,2000,,,140,30510,36.46017699,17.97914419,,1.258540093,8882190,24,0.001252394,0.00022517,,24,1.58E-05
3/27/2020,NJ,8825,16547,,2000,,,108,25372,34.78243733,22.66288952,,1.223796034,8882190,23,0.000993561,0.00022517,,23,1.22E-05
3/26/2020,NJ,6876,13661,,1080,,,81,20537,33.48103423,15.70680628,,1.178010471,8882190,22,0.000774133,0.000121592,,22,9.12E-06
3/25/2020,NJ,4402,10452,,,,,62,14854,29.63511512,,,1.408450704,8882190,21,0.000495598,,,21,6.98E-06
3/24/2020,NJ,3675,8325,45,,,,44,12000,30.625,,,1.197278912,8882190,20,0.000413749,,,20,4.95E-06
3/23/2020,NJ,2844,359,94,,,,27,3203,88.79175773,,,0.949367089,8882190,19,0.000320191,,,19,3.04E-06
3/22/2020,NJ,1914,327,49,,,,20,2241,85.40829987,,,1.044932079,8882190,18,0.000215487,,,18,2.25E-06
3/21/2020,NJ,1327,294,40,,,,16,1621,81.8630475,,,1.205727204,8882190,17,0.0001494,,,17,1.80E-06
3/20/2020,NJ,890,264,86,,,,11,1154,77.12305026,,,1.235955056,8882190,16,0.000100201,,,16,1.24E-06
3/19/2020,NJ,742,210,74,,,,9,952,77.94117647,,,1.212938005,8882190,15,8.35E-05,,,15,1.01E-06
3/18/2020,NJ,427,190,21,,,,5,617,69.20583468,,,1.170960187,8882190,14,4.81E-05,,,14,5.63E-07
3/17/2020,NJ,267,163,55,,,,3,430,62.09302326,,,1.123595506,8882190,13,3.01E-05,,,13,3.38E-07
3/16/2020,NJ,178,120,20,,,,2,298,59.73154362,,,1.123595506,8882190,12,2.00E-05,,,12,2.25E-07
3/15/2020,NJ,98,120,34,,,,2,218,44.95412844,,,2.040816327,8882190,11,1.10E-05,,,11,2.25E-07
3/14/2020,NJ,50,97,80,,,,1,147,34.01360544,,,2,8882190,10,5.63E-06,,,10,1.13E-07
3/13/2020,NJ,50,97,80,,,,1,147,34.01360544,,,2,8882190,9,5.63E-06,,,9,1.13E-07
3/12/2020,NJ,30,74,20,,,,1,104,28.84615385,,,3.333333333,8882190,8,3.38E-06,,,8,1.13E-07
3/11/2020,NJ,24,57,20,,,,1,81,29.62962963,,,4.166666667,8882190,7,2.70E-06,,,7,1.13E-07
3/10/2020,NJ,15,44,20,,,,,59,25.42372881,,,,8882190,6,1.69E-06,,,6,
3/9/2020,NJ,11,35,14,,,,,46,23.91304348,,,,8882190,5,1.24E-06,,,5,
3/8/2020,NJ,6,31,0,,,,,37,16.21621622,,,,8882190,4,6.76E-07,,,4,
3/7/2020,NJ,4,,1,,,,,4,100,,,,8882190,3,4.50E-07,,,3,
3/6/2020,NJ,1,,,,,,,1,100,,,,8882190,2,1.13E-07,,,2,
3/5/2020,NJ,1,,,,,,,1,100,,,,8882190,1,1.13E-07,,,1,
,,,,,,,,,,,,,,,0,,,,0,
