date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,recovered,death,totalTestResults,percent_positive,hospitalized_percent,recovered_percent,death_percent,population,,positive_norm,hospitalized_norm,recovered_norm,,death_norm
4/13/2020,NV,2971,22493,,,,,114,25464,11.66745209,,,3.837091888,3080156,40,0.000964562,,,40,3.70E-05
4/12/2020,NV,2836,21775,,282,,,112,24611,11.52330259,9.943582511,,3.94922426,3080156,39,0.000920733,9.16E-05,,39,3.64E-05
4/11/2020,NV,2700,20887,,282,,,102,23587,11.44698351,10.44444444,,3.777777778,3080156,38,0.000876579,9.16E-05,,38,3.31E-05
4/10/2020,NV,2584,20165,,282,,,86,22749,11.35874104,10.91331269,,3.328173375,3080156,37,0.000838919,9.16E-05,,37,2.79E-05
4/9/2020,NV,2456,19315,,282,,,80,21771,11.28106196,11.48208469,,3.25732899,3080156,36,0.000797362,9.16E-05,,36,2.60E-05
4/8/2020,NV,2318,18248,,282,,,71,20566,11.27102986,12.16566005,,3.062985332,3080156,35,0.000752559,9.16E-05,,35,2.31E-05
4/7/2020,NV,2087,16552,,282,,,58,18639,11.19695263,13.5122185,,2.779108769,3080156,34,0.000677563,9.16E-05,,34,1.88E-05
4/6/2020,NV,1953,15676,,,,,46,17629,11.07833683,,,2.355350742,3080156,33,0.000634059,,,33,1.49E-05
4/5/2020,NV,1836,14995,,,,,46,16831,10.90844275,,,2.505446623,3080156,32,0.000596074,,,32,1.49E-05
4/4/2020,NV,1742,14421,,,,,46,16163,10.77770216,,,2.640642939,3080156,31,0.000565556,,,31,1.49E-05
4/3/2020,NV,1514,13018,,,,,43,14532,10.41838701,,,2.84015852,3080156,30,0.000491534,,,30,1.40E-05
4/2/2020,NV,1458,12588,,,,,38,14046,10.38017941,,,2.606310014,3080156,29,0.000473353,,,29,1.23E-05
4/1/2020,NV,1279,11519,,,,,26,12798,9.993749023,,,2.032838155,3080156,28,0.000415239,,,28,8.44E-06
3/31/2020,NV,1113,10681,,,,,17,11794,9.437001865,,,1.527403414,3080156,27,0.000361345,,,27,5.52E-06
3/30/2020,NV,1008,10207,,,,,15,11215,8.98796255,,,1.488095238,3080156,26,0.000327256,,,26,4.87E-06
3/29/2020,NV,738,8412,,,,,14,9150,8.06557377,,,1.89701897,3080156,25,0.000239598,,,25,4.55E-06
3/28/2020,NV,621,7901,,,,,10,8522,7.287021826,,,1.610305958,3080156,24,0.000201613,,,24,3.25E-06
3/27/2020,NV,535,6161,,,,,10,6696,7.989844683,,,1.869158879,3080156,23,0.000173693,,,23,3.25E-06
3/26/2020,NV,420,4697,,,,,10,5117,8.207934337,,,2.380952381,3080156,22,0.000136357,,,22,3.25E-06
3/25/2020,NV,321,4251,,,,,6,4572,7.020997375,,,1.869158879,3080156,21,0.000104216,,,21,1.95E-06
3/24/2020,NV,278,3954,,,,,4,4232,6.56899811,,,1.438848921,3080156,20,9.03E-05,,,20,1.30E-06
3/23/2020,NV,245,3490,,,,,4,3735,6.55957162,,,1.632653061,3080156,19,7.95E-05,,,19,1.30E-06
3/22/2020,NV,190,2448,,,,,2,2638,7.20242608,,,1.052631579,3080156,18,6.17E-05,,,18,6.49E-07
3/21/2020,NV,124,2384,,,,,2,2508,4.944178628,,,1.612903226,3080156,17,4.03E-05,,,17,6.49E-07
3/20/2020,NV,109,1992,,,,,1,2101,5.188005712,,,0.917431193,3080156,16,3.54E-05,,,16,3.25E-07
3/19/2020,NV,95,1626,,,,,1,1721,5.520046485,,,1.052631579,3080156,15,3.08E-05,,,15,3.25E-07
3/18/2020,NV,55,168,,,,,1,223,24.66367713,,,1.818181818,3080156,14,1.79E-05,,,14,3.25E-07
3/17/2020,NV,55,168,,,,,1,223,24.66367713,,,1.818181818,3080156,13,1.79E-05,,,13,3.25E-07
3/16/2020,NV,45,168,,,,,1,213,21.12676056,,,2.222222222,3080156,12,1.46E-05,,,12,3.25E-07
3/15/2020,NV,21,168,164,,,,,189,11.11111111,,,,3080156,11,6.82E-06,,,11,0.00E+00
3/14/2020,NV,20,168,,,,,,188,10.63829787,,,,3080156,10,6.49E-06,,,10,0.00E+00
3/13/2020,NV,11,168,,,,,,179,6.145251397,,,,3080156,9,3.57E-06,,,9,0.00E+00
3/12/2020,NV,7,168,,,,,,175,4,,,,3080156,8,2.27E-06,,,8,0.00E+00
3/11/2020,NV,5,168,,,,,,173,2.89017341,,,,3080156,7,1.62E-06,,,7,0.00E+00
3/10/2020,NV,1,14,,,,,,15,6.666666667,,,,3080156,6,3.25E-07,,,6,
3/9/2020,NV,1,14,,,,,,15,6.666666667,,,,3080156,5,3.25E-07,,,5,
3/8/2020,NV,1,14,,,,,,15,6.666666667,,,,3080156,4,3.25E-07,,,4,
3/7/2020,NV,1,14,,,,,,15,6.666666667,,,,3080156,3,3.25E-07,,,3,
3/6/2020,NV,1,14,,,,,,15,6.666666667,,,,3080156,2,3.25E-07,,,2,
3/5/2020,NV,1,14,,,,,,15,6.666666667,,,,3080156,1,3.25E-07,,,1,
,,,,,,,,,,,,,,,0,,,,0,
