date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,recovered,death,totalTestResults,percent_positive,hospitalized_percent,recovered_percent,death_percent,population,,positive_norm,hospitalized_norm,recovered_norm,,death_norm
4/13/2020,NY,195031,283326,,18825,42712,23887,10056,478357,40.77101412,21.90010819,12.2477965,5.156103389,19453561,40,0.010025465,0.002195588,0.001227899,40,0.000516923
4/12/2020,NY,188694,272907,,18707,42594,23887,9385,461601,40.87816101,22.57305479,12.65912006,4.97366106,19453561,39,0.009699715,0.002189522,0.001227899,39,0.000482431
4/11/2020,NY,180458,260522,,18654,40679,22025,8627,440980,40.92203728,22.54208736,12.20505602,4.780613772,19453561,38,0.009276348,0.002091082,0.001132183,38,0.000443466
4/10/2020,NY,170512,247373,,18569,38818,20249,7844,417885,40.80357036,22.76555316,11.87541053,4.600262738,19453561,37,0.008765079,0.001995419,0.001040889,37,0.000403217
4/9/2020,NY,159937,231612,,18279,36576,18297,7067,391549,40.84725028,22.86900467,11.44012955,4.41861483,19453561,36,0.008221477,0.00188017,0.000940548,36,0.000363275
4/8/2020,NY,149316,215837,,18079,34432,16353,6268,365153,40.89135239,23.05981944,10.95194085,4.197808674,19453561,35,0.00767551,0.001769959,0.000840617,35,0.000322203
4/7/2020,NY,138863,201195,,17493,32083,14590,5489,340058,40.83509284,23.1040666,10.50675846,3.952816805,19453561,34,0.007138179,0.00164921,0.000749991,34,0.000282159
4/6/2020,NY,130689,190122,,16837,30203,13366,4758,320811,40.73706949,23.11059079,10.22733359,3.640704267,19453561,33,0.006717999,0.001552569,0.000687072,33,0.000244582
4/5/2020,NY,122031,180249,,16479,28092,12187,4159,302280,40.37018658,23.02038007,9.986806631,3.408150388,19453561,32,0.006272939,0.001444054,0.000626466,32,0.000213791
4/4/2020,NY,113704,169917,,15905,26383,10478,3565,283621,40.09012027,23.20322944,9.21515514,3.135333849,19453561,31,0.005844894,0.001356204,0.000538616,31,0.000183257
4/3/2020,NY,102863,157657,,14810,23696,8886,2935,260520,39.48372486,23.03646598,8.638674742,2.853309742,19453561,30,0.005287618,0.00121808,0.00045678,30,0.000150872
4/2/2020,NY,92381,146584,,13383,20817,7434,2373,238965,38.65879941,22.53385436,8.047109254,2.568710016,19453561,29,0.004748796,0.001070087,0.000382141,29,0.000121983
