date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,recovered,death,totalTestResults,percent_positive,hospitalized_percent,recovered_percent,death_percent,population,,positive_norm,hospitalized_norm,recovered_norm,,death_norm
4/13/2020,OH,6975,58137,,,2033,,274,65112,10.71231109,29.14695341,,3.928315412,11689100,40,0.00059671,0.000173923,,40,2.34E-05
4/12/2020,OH,6604,56639,,,1948,,253,63243,10.44226238,29.49727438,,3.831011508,11689100,39,0.000564971,0.000166651,,39,2.16E-05
4/11/2020,OH,6187,54221,,,1859,,247,60408,10.24202092,30.04687247,,3.992241797,11689100,38,0.000529297,0.000159037,,38,2.11E-05
4/10/2020,OH,5836,52695,,,1755,,231,58531,9.970784712,30.0719671,,3.958190541,11689100,37,0.000499269,0.00015014,,37,1.98E-05
4/9/2020,OH,5512,50473,,,1612,,213,55985,9.845494329,29.24528302,,3.864296081,11689100,36,0.00047155,0.000137906,,36,1.82E-05
4/8/2020,OH,5148,48193,,,1495,,193,53341,9.651112653,29.04040404,,3.749028749,11689100,35,0.00044041,0.000127897,,35,1.65E-05
4/7/2020,OH,4782,46056,,,1354,,167,50838,9.406349581,28.31451276,,3.492262652,11689100,34,0.000409099,0.000115834,,34,1.43E-05
4/6/2020,OH,4450,43928,,,1214,,142,48378,9.198395965,27.28089888,,3.191011236,11689100,33,0.000380697,0.000103857,,33,1.21E-05
4/5/2020,OH,4043,39713,,,1104,,119,43756,9.239875674,27.3064556,,2.943358892,11689100,32,0.000345878,9.44E-05,,32,1.02E-05
4/4/2020,OH,3739,38132,,,1006,,102,41871,8.92980822,26.90558973,,2.72800214,11689100,31,0.000319871,8.61E-05,,31,8.73E-06
4/3/2020,OH,3312,35063,,,895,,91,38375,8.630618893,27.02294686,,2.747584541,11689100,30,0.000283341,7.66E-05,,30,7.79E-06
4/2/2020,OH,2902,32016,,,802,,81,34918,8.310899822,27.63611303,,2.791178498,11689100,29,0.000248265,6.86E-05,,29,6.93E-06
4/1/2020,OH,2547,26992,,,679,,65,29539,8.622499069,26.65881429,,2.552021987,11689100,28,0.000217895,5.81E-05,,28,5.56E-06
3/31/2020,OH,2199,26992,,,585,,55,29191,7.533143777,26.60300136,,2.50113688,11689100,27,0.000188124,5.00E-05,,27,4.71E-06
3/30/2020,OH,1933,25342,,,475,,39,27275,7.087076077,24.57320228,,2.01758924,11689100,26,0.000165368,4.06E-05,,26,3.34E-06
3/29/2020,OH,1653,19012,,,403,,29,20665,7.99903218,24.37991531,,1.754385965,11689100,25,0.000141414,3.45E-05,,25,2.48E-06
3/28/2020,OH,1406,19012,,,344,,25,20418,6.886080909,24.46657183,,1.778093883,11689100,24,0.000120283,2.94E-05,,24,2.14E-06
3/27/2020,OH,1137,19012,,,276,,19,20149,5.642959948,24.27440633,,1.671064204,11689100,23,9.73E-05,2.36E-05,,23,1.63E-06
3/26/2020,OH,867,16449,,,223,,15,17316,5.006930007,25.72087659,,1.730103806,11689100,22,7.42E-05,1.91E-05,,22,1.28E-06
3/25/2020,OH,704,14060,,,182,,10,14764,4.768355459,25.85227273,,1.420454545,11689100,21,6.02E-05,1.56E-05,,21,8.55E-07
3/24/2020,OH,564,140,,,145,,8,704,80.11363636,25.70921986,,1.418439716,11689100,20,4.83E-05,1.24E-05,,20,6.84E-07
3/23/2020,OH,442,140,,,104,,6,582,75.94501718,23.52941176,,1.357466063,11689100,19,3.78E-05,8.90E-06,,19,5.13E-07
3/22/2020,OH,351,140,,,83,,3,491,71.48676171,23.64672365,,0.854700855,11689100,18,3.00E-05,7.10E-06,,18,2.57E-07
3/21/2020,OH,247,140,,,58,,3,387,63.82428941,23.48178138,,1.214574899,11689100,17,2.11E-05,4.96E-06,,17,2.57E-07
3/20/2020,OH,169,140,,,,,1,309,54.69255663,,,0.591715976,11689100,16,1.45E-05,,,16,8.55E-08
3/19/2020,OH,119,140,,,,,,259,45.94594595,,,,11689100,15,1.02E-05,,,15,0.00E+00
3/18/2020,OH,88,140,,,,,,228,38.59649123,,,,11689100,14,7.53E-06,,,14,0.00E+00
3/17/2020,OH,67,140,,,,,,207,32.36714976,,,,11689100,13,5.73E-06,,,13,0.00E+00
3/16/2020,OH,50,140,361,,,,,190,26.31578947,,,,11689100,12,4.28E-06,,,12,0.00E+00
3/15/2020,OH,36,139,350,,,,,175,20.57142857,,,,11689100,11,3.08E-06,,,11,0.00E+00
3/14/2020,OH,13,50,159,,,,,63,20.63492063,,,,11689100,10,1.11E-06,,,10,0.00E+00
3/13/2020,OH,13,50,159,,,,,63,20.63492063,,,,11689100,9,1.11E-06,,,9,0.00E+00
3/12/2020,OH,5,30,52,,,,,35,14.28571429,,,,11689100,8,4.28E-07,,,8,0.00E+00
3/11/2020,OH,4,21,24,,,,,25,16,,,,11689100,7,3.42E-07,,,7,0.00E+00
3/10/2020,OH,3,14,15,,,,,17,17.64705882,,,,11689100,6,2.57E-07,,,6,
3/9/2020,OH,3,11,5,,,,,14,21.42857143,,,,11689100,5,2.57E-07,,,5,
3/8/2020,OH,0,10,4,,,,,10,0,,,,11689100,4,0,,,4,
3/7/2020,OH,0,9,5,,,,,9,0,,,,11689100,3,0,,,3,
3/6/2020,OH,0,8,2,,,,,8,0,,,,11689100,2,0,,,2,
3/5/2020,OH,0,7,3,,,,,7,0,,,,11689100,1,0,,,1,
,,,,,,,,,,,,,,,0,,,,0,
