date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,recovered,death,totalTestResults,percent_positive,hospitalized_percent,recovered_percent,death_percent,population,,positive_norm,hospitalized_norm,recovered_norm,,death_norm
4/13/2020,OK,2069,20790,,383,457,865,99,22859,9.051139595,22.0879652,41.80763654,4.784920251,3956971,40,0.000522875,0.000115492,0.000218602,40,2.50E-05
4/12/2020,OK,1970,20790,,383,446,865,96,22760,8.655536028,22.63959391,43.90862944,4.873096447,3956971,39,0.000497856,0.000112712,0.000218602,39,2.43E-05
4/11/2020,OK,1868,20790,,383,446,865,94,22658,8.244328714,23.875803,46.30620985,5.032119914,3956971,38,0.000472078,0.000112712,0.000218602,38,2.38E-05
4/10/2020,OK,1794,20370,,186,428,790,88,22164,8.094206822,23.85730212,44.03567447,4.905239688,3956971,37,0.000453377,0.000108164,0.000199648,37,2.22E-05
4/9/2020,OK,1684,18595,,188,415,686,80,20279,8.30415701,24.64370546,40.73634204,4.750593824,3956971,36,0.000425578,0.000104878,0.000173365,36,2.02E-05
4/8/2020,OK,1524,11821,,188,390,686,79,13345,11.42000749,25.59055118,45.01312336,5.183727034,3956971,35,0.000385143,9.86E-05,0.000173365,35,2.00E-05
4/7/2020,OK,1472,11821,,186,376,612,67,13293,11.07349733,25.54347826,41.57608696,4.551630435,3956971,34,0.000372002,9.50E-05,0.000154664,34,1.69E-05
4/6/2020,OK,1327,1422,,161,340,522,51,2749,48.27209895,25.62170309,39.33685004,3.843255463,3956971,33,0.000335358,8.59E-05,0.000131919,33,1.29E-05
4/5/2020,OK,1252,1401,,,330,,46,2653,47.19185827,26.35782748,,3.674121406,3956971,32,0.000316404,8.34E-05,,32,1.16E-05
4/4/2020,OK,1159,1362,,,316,,42,2521,45.97381991,27.26488352,,3.623813632,3956971,31,0.000292901,7.99E-05,,31,1.06E-05
4/3/2020,OK,988,1315,,171,289,383,38,2303,42.90056448,29.25101215,38.76518219,3.846153846,3956971,30,0.000249686,7.30E-05,9.68E-05,30,9.60E-06
4/2/2020,OK,879,1265,,182,257,,34,2144,40.99813433,29.23777019,,3.868031854,3956971,29,0.00022214,6.49E-05,,29,8.59E-06
4/1/2020,OK,719,1248,,174,219,,30,1967,36.55312659,30.45897079,,4.172461752,3956971,28,0.000181705,5.53E-05,,28,7.58E-06
3/31/2020,OK,565,1229,,,177,,23,1794,31.49386845,31.32743363,,4.07079646,3956971,27,0.000142786,4.47E-05,,27,5.81E-06
3/30/2020,OK,481,1207,,,153,,17,1688,28.49526066,31.80873181,,3.534303534,3956971,26,0.000121558,3.87E-05,,26,4.30E-06
3/29/2020,OK,429,1205,,,140,,16,1634,26.25458996,32.63403263,,3.72960373,3956971,25,0.000108416,3.54E-05,,25,4.04E-06
3/28/2020,OK,377,1180,,,126,,15,1557,24.21323057,33.42175066,,3.978779841,3956971,24,9.53E-05,3.18E-05,,24,3.79E-06
3/27/2020,OK,322,1084,,,105,,8,1406,22.90184922,32.60869565,,2.48447205,3956971,23,8.14E-05,2.65E-05,,23,2.02E-06
3/26/2020,OK,248,958,,,86,,7,1206,20.56384743,34.67741935,,2.822580645,3956971,22,6.27E-05,2.17E-05,,22,1.77E-06
3/25/2020,OK,164,805,,,59,,5,969,16.9246646,35.97560976,,3.048780488,3956971,21,4.14E-05,1.49E-05,,21,1.26E-06
3/24/2020,OK,106,735,,,25,,3,841,12.60404281,23.58490566,,2.830188679,3956971,20,2.68E-05,6.32E-06,,20,7.58E-07
3/23/2020,OK,81,694,102,,15,,2,775,10.4516129,18.51851852,,2.469135802,3956971,19,2.05E-05,3.79E-06,,19,5.05E-07
3/22/2020,OK,67,669,102,,11,,2,736,9.10326087,16.41791045,,2.985074627,3956971,18,1.69E-05,2.78E-06,,18,5.05E-07
3/21/2020,OK,53,560,144,,10,,1,613,8.646003263,18.86792453,,1.886792453,3956971,17,1.34E-05,2.53E-06,,17,2.53E-07
3/20/2020,OK,49,538,374,,,,1,587,8.347529813,,,2.040816327,3956971,16,1.24E-05,,,16,2.53E-07
3/19/2020,OK,44,466,250,,,,1,510,8.62745098,,,2.272727273,3956971,15,1.11E-05,,,15,2.53E-07
3/18/2020,OK,29,378,110,,,,,407,7.125307125,,,,3956971,14,7.33E-06,,,14,0.00E+00
3/17/2020,OK,17,247,82,,,,,264,6.439393939,,,,3956971,13,4.30E-06,,,13,0.00E+00
3/16/2020,OK,10,174,29,,,,,184,5.434782609,,,,3956971,12,2.53E-06,,,12,0.00E+00
3/15/2020,OK,9,118,12,,,,,127,7.086614173,,,,3956971,11,2.27E-06,,,11,0.00E+00
3/14/2020,OK,4,36,37,,,,,40,10,,,,3956971,10,1.01E-06,,,10,0.00E+00
3/13/2020,OK,3,36,37,,,,,39,7.692307692,,,,3956971,9,7.58E-07,,,9,0.00E+00
3/12/2020,OK,3,36,4,,,,,39,7.692307692,,,,3956971,8,7.58E-07,,,8,0.00E+00
3/11/2020,OK,2,15,11,,,,,17,11.76470588,,,,3956971,7,5.05E-07,,,7,0.00E+00
3/10/2020,OK,2,15,11,,,,,17,11.76470588,,,,3956971,6,5.05E-07,,,6,
3/9/2020,OK,1,8,10,,,,,9,11.11111111,,,,3956971,5,2.53E-07,,,5,
3/8/2020,OK,1,8,2,,,,,9,11.11111111,,,,3956971,4,2.53E-07,,,4,
3/7/2020,OK,1,,,,,,,1,100,,,,3956971,3,2.53E-07,,,3,
,,,,,,,,,,,,,,,2,0.00E+00,,,2,
,,,,,,,,,,,,,,,1,,,,1,
,,,,,,,,,,,,,,,0,,,,0,
