date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,recovered,death,totalTestResults,percent_positive,hospitalized_percent,recovered_percent,death_percent,population,,positive_norm,hospitalized_norm,recovered_norm,,death_norm
4/13/2020,OR,1584,29537,,321,369,,53,31121,5.089810739,23.29545455,,3.345959596,4217737,40,0.000375557,8.75E-05,,40,1.26E-05
4/12/2020,OR,1527,28231,,295,359,,52,29758,5.131393239,23.51015062,,3.405370007,4217737,39,0.000362042,8.51E-05,,39,1.23E-05
4/11/2020,OR,1371,25853,,140,338,,48,27224,5.035997649,24.65353756,,3.501094092,4217737,38,0.000325056,8.01E-05,,38,1.14E-05
4/10/2020,OR,1321,24306,,146,326,,44,25627,5.154719632,24.67827403,,3.330809992,4217737,37,0.000313201,7.73E-05,,37,1.04E-05
4/9/2020,OR,1321,24306,,146,326,,44,25627,5.154719632,24.67827403,,3.330809992,4217737,36,0.000313201,7.73E-05,,36,1.04E-05
4/8/2020,OR,1239,23325,,156,324,,33,24564,5.043966781,26.15012107,,2.663438257,4217737,35,0.000293759,7.68E-05,,35,7.82E-06
4/7/2020,OR,1181,21826,,,324,,33,23007,5.133220324,27.43437765,,2.794242168,4217737,34,0.000280008,7.68E-05,,34,7.82E-06
4/6/2020,OR,1132,20669,,,258,,27,21801,5.192422366,22.79151943,,2.385159011,4217737,33,0.00026839,6.12E-05,,33,6.40E-06
4/5/2020,OR,1068,19556,,,258,,27,20624,5.178432894,24.15730337,,2.528089888,4217737,32,0.000253216,6.12E-05,,32,6.40E-06
4/4/2020,OR,999,16535,,,239,,26,17534,5.697501996,23.92392392,,2.602602603,4217737,31,0.000236857,5.67E-05,,31,6.16E-06
4/3/2020,OR,899,16535,,188,204,,22,17434,5.15659057,22.69187987,,2.447163515,4217737,30,0.000213147,4.84E-05,,30,5.22E-06
4/2/2020,OR,826,15259,,134,188,,21,16085,5.135219148,22.76029056,,2.542372881,4217737,29,0.00019584,4.46E-05,,29,4.98E-06
4/1/2020,OR,736,13136,,132,154,,18,13872,5.305651672,20.92391304,,2.445652174,4217737,28,0.000174501,3.65E-05,,28,4.27E-06
3/31/2020,OR,690,13136,,132,154,,18,13826,4.990597425,22.31884058,,2.608695652,4217737,27,0.000163595,3.65E-05,,27,4.27E-06
3/30/2020,OR,606,12277,,132,140,,16,12883,4.703873321,23.10231023,,2.640264026,4217737,26,0.000143679,3.32E-05,,26,3.79E-06
3/29/2020,OR,548,10878,,107,129,,13,11426,4.796079118,23.54014599,,2.372262774,4217737,25,0.000129927,3.06E-05,,25,3.08E-06
3/28/2020,OR,479,9693,,107,117,,13,10172,4.709005112,24.42588727,,2.713987474,4217737,24,0.000113568,2.77E-05,,24,3.08E-06
3/27/2020,OR,414,8510,,91,102,,12,8924,4.639175258,24.63768116,,2.898550725,4217737,23,9.82E-05,2.42E-05,,23,2.85E-06
3/26/2020,OR,327,6953,,,90,,11,7280,4.491758242,27.52293578,,3.363914373,4217737,22,7.75E-05,2.13E-05,,22,2.61E-06
3/25/2020,OR,209,4350,,,61,,8,4559,4.584338671,29.18660287,,3.827751196,4217737,21,4.96E-05,1.45E-05,,21,1.90E-06
3/24/2020,OR,209,4350,,,61,,8,4559,4.584338671,29.18660287,,3.827751196,4217737,20,4.96E-05,1.45E-05,,20,1.90E-06
3/23/2020,OR,191,3649,,,56,,5,3840,4.973958333,29.31937173,,2.617801047,4217737,19,4.53E-05,1.33E-05,,19,1.19E-06
3/22/2020,OR,161,2864,,,43,,4,3025,5.32231405,26.70807453,,2.48447205,4217737,18,3.82E-05,1.02E-05,,18,9.48E-07
3/21/2020,OR,114,2003,433,,,,3,2117,5.384978744,,,2.631578947,4217737,17,2.70E-05,,,17,7.11E-07
3/20/2020,OR,114,2003,433,,,,3,2117,5.384978744,,,2.631578947,4217737,16,2.70E-05,,,16,7.11E-07
3/19/2020,OR,88,1329,437,,,,3,1417,6.210303458,,,3.409090909,4217737,15,2.09E-05,,,15,7.11E-07
3/18/2020,OR,75,1118,361,,,,3,1193,6.286672255,,,4,4217737,14,1.78E-05,,,14,7.11E-07
3/17/2020,OR,47,689,184,,,,,736,6.385869565,,,,4217737,13,1.11E-05,,,13,0.00E+00
3/16/2020,OR,39,579,182,,,,,618,6.310679612,,,,4217737,12,9.25E-06,,,12,0.00E+00
3/15/2020,OR,36,420,225,,,,,456,7.894736842,,,,4217737,11,8.54E-06,,,11,0.00E+00
3/14/2020,OR,30,337,157,,,,,367,8.174386921,,,,4217737,10,7.11E-06,,,10,0.00E+00
3/13/2020,OR,30,337,157,,,,,367,8.174386921,,,,4217737,9,7.11E-06,,,9,0.00E+00
3/12/2020,OR,19,286,62,,,,,305,6.229508197,,,,4217737,8,4.50E-06,,,8,0.00E+00
3/11/2020,OR,19,286,62,,,,,305,6.229508197,,,,4217737,7,4.50E-06,,,7,0.00E+00
3/10/2020,OR,15,213,67,,,,,228,6.578947368,,,,4217737,6,3.56E-06,,,6,
3/9/2020,OR,14,165,52,,,,,179,7.82122905,,,,4217737,5,3.32E-06,,,5,
3/8/2020,OR,14,100,53,,,,,114,12.28070175,,,,4217737,4,3.32E-06,,,4,
3/7/2020,OR,7,77,40,,,,,84,8.333333333,,,,4217737,3,1.66E-06,,,3,
3/6/2020,OR,3,64,28,,,,,67,4.47761194,,,,4217737,2,7.11E-07,,,2,
3/5/2020,OR,3,45,13,,,,,48,6.25,,,,4217737,1,7.11E-07,,,1,
3/4/2020,OR,3,29,18,,,,,32,9.375,,,,4217737,0,7.11E-07,,,0,
