date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,recovered,death,totalTestResults,percent_positive,hospitalized_percent,recovered_percent,death_percent,population,,positive_norm,hospitalized_norm,recovered_norm,,death_norm
4/13/2020,PA,24199,105593,,2243,,,524,129792,18.6444465,9.268978057,,2.165378735,12801989,40,0.001890253,0.000175207,,40,4.09E-05
4/12/2020,PA,22833,102057,,2097,,,507,124890,18.28248859,9.18407568,,2.220470372,12801989,39,0.001783551,0.000163803,,39,3.96E-05
4/11/2020,PA,21655,98498,,2115,,,494,120153,18.02285419,9.766797506,,2.281228354,12801989,38,0.001691534,0.000165209,,38,3.86E-05
4/10/2020,PA,19979,93040,,2072,,,416,113019,17.67755864,10.37088943,,2.082186296,12801989,37,0.001560617,0.00016185,,37,3.25E-05
4/9/2020,PA,18228,87374,,2051,,,338,105602,17.26103672,11.25192012,,1.854290103,12801989,36,0.001423841,0.000160209,,36,2.64E-05
4/8/2020,PA,16239,82299,,1898,,,309,98538,16.47993667,11.68791182,,1.902826529,12801989,35,0.001268475,0.000148258,,35,2.41E-05
4/7/2020,PA,14559,76719,,1665,,,240,91278,15.95017419,11.43622502,,1.648464867,12801989,34,0.001137245,0.000130058,,34,1.87E-05
4/6/2020,PA,12980,70874,,,1145,,162,83854,15.47928542,8.821263482,,1.24807396,12801989,33,0.001013905,8.94E-05,,33,1.27E-05
4/5/2020,PA,11510,66261,,,1072,,150,77771,14.79986113,9.313640313,,1.303214596,12801989,32,0.000899079,8.37E-05,,32,1.17E-05
4/4/2020,PA,10017,60013,,,1004,,136,70030,14.30386977,10.02296097,,1.357691924,12801989,31,0.000782457,7.84E-05,,31,1.06E-05
4/3/2020,PA,8420,53695,,,852,,102,62115,13.55550189,10.11876485,,1.211401425,12801989,30,0.00065771,6.66E-05,,30,7.97E-06
4/2/2020,PA,7016,47698,,,730,,90,54714,12.82304346,10.40478905,,1.282782212,12801989,29,0.00054804,5.70E-05,,29,7.03E-06
4/1/2020,PA,5805,42427,,,620,,74,48232,12.03557804,10.68044789,,1.274763135,12801989,28,0.000453445,4.84E-05,,28,5.78E-06
3/31/2020,PA,4843,37645,,,514,,63,42488,11.39851252,10.61325625,,1.300846583,12801989,27,0.000378301,4.02E-05,,27,4.92E-06
3/30/2020,PA,4087,33777,,,386,,49,37864,10.79389394,9.444580377,,1.198923416,12801989,26,0.000319247,3.02E-05,,26,3.83E-06
3/29/2020,PA,3394,30061,,,353,,38,33455,10.14497086,10.40070713,,1.119622864,12801989,25,0.000265115,2.76E-05,,25,2.97E-06
3/28/2020,PA,2751,25254,,,316,,34,28005,9.823245849,11.4867321,,1.235914213,12801989,24,0.000214888,2.47E-05,,24,2.66E-06
3/27/2020,PA,2218,21016,,,241,,22,23234,9.546354481,10.86564472,,0.991884581,12801989,23,0.000173254,1.88E-05,,23,1.72E-06
3/26/2020,PA,1687,16441,,,,,16,18128,9.306045896,,,0.948429164,12801989,22,0.000131776,,,22,1.25E-06
3/25/2020,PA,1127,11193,,,,,11,12320,9.147727273,,,0.976042591,12801989,21,8.80E-05,,,21,8.59E-07
3/24/2020,PA,851,8643,,,,,7,9494,8.96355593,,,0.822561692,12801989,20,6.65E-05,,,20,5.47E-07
3/23/2020,PA,644,6595,,,,,6,7239,8.896256389,,,0.931677019,12801989,19,5.03E-05,,,19,4.69E-07
3/22/2020,PA,479,4964,,,,,2,5443,8.800293956,,,0.417536534,12801989,18,3.74E-05,,,18,1.56E-07
3/21/2020,PA,371,3766,,,,,2,4137,8.9678511,,,0.539083558,12801989,17,2.90E-05,,,17,1.56E-07
3/20/2020,PA,268,2574,,,,,1,2842,9.429978888,,,0.373134328,12801989,16,2.09E-05,,,16,7.81E-08
3/19/2020,PA,185,1608,,,,,1,1793,10.31790296,,,0.540540541,12801989,15,1.45E-05,,,15,7.81E-08
3/18/2020,PA,133,1187,,,,,1,1320,10.07575758,,,0.751879699,12801989,14,1.04E-05,,,14,7.81E-08
3/17/2020,PA,96,879,,,,,,975,9.846153846,,,,12801989,13,7.50E-06,,,13,0.00E+00
3/16/2020,PA,76,670,,,,,,746,10.18766756,,,,12801989,12,5.94E-06,,,12,0.00E+00
3/15/2020,PA,63,205,183,,,,,268,23.50746269,,,,12801989,11,4.92E-06,,,11,0.00E+00
3/14/2020,PA,47,205,150,,,,,252,18.65079365,,,,12801989,10,3.67E-06,,,10,0.00E+00
3/13/2020,PA,41,140,130,,,,,181,22.6519337,,,,12801989,9,3.20E-06,,,9,0.00E+00
3/12/2020,PA,22,116,81,,,,,138,15.94202899,,,,12801989,8,1.72E-06,,,8,0.00E+00
3/11/2020,PA,16,88,54,,,,,104,15.38461538,,,,12801989,7,1.25E-06,,,7,0.00E+00
3/10/2020,PA,12,,,,,,,12,100,,,,12801989,6,9.37E-07,,,6,
3/9/2020,PA,10,,,,,,,10,100,,,,12801989,5,7.81E-07,,,5,
3/8/2020,PA,6,,,,,,,6,100,,,,12801989,4,4.69E-07,,,4,
3/7/2020,PA,4,,,,,,,4,100,,,,12801989,3,3.12E-07,,,3,
3/6/2020,PA,2,,,,,,,2,100,,,,12801989,2,1.56E-07,,,2,
,,,,,,,,,,,,,,,1,,,,1,
,,,,,,,,,,,,,,,0,,,,0,
