date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,recovered,death,totalTestResults,percent_positive,hospitalized_percent,recovered_percent,death_percent,population,,positive_norm,hospitalized_norm,recovered_norm,,death_norm
4/13/2020,PR,903,5960,1288,,,,45,6863,13.15751129,,,4.983388704,3193694,40,0.000282745,,,40,1.41E-05
4/12/2020,PR,897,5819,1251,,,,44,6716,13.35616438,,,4.905239688,3193694,39,0.000280866,,,39,1.38E-05
4/11/2020,PR,788,5583,1332,,,,42,6371,12.36854497,,,5.329949239,3193694,38,0.000246736,,,38,1.32E-05
4/10/2020,PR,725,5121,1392,,,,39,5846,12.40164215,,,5.379310345,3193694,37,0.00022701,,,37,1.22E-05
4/9/2020,PR,683,4703,1304,,,,33,5386,12.68102488,,,4.831625183,3193694,36,0.000213859,,,36,1.03E-05
4/8/2020,PR,620,4266,1160,,,,24,4886,12.68931641,,,3.870967742,3193694,35,0.000194133,,,35,7.51E-06
4/7/2020,PR,573,3966,968,,,,23,4539,12.62392597,,,4.013961606,3193694,34,0.000179416,,,34,7.20E-06
4/6/2020,PR,513,3432,1000,,,,21,3945,13.00380228,,,4.093567251,3193694,33,0.000160629,,,33,6.58E-06
4/5/2020,PR,475,3073,1039,,,,20,3548,13.38782413,,,4.210526316,3193694,32,0.000148731,,,32,6.26E-06
4/4/2020,PR,452,2605,1129,,,,18,3057,14.78573765,,,3.982300885,3193694,31,0.000141529,,,31,5.64E-06
4/3/2020,PR,378,2049,1055,,,,15,2427,15.57478368,,,3.968253968,3193694,30,0.000118358,,,30,4.70E-06
4/2/2020,PR,316,1604,1119,,,,12,1920,16.45833333,,,3.797468354,3193694,29,9.89E-05,,,29,3.76E-06
4/1/2020,PR,286,1409,897,,,,11,1695,16.87315634,,,3.846153846,3193694,28,8.96E-05,,,28,3.44E-06
3/31/2020,PR,239,1195,854,,,,8,1434,16.66666667,,,3.347280335,3193694,27,7.48E-05,,,27,2.50E-06
3/30/2020,PR,174,931,794,,,,6,1105,15.74660633,,,3.448275862,3193694,26,5.45E-05,,,26,1.88E-06
3/29/2020,PR,127,841,817,,,,5,968,13.11983471,,,3.937007874,3193694,25,3.98E-05,,,25,1.57E-06
3/28/2020,PR,100,739,792,,,,3,839,11.91895113,,,3,3193694,24,3.13E-05,,,24,9.39E-07
3/27/2020,PR,79,519,334,,,,3,598,13.21070234,,,3.797468354,3193694,23,2.47E-05,,,23,9.39E-07
3/26/2020,PR,64,377,335,,,,2,441,14.51247166,,,3.125,3193694,22,2.00E-05,,,22,6.26E-07
3/25/2020,PR,51,317,70,,,,2,368,13.85869565,,,3.921568627,3193694,21,1.60E-05,,,21,6.26E-07
3/24/2020,PR,39,268,42,,,,2,307,12.70358306,,,5.128205128,3193694,20,1.22E-05,,,20,6.26E-07
3/23/2020,PR,31,189,35,,,,2,220,14.09090909,,,6.451612903,3193694,19,9.71E-06,,,19,6.26E-07
3/22/2020,PR,23,183,69,,,,,206,11.16504854,,,,3193694,18,7.20E-06,,,18,0.00E+00
3/21/2020,PR,21,143,71,,,,,164,12.80487805,,,,3193694,17,6.58E-06,,,17,0.00E+00
3/20/2020,PR,14,114,52,,,,,128,10.9375,,,,3193694,16,4.38E-06,,,16,0.00E+00
3/19/2020,PR,5,56,29,,,,,61,8.196721311,,,,3193694,15,1.57E-06,,,15,0.00E+00
3/18/2020,PR,5,31,21,,,,,36,13.88888889,,,,3193694,14,1.57E-06,,,14,0.00E+00
3/17/2020,PR,5,13,4,,,,,18,27.77777778,,,,3193694,13,1.57E-06,,,13,0.00E+00
3/16/2020,PR,5,9,,,,,,14,35.71428571,,,,3193694,12,1.57E-06,,,12,0.00E+00
,,,,,,,,,,,,,,,11,0.00E+00,,,11,0.00E+00
,,,,,,,,,,,,,,,10,0.00E+00,,,10,0.00E+00
,,,,,,,,,,,,,,,9,0.00E+00,,,9,0.00E+00
,,,,,,,,,,,,,,,8,0.00E+00,,,8,0.00E+00
,,,,,,,,,,,,,,,7,0.00E+00,,,7,0.00E+00
,,,,,,,,,,,,,,,6,0.00E+00,,,6,
,,,,,,,,,,,,,,,5,0.00E+00,,,5,
,,,,,,,,,,,,,,,4,0.00E+00,,,4,
,,,,,,,,,,,,,,,3,0.00E+00,,,3,
,,,,,,,,,,,,,,,2,0.00E+00,,,2,
,,,,,,,,,,,,,,,1,,,,1,
,,,,,,,,,,,,,,,0,,,,0,
