date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,recovered,death,totalTestResults,percent_positive,hospitalized_percent,recovered_percent,death_percent,population,,positive_norm,hospitalized_norm,recovered_norm,,death_norm
4/13/2020,RI,2976,17685,,197,331,135,73,20661,14.40394947,11.12231183,4.536290323,2.452956989,1059361,40,0.002809241,0.000312453,0.000127435,40,6.89E-05
4/12/2020,RI,2665,17685,,201,,35,63,20350,13.0958231,7.542213884,1.313320826,2.363977486,1059361,39,0.002515667,0.000189737,3.30E-05,39,5.95E-05
4/11/2020,RI,2349,15858,,183,,35,56,18207,12.90163124,7.79054917,1.489995743,2.383993189,1059361,38,0.002217374,0.000172746,3.30E-05,38,5.29E-05
4/10/2020,RI,2015,12281,,169,,35,49,14296,14.09485171,8.387096774,1.736972705,2.431761787,1059361,37,0.00190209,0.00015953,3.30E-05,37,4.63E-05
4/9/2020,RI,1727,10682,,160,,35,43,12409,13.91731808,9.26462073,2.026635785,2.489866821,1059361,36,0.001630228,0.000151034,3.30E-05,36,4.06E-05
4/8/2020,RI,1450,10682,,143,,35,35,12132,11.95186284,9.862068966,2.413793103,2.413793103,1059361,35,0.00136875,0.000134987,3.30E-05,35,3.30E-05
4/7/2020,RI,1230,9077,,123,,35,30,10307,11.93363733,10,2.845528455,2.43902439,1059361,34,0.001161077,0.000116108,3.30E-05,34,2.83E-05
4/6/2020,RI,1082,7399,,109,,35,27,8481,12.75792949,10.07393715,3.234750462,2.495378928,1059361,33,0.00102137,0.000102892,3.30E-05,33,2.55E-05
4/5/2020,RI,922,6259,,103,,35,25,7181,12.8394374,11.17136659,3.796095445,2.711496746,1059361,32,0.000870336,9.72E-05,3.30E-05,32,2.36E-05
4/4/2020,RI,806,5584,,93,,35,17,6390,12.61345853,11.53846154,4.342431762,2.109181141,1059361,31,0.000760836,8.78E-05,3.30E-05,31,1.60E-05
4/3/2020,RI,709,4857,,77,,35,14,5566,12.73805246,10.86036671,4.936530324,1.97461213,1059361,30,0.000669271,7.27E-05,3.30E-05,30,1.32E-05
4/2/2020,RI,657,4412,,72,,35,12,5069,12.96113632,10.95890411,5.327245053,1.826484018,1059361,29,0.000620185,6.80E-05,3.30E-05,29,1.13E-05
4/1/2020,RI,566,3831,,60,,35,10,4397,12.87241301,10.60070671,6.183745583,1.766784452,1059361,28,0.000534284,5.66E-05,3.30E-05,28,9.44E-06
3/31/2020,RI,489,3476,,59,,35,8,3965,12.33291299,12.06543967,7.157464213,1.63599182,1059361,27,0.000461599,5.57E-05,3.30E-05,27,7.55E-06
