date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,recovered,death,totalTestResults,percent_positive,hospitalized_percent,recovered_percent,death_percent,population,,positive_norm,hospitalized_norm,recovered_norm,,death_norm
4/13/2020,SC,3319,28106,,,496,,82,31425,10.56165473,14.94426032,,2.470623682,5148714,40,0.000644627,9.63E-05,,40,1.59E-05
4/12/2020,SC,3319,28106,,,496,,82,31425,10.56165473,14.94426032,,2.470623682,5148714,39,0.000644627,9.63E-05,,39,1.59E-05
4/11/2020,SC,3207,26886,,,496,,80,30093,10.65696341,15.46616776,,2.494543187,5148714,38,0.000622874,9.63E-05,,38,1.55E-05
4/10/2020,SC,3065,25118,,,496,,72,28183,10.87535039,16.18270799,,2.349102773,5148714,37,0.000595294,9.63E-05,,37,1.40E-05
4/9/2020,SC,2792,24575,,,241,,67,27367,10.20206818,8.631805158,,2.399713467,5148714,36,0.000542271,4.68E-05,,36,1.30E-05
4/8/2020,SC,2552,22082,,,241,,63,24634,10.3596655,9.443573668,,2.468652038,5148714,35,0.000495658,4.68E-05,,35,1.22E-05
4/7/2020,SC,2417,21263,,,241,,51,23680,10.20692568,9.971038477,,2.110053786,5148714,34,0.000469438,4.68E-05,,34,9.91E-06
4/6/2020,SC,2049,16927,,,241,,44,18976,10.79784992,11.76183504,,2.14738897,5148714,33,0.000397963,4.68E-05,,33,8.55E-06
4/5/2020,SC,2049,16927,,,241,,44,18976,10.79784992,11.76183504,,2.14738897,5148714,32,0.000397963,4.68E-05,,32,8.55E-06
4/4/2020,SC,1917,16397,,,241,,40,18314,10.46740199,12.57172666,,2.086593636,5148714,31,0.000372326,4.68E-05,,31,7.77E-06
4/3/2020,SC,1554,5441,,,241,,31,6995,22.21586848,15.50836551,,1.994851995,5148714,30,0.000301823,4.68E-05,,30,6.02E-06
4/2/2020,SC,1554,5441,,,896,,31,6995,22.21586848,57.65765766,,1.994851995,5148714,29,0.000301823,0.000174024,,29,6.02E-06
4/1/2020,SC,1293,5033,,,349,,26,6326,20.43945621,26.99149265,,2.010827533,5148714,28,0.000251131,6.78E-05,,28,5.05E-06
3/31/2020,SC,1083,4616,,,259,,22,5699,19.00333392,23.91505078,,2.031394275,5148714,27,0.000210344,5.03E-05,,27,4.27E-06
3/30/2020,SC,925,4160,,,129,,18,5085,18.19075713,13.94594595,,1.945945946,5148714,26,0.000179657,2.51E-05,,26,3.50E-06
3/29/2020,SC,774,3015,,,129,,16,3789,20.42755344,16.66666667,,2.067183463,5148714,25,0.000150329,2.51E-05,,25,3.11E-06
3/28/2020,SC,539,2408,,,129,,13,2947,18.28978622,23.93320965,,2.41187384,5148714,24,0.000104686,2.51E-05,,24,2.52E-06
3/27/2020,SC,456,2307,,,109,,9,2763,16.50380022,23.90350877,,1.973684211,5148714,23,8.86E-05,2.12E-05,,23,1.75E-06
3/26/2020,SC,456,2307,,,109,,9,2763,16.50380022,23.90350877,,1.973684211,5148714,22,8.86E-05,2.12E-05,,22,1.75E-06
3/25/2020,SC,424,2303,,,102,,7,2727,15.54822149,24.05660377,,1.650943396,5148714,21,8.24E-05,1.98E-05,,21,1.36E-06
3/24/2020,SC,298,2012,,,,,5,2310,12.9004329,,,1.677852349,5148714,20,5.79E-05,,,20,9.71E-07
3/23/2020,SC,298,1466,,,,,5,1764,16.89342404,,,1.677852349,5148714,19,5.79E-05,,,19,9.71E-07
3/22/2020,SC,195,1466,,,,,3,1661,11.73991571,,,1.538461538,5148714,18,3.79E-05,,,18,5.83E-07
3/21/2020,SC,152,1255,,,,,1,1407,10.80312722,,,0.657894737,5148714,17,2.95E-05,,,17,1.94E-07
3/20/2020,SC,81,833,,,,,1,914,8.86214442,,,1.234567901,5148714,16,1.57E-05,,,16,1.94E-07
3/19/2020,SC,60,583,,,,,1,643,9.33125972,,,1.666666667,5148714,15,1.17E-05,,,15,1.94E-07
3/18/2020,SC,60,583,,,,,1,643,9.33125972,,,1.666666667,5148714,14,1.17E-05,,,14,1.94E-07
3/17/2020,SC,33,311,,,,,1,344,9.593023256,,,3.03030303,5148714,13,6.41E-06,,,13,1.94E-07
3/16/2020,SC,28,235,,,,,1,263,10.64638783,,,3.571428571,5148714,12,5.44E-06,,,12,1.94E-07
3/15/2020,SC,19,154,,,,,,173,10.98265896,,,,5148714,11,3.69E-06,,,11,0.00E+00
3/14/2020,SC,13,110,,,,,,123,10.56910569,,,,5148714,10,2.52E-06,,,10,0.00E+00
3/13/2020,SC,12,75,,,,,,87,13.79310345,,,,5148714,9,2.33E-06,,,9,0.00E+00
3/12/2020,SC,10,48,,,,,,58,17.24137931,,,,5148714,8,1.94E-06,,,8,0.00E+00
3/11/2020,SC,9,32,,,,,,41,21.95121951,,,,5148714,7,1.75E-06,,,7,0.00E+00
3/10/2020,SC,7,24,,,,,,31,22.58064516,,,,5148714,6,1.36E-06,,,6,
3/9/2020,SC,7,24,,,,,,31,22.58064516,,,,5148714,5,1.36E-06,,,5,
3/8/2020,SC,2,8,,,,,,10,20,,,,5148714,4,3.88E-07,,,4,
3/7/2020,SC,2,8,,,,,,10,20,,,,5148714,3,3.88E-07,,,3,
3/6/2020,SC,0,5,,,,,,5,0,,,,5148714,2,0,,,2,
3/5/2020,SC,0,5,,,,,,5,0,,,,5148714,1,0,,,1,
3/4/2020,SC,0,5,,,,,,5,0,,,,5148714,0,0,,,0,
