date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,recovered,death,totalTestResults,percent_positive,hospitalized_percent,recovered_percent,death_percent,population,,positive_norm,hospitalized_norm,recovered_norm,,death_norm
4/13/2020,SD,868,8134,0,,44,207,6,9002,9.642301711,5.069124424,23.84792627,0.69124424,884659,40,0.000981169,4.97E-05,0.000233988,40,6.78E-06
4/12/2020,SD,730,7823,0,,43,197,6,8553,8.535016953,5.890410959,26.98630137,0.821917808,884659,39,0.000825177,4.86E-05,0.000222685,39,6.78E-06
4/11/2020,SD,626,7378,2,,33,189,6,8004,7.821089455,5.271565495,30.19169329,0.958466454,884659,38,0.000707617,3.73E-05,0.000213642,38,6.78E-06
4/10/2020,SD,536,7111,,,29,177,6,7647,7.009284687,5.410447761,33.02238806,1.119402985,884659,37,0.000605883,3.28E-05,0.000200077,37,6.78E-06
4/9/2020,SD,447,6700,,,27,161,6,7147,6.254372464,6.040268456,36.01789709,1.342281879,884659,36,0.000505279,3.05E-05,0.000181991,36,6.78E-06
4/8/2020,SD,393,6355,0,,26,146,6,6748,5.823947836,6.615776081,37.15012723,1.526717557,884659,35,0.000444239,2.94E-05,0.000165035,35,6.78E-06
4/7/2020,SD,320,5948,2,,23,98,6,6268,5.105296745,7.1875,30.625,1.875,884659,34,0.000361721,2.60E-05,0.000110777,34,6.78E-06
4/6/2020,SD,288,5732,0,,23,91,4,6020,4.784053156,7.986111111,31.59722222,1.388888889,884659,33,0.000325549,2.60E-05,0.000102864,33,4.52E-06
4/5/2020,SD,240,5353,,,22,84,2,5593,4.291078133,9.166666667,35,0.833333333,884659,32,0.000271291,2.49E-05,9.50E-05,32,2.26E-06
4/4/2020,SD,212,5012,1,,19,76,2,5224,4.058192956,8.962264151,35.8490566,0.943396226,884659,31,0.00023964,2.15E-05,8.59E-05,31,2.26E-06
4/3/2020,SD,187,4593,3,,17,69,2,4780,3.912133891,9.090909091,36.89839572,1.069518717,884659,30,0.000211381,1.92E-05,7.80E-05,30,2.26E-06
4/2/2020,SD,165,4217,0,,17,57,2,4382,3.765403925,10.3030303,34.54545455,1.212121212,884659,29,0.000186513,1.92E-05,6.44E-05,29,2.26E-06
4/1/2020,SD,129,3903,0,,12,51,2,4032,3.199404762,9.302325581,39.53488372,1.550387597,884659,28,0.000145819,1.36E-05,5.76E-05,28,2.26E-06
3/31/2020,SD,108,3609,0,,12,44,1,3717,2.905569007,11.11111111,40.74074074,0.925925926,884659,27,0.000122081,1.36E-05,4.97E-05,27,1.13E-06
3/30/2020,SD,101,3478,0,,,34,1,3579,2.822017323,,33.66336634,0.99009901,884659,26,0.000114168,,3.84E-05,26,1.13E-06
3/29/2020,SD,90,3127,1,,,29,1,3217,2.797637551,,32.22222222,1.111111111,884659,25,0.000101734,,3.28E-05,25,1.13E-06
3/28/2020,SD,68,2592,0,,,26,1,2660,2.556390977,,38.23529412,1.470588235,884659,24,7.69E-05,,2.94E-05,24,1.13E-06
3/27/2020,SD,58,2387,20,,,21,1,2445,2.372188139,,36.20689655,1.724137931,884659,23,6.56E-05,,2.37E-05,23,1.13E-06
3/26/2020,SD,46,1973,125,,,16,1,2019,2.278355622,,34.7826087,2.173913043,884659,22,5.20E-05,,1.81E-05,22,1.13E-06
3/25/2020,SD,41,819,268,,,,1,860,4.76744186,,,2.43902439,884659,21,4.63E-05,,,21,1.13E-06
3/24/2020,SD,30,790,268,,,,1,820,3.658536585,,,3.333333333,884659,20,3.39E-05,,,20,1.13E-06
3/23/2020,SD,28,762,265,,,,1,790,3.544303797,,,3.571428571,884659,19,3.17E-05,,,19,1.13E-06
3/22/2020,SD,21,740,277,,,,1,761,2.759526938,,,4.761904762,884659,18,2.37E-05,,,18,1.13E-06
3/21/2020,SD,14,691,268,,,,1,705,1.985815603,,,7.142857143,884659,17,1.58E-05,,,17,1.13E-06
3/20/2020,SD,14,663,270,,,,1,677,2.067946824,,,7.142857143,884659,16,1.58E-05,,,16,1.13E-06
3/19/2020,SD,11,551,385,,,,1,562,1.957295374,,,9.090909091,884659,15,1.24E-05,,,15,1.13E-06
3/18/2020,SD,11,551,350,,,,1,562,1.957295374,,,9.090909091,884659,14,1.24E-05,,,14,1.13E-06
3/17/2020,SD,11,551,35,,,,,562,1.957295374,,,,884659,13,1.24E-05,,,13,0.00E+00
3/16/2020,SD,10,494,0,,,,,504,1.984126984,,,,884659,12,1.13E-05,,,12,0.00E+00
3/15/2020,SD,9,327,6,,,,,336,2.678571429,,,,884659,11,1.02E-05,,,11,0.00E+00
3/14/2020,SD,9,182,3,,,,,191,4.712041885,,,,884659,10,1.02E-05,,,10,0.00E+00
3/13/2020,SD,9,73,11,,,,,82,10.97560976,,,,884659,9,1.02E-05,,,9,0.00E+00
3/12/2020,SD,8,27,11,,,,,35,22.85714286,,,,884659,8,9.04E-06,,,8,0.00E+00
3/11/2020,SD,5,13,2,,,,,18,27.77777778,,,,884659,7,5.65E-06,,,7,0.00E+00
3/10/2020,SD,0,11,0,,,,,11,0,,,,884659,6,0,,,6,
3/9/2020,SD,0,5,0,,,,,5,0,,,,884659,5,0,,,5,
3/8/2020,SD,0,5,0,,,,,5,0,,,,884659,4,0,,,4,
3/7/2020,SD,0,5,0,,,,,5,0,,,,884659,3,0,,,3,
,,,,,,,,,,,,,,,2,0,,,2,
,,,,,,,,,,,,,,,1,,,,1,
,,,,,,,,,,,,,,,0,,,,0,
