date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,recovered,death,totalTestResults,percent_positive,hospitalized_percent,recovered_percent,death_percent,population,,positive_norm,hospitalized_norm,recovered_norm,,death_norm
4/13/2020,TN,5610,70585,,,579,1671,109,76195,7.36268784,10.32085561,29.78609626,1.942959002,6829174,40,0.000821476,8.48E-05,0.000244686,40,1.60E-05
4/12/2020,TN,5308,65369,,,567,1504,101,70677,7.510222562,10.68198945,28.3345893,1.902788244,6829174,39,0.000777254,8.30E-05,0.000220232,39,1.48E-05
4/11/2020,TN,5114,61714,,,556,1386,101,66828,7.652480996,10.87211576,27.10207274,1.974970669,6829174,38,0.000748846,8.14E-05,0.000202953,38,1.48E-05
4/10/2020,TN,4862,57937,,,536,1145,98,62799,7.742161499,11.02426985,23.54997943,2.015631427,6829174,37,0.000711946,7.85E-05,0.000167663,37,1.44E-05
4/9/2020,TN,4634,55215,,,505,921,94,59849,7.742819429,10.89771256,19.87483815,2.02848511,6829174,36,0.000678559,7.39E-05,0.000134863,36,1.38E-05
4/8/2020,TN,4362,52256,,,449,592,79,56618,7.704263662,10.29344337,13.57175608,1.811095828,6829174,35,0.00063873,6.57E-05,8.67E-05,35,1.16E-05
4/7/2020,TN,4138,48736,,,408,466,72,52874,7.82615274,9.859835669,11.26147898,1.739971,6829174,34,0.00060593,5.97E-05,6.82E-05,34,1.05E-05
4/6/2020,TN,3802,43548,,,352,356,65,47350,8.029567054,9.258285113,9.363492898,1.709626512,6829174,33,0.000556729,5.15E-05,5.21E-05,33,9.52E-06
4/5/2020,TN,3633,41667,,,328,295,44,45300,8.01986755,9.028351225,8.12001101,1.211120286,6829174,32,0.000531982,4.80E-05,4.32E-05,32,6.44E-06
4/4/2020,TN,3321,38070,,,311,416,43,41391,8.023483366,9.364649202,12.52634749,1.294790726,6829174,31,0.000486296,4.55E-05,6.09E-05,31,6.30E-06
4/3/2020,TN,3067,34772,,,293,248,37,37839,8.105393906,9.553309423,8.0860776,1.20639061,6829174,30,0.000449103,4.29E-05,3.63E-05,30,5.42E-06
4/2/2020,TN,2845,31766,,,263,220,32,34611,8.21993008,9.244288225,7.732864675,1.124780316,6829174,29,0.000416595,3.85E-05,3.22E-05,29,4.69E-06
4/1/2020,TN,2683,29769,,,200,137,24,32452,8.267595218,7.454342154,5.106224376,0.894521059,6829174,28,0.000392873,2.93E-05,2.01E-05,28,3.51E-06
3/31/2020,TN,2239,25121,,,175,121,23,27360,8.183479532,7.815989281,5.404198303,1.027244305,6829174,27,0.000327858,2.56E-05,1.77E-05,27,3.37E-06
3/30/2020,TN,1834,21470,,,148,,13,23304,7.869893581,8.069792803,,0.708833152,6829174,26,0.000268554,2.17E-05,,26,1.90E-06
3/29/2020,TN,1537,19037,,,133,,7,20574,7.470593954,8.65322056,,0.455432661,6829174,25,0.000225064,1.95E-05,,25,1.03E-06
3/28/2020,TN,1373,16965,,,118,,6,18338,7.48718508,8.594319009,,0.436999272,6829174,24,0.000201049,1.73E-05,,24,8.79E-07
3/27/2020,TN,1203,14888,,,103,,6,16091,7.476228948,8.561928512,,0.498753117,6829174,23,0.000176156,1.51E-05,,23,8.79E-07
3/26/2020,TN,957,13952,,,76,,3,14909,6.418941579,7.941483804,,0.313479624,6829174,22,0.000140134,1.11E-05,,22,4.39E-07
3/25/2020,TN,784,11012,,,53,,3,11796,6.646320787,6.760204082,,0.382653061,6829174,21,0.000114802,7.76E-06,,21,4.39E-07
3/24/2020,TN,667,10517,,,,,2,11184,5.963876967,,,0.299850075,6829174,20,9.77E-05,,,20,2.93E-07
3/23/2020,TN,615,3272,,,,,2,3887,15.82197067,,,0.325203252,6829174,19,9.01E-05,,,19,2.93E-07
