date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,recovered,death,totalTestResults,percent_positive,hospitalized_percent,recovered_percent,death_percent,population,,positive_norm,hospitalized_norm,recovered_norm,,death_norm
4/13/2020,TX,13906,119320,,1176,,2269,287,133226,10.43790251,8.456781246,16.31669783,2.063857328,28995881,40,0.000479585,4.06E-05,7.83E-05,40,9.90E-06
4/12/2020,TX,13484,111049,,1338,,2014,271,124533,10.82765211,9.922871551,14.93622071,2.00978938,28995881,39,0.000465032,4.61E-05,6.95E-05,39,9.35E-06
4/11/2020,TX,12561,107972,,1514,,1617,254,120533,10.42121245,12.05318048,12.87317889,2.022131996,28995881,38,0.000433199,5.22E-05,5.58E-05,38,8.76E-06
4/10/2020,TX,11671,104047,,1532,,1366,226,115718,10.08572564,13.12655299,11.70422415,1.936423614,28995881,37,0.000402505,5.28E-05,4.71E-05,37,7.79E-06
4/9/2020,TX,10230,95904,,1439,,1101,199,106134,9.638758551,14.06647116,10.76246334,1.945259042,28995881,36,0.000352809,4.96E-05,3.80E-05,36,6.86E-06
4/8/2020,TX,9353,86905,,1491,,38,177,96258,9.716594984,15.94140917,0.406286753,1.892440928,28995881,35,0.000322563,5.14E-05,1.31E-06,35,6.10E-06
4/7/2020,TX,8262,80387,,1252,,38,154,88649,9.319902086,15.15371581,0.459937061,1.863955459,28995881,34,0.000284937,4.32E-05,1.31E-06,34,5.31E-06
4/6/2020,TX,7276,78081,,1153,,38,140,85357,8.524198367,15.84661902,0.522264981,1.92413414,28995881,33,0.000250932,3.98E-05,1.31E-06,33,4.83E-06
4/5/2020,TX,6812,64126,,827,,38,127,70938,9.602751699,12.14034058,0.557839107,1.864357017,28995881,32,0.00023493,2.85E-05,1.31E-06,32,4.38E-06
4/4/2020,TX,6110,57641,,196,,38,105,63751,9.584163386,3.207855974,0.62193126,1.718494272,28995881,31,0.00021072,6.76E-06,1.31E-06,31,3.62E-06
4/3/2020,TX,5330,50434,,196,,38,90,55764,9.558137867,3.677298311,0.712945591,1.688555347,28995881,30,0.000183819,6.76E-06,1.31E-06,30,3.10E-06
4/2/2020,TX,4669,46010,,196,,38,70,50679,9.212888968,4.197901049,0.813878775,1.499250375,28995881,29,0.000161023,6.76E-06,1.31E-06,29,2.41E-06
4/1/2020,TX,3997,43860,,196,,38,58,47857,8.35196523,4.903677758,0.950713035,1.451088316,28995881,28,0.000137847,6.76E-06,1.31E-06,28,2.00E-06
3/31/2020,TX,3266,39726,,196,,38,41,42992,7.596762188,6.00122474,1.163502756,1.255358236,28995881,27,0.000112637,6.76E-06,1.31E-06,27,1.41E-06
3/30/2020,TX,2877,33003,,,,38,34,35880,8.018394649,,1.320820299,1.181786583,28995881,26,9.92E-05,,1.31E-06,26,1.17E-06
3/29/2020,TX,2552,23208,,,,,34,25760,9.906832298,,,1.332288401,28995881,25,8.80E-05,,,25,1.17E-06
3/28/2020,TX,2052,23208,,,,,27,25260,8.123515439,,,1.315789474,28995881,24,7.08E-05,,,24,9.31E-07
3/27/2020,TX,1731,21935,,,,,23,23666,7.314290543,,,1.328711727,28995881,23,5.97E-05,,,23,7.93E-07
3/26/2020,TX,1396,20028,,,,,18,21424,6.516056759,,,1.289398281,28995881,22,4.81E-05,,,22,6.21E-07
3/25/2020,TX,974,12520,,,,,12,13494,7.218022825,,,1.232032854,28995881,21,3.36E-05,,,21,4.14E-07
3/24/2020,TX,410,10757,,,,,9,11167,3.671532193,,,2.195121951,28995881,20,1.41E-05,,,20,3.10E-07
