date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,recovered,death,totalTestResults,percent_positive,hospitalized_percent,recovered_percent,death_percent,population,,positive_norm,hospitalized_norm,recovered_norm,,death_norm
4/13/2020,UT,2363,43424,,,201,218,18,45787,5.160853517,8.506136267,9.225560728,0.761743546,3205958,40,0.000737065,6.27E-05,6.80E-05,40,5.61E-06
4/12/2020,UT,2303,41931,,,195,,18,44234,5.206402315,8.467216674,,0.781589231,3205958,39,0.00071835,6.08E-05,,39,5.61E-06
4/11/2020,UT,2206,40340,,,190,,18,42546,5.184976261,8.61287398,,0.815956482,3205958,38,0.000688094,5.93E-05,,38,5.61E-06
4/10/2020,UT,2102,38660,,,183,,17,40762,5.156763652,8.705994291,,0.808753568,3205958,37,0.000655654,5.71E-05,,37,5.30E-06
4/9/2020,UT,1976,36397,,,168,,13,38373,5.149454043,8.502024291,,0.657894737,3205958,36,0.000616352,5.24E-05,,36,4.05E-06
4/8/2020,UT,1846,34270,,,158,,13,36116,5.111308008,8.559046587,,0.704225352,3205958,35,0.000575803,4.93E-05,,35,4.05E-06
4/7/2020,UT,1738,32909,,,148,,13,34647,5.016307328,8.515535098,,0.747986191,3205958,34,0.000542116,4.62E-05,,34,4.05E-06
4/6/2020,UT,1675,31719,,,138,,13,33394,5.015871115,8.23880597,,0.776119403,3205958,33,0.000522465,4.30E-05,,33,4.05E-06
4/5/2020,UT,1605,29287,,,124,,8,30892,5.195519876,7.725856698,,0.498442368,3205958,32,0.00050063,3.87E-05,,32,2.50E-06
4/4/2020,UT,1428,26615,,,117,,8,28043,5.092179867,8.193277311,,0.56022409,3205958,31,0.000445421,3.65E-05,,31,2.50E-06
4/3/2020,UT,1246,23002,,,106,,7,24248,5.138568129,8.507223114,,0.561797753,3205958,30,0.000388651,3.31E-05,,30,2.18E-06
4/2/2020,UT,1074,20155,,,100,,7,21229,5.059117245,9.310986965,,0.651769088,3205958,29,0.000335001,3.12E-05,,29,2.18E-06
4/1/2020,UT,1012,20155,,,91,,7,21167,4.78102707,8.992094862,,0.691699605,3205958,28,0.000315662,2.84E-05,,28,2.18E-06
3/31/2020,UT,887,17626,,,73,,5,18513,4.791227786,8.229988726,,0.563697858,3205958,27,0.000276672,2.28E-05,,27,1.56E-06
3/30/2020,UT,806,15197,,,,,4,16003,5.036555646,,,0.496277916,3205958,26,0.000251407,,,26,1.25E-06
3/29/2020,UT,719,13274,,,,,2,13993,5.138283427,,,0.278164117,3205958,25,0.00022427,,,25,6.24E-07
3/28/2020,UT,602,10710,,,,,2,11312,5.321782178,,,0.332225914,3205958,24,0.000187775,,,24,6.24E-07
3/27/2020,UT,480,8764,,,,,2,9244,5.192557334,,,0.416666667,3205958,23,0.000149721,,,23,6.24E-07
3/26/2020,UT,402,7308,,,,,1,7710,5.214007782,,,0.248756219,3205958,22,0.000125392,,,22,3.12E-07
3/25/2020,UT,346,6491,,,,,1,6837,5.060699137,,,0.289017341,3205958,21,0.000107924,,,21,3.12E-07
3/24/2020,UT,299,5524,,,,,1,5823,5.134810235,,,0.334448161,3205958,20,9.33E-05,,,20,3.12E-07
3/23/2020,UT,257,4790,,,,,1,5047,5.092133941,,,0.389105058,3205958,19,8.02E-05,,,19,3.12E-07
3/22/2020,UT,181,3508,,,,,1,3689,4.906478721,,,0.552486188,3205958,18,5.65E-05,,,18,3.12E-07
3/21/2020,UT,136,2424,,,,,0,2560,5.3125,,,0,3205958,17,4.24E-05,,,17,0
3/20/2020,UT,112,2035,,,,,0,2147,5.216581276,,,0,3205958,16,3.49E-05,,,16,0
3/19/2020,UT,78,1448,,,,,0,1526,5.111402359,,,0,3205958,15,2.43E-05,,,15,0
3/18/2020,UT,63,131,,,,,0,194,32.4742268,,,0,3205958,14,1.97E-05,,,14,0
3/17/2020,UT,51,131,,,,,0,182,28.02197802,,,0,3205958,13,1.59E-05,,,13,0
3/16/2020,UT,39,131,,,,,0,170,22.94117647,,,0,3205958,12,1.22E-05,,,12,0
3/15/2020,UT,28,131,,,,,0,159,17.61006289,,,0,3205958,11,8.73E-06,,,11,0
3/14/2020,UT,6,131,,,,,,137,4.379562044,,,,3205958,10,1.87E-06,,,10,0
3/13/2020,UT,6,131,,,,,,137,4.379562044,,,,3205958,9,1.87E-06,,,9,0
3/12/2020,UT,4,131,,,,,,135,2.962962963,,,,3205958,8,1.25E-06,,,8,0
3/11/2020,UT,2,,,,,,,2,100,,,,3205958,7,6.24E-07,,,7,0
3/10/2020,UT,2,,,,,,,2,100,,,,3205958,6,6.24E-07,,,6,
3/9/2020,UT,1,,,,,,,1,100,,,,3205958,5,3.12E-07,,,5,
3/8/2020,UT,1,,,,,,,1,100,,,,3205958,4,3.12E-07,,,4,
3/7/2020,UT,1,,,,,,,1,100,,,,3205958,3,3.12E-07,,,3,
,,,,,,,,,,,,,,,2,0.00E+00,,,2,
,,,,,,,,,,,,,,,1,,,,1,
,,,,,,,,,,,,,,,0,,,,0,
