date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,recovered,death,totalTestResults,percent_positive,hospitalized_percent,recovered_percent,death_percent,population,,positive_norm,hospitalized_norm,recovered_norm,,death_norm
4/13/2020,VA,5747,35654,473,1238,,,149,41401,13.88130721,21.54167392,,2.592657038,8535519,40,0.000673304,0.000145041,,40,1.75E-05
4/12/2020,VA,5274,34711,521,751,,,141,39985,13.18994623,14.23966629,,2.673492605,8535519,39,0.000617889,8.80E-05,,39,1.65E-05
4/11/2020,VA,5077,32922,517,1252,,,130,37999,13.36087792,24.66023242,,2.560567264,8535519,38,0.000594809,0.000146681,,38,1.52E-05
4/10/2020,VA,4509,30950,521,1238,772,,121,35459,12.71609464,27.45619871,,2.683521845,8535519,37,0.000528263,0.000145041,,37,1.42E-05
4/9/2020,VA,4042,28984,627,669,685,,109,33026,12.23884212,16.94705591,,2.69668481,8535519,36,0.000473551,8.03E-05,,36,1.28E-05
4/8/2020,VA,3645,27000,,,615,,75,30645,11.89427313,16.87242798,,2.057613169,8535519,35,0.000427039,7.21E-05,,35,8.79E-06
4/7/2020,VA,3333,25312,,,563,,63,28645,11.63553849,16.89168917,,1.890189019,8535519,34,0.000390486,6.60E-05,,34,7.38E-06
4/6/2020,VA,2878,21643,,,497,,54,24521,11.73687859,17.26893676,,1.876302988,8535519,33,0.000337179,5.82E-05,,33,6.33E-06
4/5/2020,VA,2637,21034,,,431,,51,23671,11.14021376,16.34433068,,1.934015927,8535519,32,0.000308944,5.05E-05,,32,5.98E-06
4/4/2020,VA,2407,19145,,,390,,52,21552,11.16833705,16.202742,,2.1603656,8535519,31,0.000281998,4.57E-05,,31,6.09E-06
4/3/2020,VA,2012,16993,,,312,,46,19005,10.58668771,15.50695825,,2.286282306,8535519,30,0.000235721,3.66E-05,,30,5.39E-06
4/2/2020,VA,1706,15883,,246,305,,41,17589,9.699243846,17.87807737,,2.403282532,8535519,29,0.000199871,3.57E-05,,29,4.80E-06
4/1/2020,VA,1484,13860,,,305,,34,15344,9.671532847,20.55256065,,2.291105121,8535519,28,0.000173862,3.57E-05,,28,3.98E-06
3/31/2020,VA,1250,12151,,,165,,27,13401,9.327662115,13.2,,2.16,8535519,27,0.000146447,1.93E-05,,27,3.16E-06
3/30/2020,VA,1020,11018,,,136,,25,12038,8.4731683,13.33333333,,2.450980392,8535519,26,0.000119501,1.59E-05,,26,2.93E-06
3/29/2020,VA,890,9719,,,112,,22,10609,8.389103591,12.58426966,,2.471910112,8535519,25,0.00010427,1.31E-05,,25,2.58E-06
3/28/2020,VA,739,8427,,,99,,17,9166,8.062404539,13.39648173,,2.300405954,8535519,24,8.66E-05,1.16E-05,,24,1.99E-06
3/27/2020,VA,604,6733,,,83,,14,7337,8.232247513,13.74172185,,2.317880795,8535519,23,7.08E-05,9.72E-06,,23,1.64E-06
3/26/2020,VA,460,5729,,,65,,13,6189,7.432541606,14.13043478,,2.826086957,8535519,22,5.39E-05,7.62E-06,,22,1.52E-06
3/25/2020,VA,391,4979,,,59,,9,5370,7.281191806,15.08951407,,2.301790281,8535519,21,4.58E-05,6.91E-06,,21,1.05E-06
3/24/2020,VA,290,4180,,,45,,7,4470,6.487695749,15.51724138,,2.413793103,8535519,20,3.40E-05,5.27E-06,,20,8.20E-07
3/23/2020,VA,254,3443,,,38,,6,3697,6.870435488,14.96062992,,2.362204724,8535519,19,2.98E-05,4.45E-06,,19,7.03E-07
3/22/2020,VA,219,3118,,,32,,3,3337,6.562780941,14.61187215,,1.369863014,8535519,18,2.57E-05,3.75E-06,,18,3.51E-07
3/21/2020,VA,152,2638,,,25,,2,2790,5.448028674,16.44736842,,1.315789474,8535519,17,1.78E-05,2.93E-06,,17,2.34E-07
3/20/2020,VA,114,2211,,,,,2,2325,4.903225806,,,1.754385965,8535519,16,1.34E-05,,,16,2.34E-07
3/19/2020,VA,94,1829,,,,,2,1923,4.888195528,,,2.127659574,8535519,15,1.10E-05,,,15,2.34E-07
3/18/2020,VA,77,1201,,,,,1,1278,6.025039124,,,1.298701299,8535519,14,9.02E-06,,,14,1.17E-07
3/17/2020,VA,67,961,,,,,1,1028,6.517509728,,,1.492537313,8535519,13,7.85E-06,,,13,1.17E-07
3/16/2020,VA,51,438,,,,,1,489,10.42944785,,,1.960784314,8535519,12,5.98E-06,,,12,1.17E-07
3/15/2020,VA,45,363,,,,,1,408,11.02941176,,,2.222222222,8535519,11,5.27E-06,,,11,1.17E-07
3/14/2020,VA,30,117,,,,,,147,20.40816327,,,,8535519,10,3.51E-06,,,10,0.00E+00
3/13/2020,VA,30,117,,,,,,147,20.40816327,,,,8535519,9,3.51E-06,,,9,0.00E+00
3/12/2020,VA,17,117,,,,,,134,12.68656716,,,,8535519,8,1.99E-06,,,8,0.00E+00
3/11/2020,VA,9,60,,,,,,69,13.04347826,,,,8535519,7,1.05E-06,,,7,0.00E+00
3/10/2020,VA,8,53,,,,,,61,13.1147541,,,,8535519,6,9.37E-07,,,6,
3/9/2020,VA,3,38,9,,,,,41,7.317073171,,,,8535519,5,3.51E-07,,,5,
3/8/2020,VA,2,36,6,,,,,38,5.263157895,,,,8535519,4,2.34E-07,,,4,
3/7/2020,VA,0,31,7,,,,,31,0,,,,8535519,3,0,,,3,
3/6/2020,VA,0,21,10,,,,,21,0,,,,8535519,2,0,,,2,
3/5/2020,VA,0,18,3,,,,,18,0,,,,8535519,1,0,,,1,
,,,,,,,,,,,,,,,0,,,,0,
