date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,recovered,death,totalTestResults,percent_positive,hospitalized_percent,recovered_percent,death_percent,population,,positive_norm,hospitalized_norm,recovered_norm,,death_norm
4/13/2020,VT,748,9618,,33,,15,28,10366,7.215898128,4.411764706,2.005347594,3.743315508,623989,40,0.001198739,5.29E-05,2.40E-05,40,4.49E-05
4/12/2020,VT,727,9114,,34,,15,27,9841,7.387460624,4.676753783,2.063273728,3.71389271,623989,39,0.001165085,5.45E-05,2.40E-05,39,4.33E-05
4/11/2020,VT,711,8547,,77,,15,25,9258,7.679844459,10.82981716,2.109704641,3.516174402,623989,38,0.001139443,0.0001234,2.40E-05,38,4.01E-05
4/10/2020,VT,679,7553,,32,,15,24,8232,8.24829932,4.71281296,2.209131075,3.53460972,623989,37,0.00108816,5.13E-05,2.40E-05,37,3.85E-05
4/9/2020,VT,628,7553,,33,,15,23,8181,7.676323188,5.25477707,2.388535032,3.662420382,623989,36,0.001006428,5.29E-05,2.40E-05,36,3.69E-05
4/8/2020,VT,605,7144,,35,50,15,23,7749,7.807459027,8.26446281,2.479338843,3.801652893,623989,35,0.000969568,8.01E-05,2.40E-05,35,3.69E-05
4/7/2020,VT,575,6554,,29,45,15,23,7129,8.065647356,7.826086957,2.608695652,4,623989,34,0.000921491,7.21E-05,2.40E-05,34,3.69E-05
4/6/2020,VT,543,6090,,28,45,15,23,6633,8.186341022,8.287292818,2.762430939,4.23572744,623989,33,0.000870208,7.21E-05,2.40E-05,33,3.69E-05
4/5/2020,VT,512,6070,,29,45,15,22,6582,7.778790641,8.7890625,2.9296875,4.296875,623989,32,0.000820527,7.21E-05,2.40E-05,32,3.53E-05
4/4/2020,VT,461,5383,,29,45,15,20,5844,7.88843258,9.761388286,3.253796095,4.338394794,623989,31,0.000738795,7.21E-05,2.40E-05,31,3.21E-05
4/3/2020,VT,389,4839,,29,45,15,17,5228,7.440703902,11.56812339,3.856041131,4.370179949,623989,30,0.000623408,7.21E-05,2.40E-05,30,2.72E-05
4/2/2020,VT,338,4711,,29,45,15,17,5049,6.69439493,13.31360947,4.437869822,5.029585799,623989,29,0.000541676,7.21E-05,2.40E-05,29,2.72E-05
4/1/2020,VT,321,4174,,30,45,15,16,4495,7.141268076,14.01869159,4.672897196,4.984423676,623989,28,0.000514432,7.21E-05,2.40E-05,28,2.56E-05
3/31/2020,VT,293,3957,,21,36,15,13,4250,6.894117647,12.28668942,5.119453925,4.436860068,623989,27,0.00046956,5.77E-05,2.40E-05,27,2.08E-05
3/30/2020,VT,256,3674,,,18,,12,3930,6.513994911,7.03125,,4.6875,623989,26,0.000410264,2.88E-05,,26,1.92E-05
3/29/2020,VT,235,3466,,,18,,12,3701,6.349635234,7.659574468,,5.106382979,623989,25,0.000376609,2.88E-05,,25,1.92E-05
3/28/2020,VT,211,2163,,,18,,12,2374,8.887952822,8.530805687,,5.687203791,623989,24,0.000338147,2.88E-05,,24,1.92E-05
3/27/2020,VT,184,2077,,,18,,10,2261,8.137992039,9.782608696,,5.434782609,623989,23,0.000294877,2.88E-05,,23,1.60E-05
3/26/2020,VT,158,1850,,,,,9,2008,7.868525896,,,5.696202532,623989,22,0.00025321,,,22,1.44E-05
3/25/2020,VT,123,1589,,,,,8,1712,7.184579439,,,6.504065041,623989,21,0.000197119,,,21,1.28E-05
3/24/2020,VT,95,1440,,,,,7,1535,6.188925081,,,7.368421053,623989,20,0.000152246,,,20,1.12E-05
3/23/2020,VT,75,1106,,,,,5,1181,6.350550381,,,6.666666667,623989,19,0.000120194,,,19,8.01E-06
3/22/2020,VT,52,1106,,,,,2,1158,4.490500864,,,3.846153846,623989,18,8.33E-05,,,18,3.21E-06
3/21/2020,VT,29,779,,,,,2,808,3.589108911,,,6.896551724,623989,17,4.65E-05,,,17,3.21E-06
3/20/2020,VT,29,779,,,,,2,808,3.589108911,,,6.896551724,623989,16,4.65E-05,,,16,3.21E-06
3/19/2020,VT,22,645,,,,,,667,3.298350825,,,,623989,15,3.53E-05,,,15,0.00E+00
3/18/2020,VT,19,592,,,,,,611,3.109656301,,,,623989,14,3.04E-05,,,14,0.00E+00
3/17/2020,VT,10,495,,,,,,505,1.98019802,,,,623989,13,1.60E-05,,,13,0.00E+00
3/16/2020,VT,8,421,,,,,,429,1.864801865,,,,623989,12,1.28E-05,,,12,0.00E+00
3/15/2020,VT,4,348,,,,,,352,1.136363636,,,,623989,11,6.41E-06,,,11,0.00E+00
3/14/2020,VT,4,227,,,,,,231,1.731601732,,,,623989,10,6.41E-06,,,10,0.00E+00
3/13/2020,VT,2,142,,,,,,144,1.388888889,,,,623989,9,3.21E-06,,,9,0.00E+00
3/12/2020,VT,2,97,,,,,,99,2.02020202,,,,623989,8,3.21E-06,,,8,0.00E+00
3/11/2020,VT,1,62,,,,,,63,1.587301587,,,,623989,7,1.60E-06,,,7,0.00E+00
3/10/2020,VT,1,40,,,,,,41,2.43902439,,,,623989,6,1.60E-06,,,6,
3/9/2020,VT,1,34,,,,,,35,2.857142857,,,,623989,5,1.60E-06,,,5,
3/8/2020,VT,1,28,,,,,,29,3.448275862,,,,623989,4,1.60E-06,,,4,
3/7/2020,VT,0,16,,,,,,16,0,,,,623989,3,0,,,3,
3/6/2020,VT,0,8,,,,,,8,0,,,,623989,2,0,,,2,
,,,,,,,,,,,,,,,1,,,,1,
,,,,,,,,,,,,,,,0,,,,0,
