date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,recovered,death,totalTestResults,percent_positive,hospitalized_percent,recovered_percent,death_percent,population,,positive_norm,hospitalized_norm,recovered_norm,,death_norm
4/13/2020,WA,10411,83391,,527,,,508,93802,11.09891047,5.061953703,,4.879454423,7614893,40,0.001367189,6.92E-05,,40,6.67E-05
4/12/2020,WA,10224,83391,,642,,,491,93615,10.92132671,6.279342723,,4.802425665,7614893,39,0.001342632,8.43E-05,,39,6.45E-05
4/11/2020,WA,10224,83391,,649,,,491,93615,10.92132671,6.347809077,,4.802425665,7614893,38,0.001342632,8.52E-05,,38,6.45E-05
4/10/2020,WA,10224,83391,,642,,,446,93615,10.92132671,6.279342723,,4.36228482,7614893,37,0.001342632,8.43E-05,,37,5.86E-05
4/9/2020,WA,9769,83391,,650,,,446,93160,10.4862602,6.653700481,,4.565462176,7614893,36,0.001282881,8.54E-05,,36,5.86E-05
4/8/2020,WA,9506,83391,,655,,,446,92897,10.23283852,6.89038502,,4.691773617,7614893,35,0.001248343,8.60E-05,,35,5.86E-05
4/7/2020,WA,9043,83391,,641,,,393,92434,9.783196659,7.088355634,,4.345902908,7614893,34,0.001187541,8.42E-05,,34,5.16E-05
4/6/2020,WA,8679,83391,,638,,,378,92070,9.426523297,7.351077313,,4.355340477,7614893,33,0.00113974,8.38E-05,,33,4.96E-05
4/5/2020,WA,8332,80327,,581,,,365,88659,9.397805073,6.973115699,,4.380700912,7614893,32,0.001094172,7.63E-05,,32,4.79E-05
4/4/2020,WA,7934,75633,,574,,,345,83567,9.494178324,7.234686161,,4.348374086,7614893,31,0.001041906,7.54E-05,,31,4.53E-05
4/3/2020,WA,7548,72833,,,,,325,80381,9.390278797,,,4.305776365,7614893,30,0.000991216,,,30,4.27E-05
4/2/2020,WA,6962,68814,,,,,296,75776,9.187605574,,,4.251651824,7614893,29,0.000914261,,,29,3.89E-05
4/1/2020,WA,6593,60566,,,,,270,67159,9.817001444,,,4.095252541,7614893,28,0.000865803,,,28,3.55E-05
3/31/2020,WA,6030,60566,,,,,252,66596,9.054597874,,,4.179104478,7614893,27,0.000791869,,,27,3.31E-05
3/30/2020,WA,5566,60566,,,,,239,66132,8.416500333,,,4.293927416,7614893,26,0.000730936,,,26,3.14E-05
3/29/2020,WA,5102,54896,,,,,228,59998,8.503616787,,,4.468835751,7614893,25,0.000670003,,,25,2.99E-05
3/28/2020,WA,4707,49015,,,,,211,53722,8.761773575,,,4.482685362,7614893,24,0.000618131,,,24,2.77E-05
3/27/2020,WA,4238,43173,,,,,191,47411,8.938853852,,,4.50684285,7614893,23,0.000556541,,,23,2.51E-05
3/26/2020,WA,3745,31712,,,,,177,35457,10.56208929,,,4.726301736,7614893,22,0.000491799,,,22,2.32E-05
3/25/2020,WA,3275,31712,,,,,155,34987,9.360619659,,,4.732824427,7614893,21,0.000430078,,,21,2.04E-05
3/24/2020,WA,2823,31712,,,,,142,34535,8.174315911,,,5.030109812,7614893,20,0.000370721,,,20,1.86E-05
3/23/2020,WA,2450,28879,,,,,133,31329,7.820230457,,,5.428571429,7614893,19,0.000321738,,,19,1.75E-05
3/22/2020,WA,2242,25328,,,,,122,27570,8.132027566,,,5.441570027,7614893,18,0.000294423,,,18,1.60E-05
3/21/2020,WA,2006,21719,,,,,108,23725,8.455216017,,,5.383848455,7614893,17,0.000263431,,,17,1.42E-05
3/20/2020,WA,1773,19336,,,,,102,21109,8.399260979,,,5.752961083,7614893,16,0.000232833,,,16,1.34E-05
