date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,recovered,death,totalTestResults,percent_positive,hospitalized_percent,recovered_percent,death_percent,population,,positive_norm,hospitalized_norm,recovered_norm,,death_norm
4/13/2020,WI,3428,36769,273,442,993,,154,40197,8.527999602,28.96732789,,4.492415403,5822434,40,0.000588757,0.000170547,,40,2.64E-05
4/12/2020,WI,3341,35916,,442,974,,144,39257,8.5105841,29.15294822,,4.3100868,5822434,39,0.000573815,0.000167284,,39,2.47E-05
4/11/2020,WI,3213,34680,,444,950,,137,37893,8.479138627,29.56738251,,4.263927793,5822434,38,0.000551831,0.000163162,,38,2.35E-05
4/10/2020,WI,3068,33225,,,904,,128,36293,8.45342077,29.4654498,,4.172099087,5822434,37,0.000526927,0.000155262,,37,2.20E-05
4/9/2020,WI,2885,31424,,,843,,111,34309,8.408872308,29.22010399,,3.847487002,5822434,36,0.000495497,0.000144785,,36,1.91E-05
4/8/2020,WI,2756,30115,,,790,,99,32871,8.384290104,28.66473149,,3.592162554,5822434,35,0.000473342,0.000135682,,35,1.70E-05
4/7/2020,WI,2578,28512,,,745,,92,31090,8.292055323,28.89837083,,3.568657874,5822434,34,0.00044277,0.000127953,,34,1.58E-05
4/6/2020,WI,2440,26574,,,668,,77,29014,8.409733232,27.37704918,,3.155737705,5822434,33,0.000419069,0.000114729,,33,1.32E-05
4/5/2020,WI,2267,25169,,,624,,68,27436,8.262866307,27.52536392,,2.999558888,5822434,32,0.000389356,0.000107172,,32,1.17E-05
4/4/2020,WI,2112,23859,,,588,,56,25971,8.132147395,27.84090909,,2.651515152,5822434,31,0.000362735,0.000100989,,31,9.62E-06
4/3/2020,WI,1912,22377,,,487,,37,24289,7.871876158,25.4707113,,1.935146444,5822434,30,0.000328385,8.36E-05,,30,6.35E-06
4/2/2020,WI,1730,20317,,,461,,31,22047,7.84687259,26.64739884,,1.791907514,5822434,29,0.000297127,7.92E-05,,29,5.32E-06
4/1/2020,WI,1550,18819,,,398,,24,20369,7.609602828,25.67741935,,1.548387097,5822434,28,0.000266212,6.84E-05,,28,4.12E-06
3/31/2020,WI,1351,17375,,,337,,16,18726,7.21456798,24.94448557,,1.18430792,5822434,27,0.000232034,5.79E-05,,27,2.75E-06
3/30/2020,WI,1221,15856,,,,,14,17077,7.149967793,,,1.146601147,5822434,26,0.000209706,,,26,2.40E-06
3/29/2020,WI,1112,16550,,,,,13,17662,6.296002718,,,1.169064748,5822434,25,0.000190985,,,25,2.23E-06
3/28/2020,WI,989,15232,,,,,13,16221,6.097034708,,,1.31445905,5822434,24,0.00016986,,,24,2.23E-06
3/27/2020,WI,842,13140,,,,,13,13982,6.022028322,,,1.543942993,5822434,23,0.000144613,,,23,2.23E-06
3/26/2020,WI,707,11583,,,,,8,12290,5.752644426,,,1.131541726,5822434,22,0.000121427,,,22,1.37E-06
3/25/2020,WI,585,10089,,,,,7,10674,5.480607083,,,1.196581197,5822434,21,0.000100473,,,21,1.20E-06
3/24/2020,WI,457,8237,,,,,5,8694,5.256498735,,,1.094091904,5822434,20,7.85E-05,,,20,8.59E-07
3/23/2020,WI,416,7050,,,,,5,7466,5.571926065,,,1.201923077,5822434,19,7.14E-05,,,19,8.59E-07
3/22/2020,WI,385,6230,,,,,4,6615,5.82010582,,,1.038961039,5822434,18,6.61E-05,,,18,6.87E-07
3/21/2020,WI,281,4628,,,,,4,4909,5.724180077,,,1.423487544,5822434,17,4.83E-05,,,17,6.87E-07
3/20/2020,WI,206,3455,,,,,3,3661,5.626877902,,,1.45631068,5822434,16,3.54E-05,,,16,5.15E-07
3/19/2020,WI,155,2192,,,,,,2347,6.604175543,,,,5822434,15,2.66E-05,,,15,0.00E+00
3/18/2020,WI,106,1577,,,,,,1683,6.298276887,,,,5822434,14,1.82E-05,,,14,0.00E+00
3/17/2020,WI,72,1038,,,,,,1110,6.486486486,,,,5822434,13,1.24E-05,,,13,0.00E+00
3/16/2020,WI,47,504,,,,,,551,8.529945554,,,,5822434,12,8.07E-06,,,12,0.00E+00
3/15/2020,WI,33,313,,,,,,346,9.537572254,,,,5822434,11,5.67E-06,,,11,0.00E+00
3/14/2020,WI,19,169,,,,,,188,10.10638298,,,,5822434,10,3.26E-06,,,10,0.00E+00
3/13/2020,WI,19,169,,,,,,188,10.10638298,,,,5822434,9,3.26E-06,,,9,0.00E+00
3/12/2020,WI,8,84,,,,,,92,8.695652174,,,,5822434,8,1.37E-06,,,8,0.00E+00
3/11/2020,WI,3,43,,,,,,46,6.52173913,,,,5822434,7,5.15E-07,,,7,0.00E+00
3/10/2020,WI,2,36,,,,,,38,5.263157895,,,,5822434,6,3.43E-07,,,6,
3/9/2020,WI,1,36,,,,,,37,2.702702703,,,,5822434,5,1.72E-07,,,5,
3/8/2020,WI,1,31,12,,,,,32,3.125,,,,5822434,4,1.72E-07,,,4,
3/7/2020,WI,1,31,12,,,,,32,3.125,,,,5822434,3,1.72E-07,,,3,
3/6/2020,WI,1,31,12,,,,,32,3.125,,,,5822434,2,1.72E-07,,,2,
3/5/2020,WI,1,19,6,,,,,20,5,,,,5822434,1,1.72E-07,,,1,
3/4/2020,WI,1,19,6,,,,,20,5,,,,5822434,0,1.72E-07,,,0,
