date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,recovered,death,totalTestResults,percent_positive,hospitalized_percent,recovered_percent,death_percent,population,,positive_norm,hospitalized_norm,recovered_norm,,death_norm
4/13/2020,WV,626,16029,,95,164,85,9,16655,3.758631042,26.19808307,13.57827476,1.437699681,1792147,40,0.000349302,9.15E-05,4.74E-05,40,5.02E-06
4/12/2020,WV,611,15646,,81,,83,8,16257,3.758381005,13.25695581,13.58428805,1.309328969,1792147,39,0.000340932,4.52E-05,4.63E-05,39,4.46E-06
4/11/2020,WV,577,14875,,85,,63,5,15452,3.734144447,14.73136915,10.91854419,0.866551127,1792147,38,0.00032196,4.74E-05,3.52E-05,38,2.79E-06
4/10/2020,WV,554,14001,,85,,63,5,14555,3.806252147,15.34296029,11.37184116,0.902527076,1792147,37,0.000309126,4.74E-05,3.52E-05,37,2.79E-06
4/9/2020,WV,523,13340,,,,,5,13863,3.772632186,,,0.956022945,1792147,36,0.000291829,,,36,2.79E-06
4/8/2020,WV,462,12083,,,,,4,12545,3.682742128,,,0.865800866,1792147,35,0.000257791,,,35,2.23E-06
4/7/2020,WV,412,11647,,,,,4,12059,3.416535368,,,0.970873786,1792147,34,0.000229892,,,34,2.23E-06
4/6/2020,WV,345,9595,,,,,4,9940,3.47082495,,,1.15942029,1792147,33,0.000192507,,,33,2.23E-06
4/5/2020,WV,324,8514,,,,,3,8838,3.66598778,,,0.925925926,1792147,32,0.000180789,,,32,1.67E-06
4/4/2020,WV,282,7404,,,,,2,7686,3.669008587,,,0.709219858,1792147,31,0.000157353,,,31,1.12E-06
4/3/2020,WV,237,6130,,,1,,2,6367,3.722318203,0.421940928,,0.843881857,1792147,30,0.000132244,5.58E-07,,30,1.12E-06
4/2/2020,WV,217,5276,,,1,,2,5493,3.950482432,0.460829493,,0.921658986,1792147,29,0.000121084,5.58E-07,,29,1.12E-06
4/1/2020,WV,191,4384,,,1,,1,4575,4.174863388,0.523560209,,0.523560209,1792147,28,0.000106576,5.58E-07,,28,5.58E-07
3/31/2020,WV,162,3981,,,1,,1,4143,3.910209993,0.617283951,,0.617283951,1792147,27,9.04E-05,5.58E-07,,27,5.58E-07
3/30/2020,WV,126,2984,0,,1,,1,3110,4.051446945,0.793650794,,0.793650794,1792147,26,7.03E-05,5.58E-07,,26,5.58E-07
3/29/2020,WV,113,2705,0,,1,,0,2818,4.009936125,0.884955752,,0,1792147,25,6.31E-05,5.58E-07,,25,0
3/28/2020,WV,96,2331,6,,1,,0,2427,3.955500618,1.041666667,,0,1792147,24,5.36E-05,5.58E-07,,24,0
3/27/2020,WV,76,1779,43,,1,,0,1855,4.09703504,1.315789474,,0,1792147,23,4.24E-05,5.58E-07,,23,0
3/26/2020,WV,51,1031,19,,1,,0,1082,4.71349353,1.960784314,,0,1792147,22,2.85E-05,5.58E-07,,22,0
3/25/2020,WV,39,759,6,,1,,0,798,4.887218045,2.564102564,,0,1792147,21,2.18E-05,5.58E-07,,21,0
3/24/2020,WV,20,610,0,,1,,0,630,3.174603175,5,,0,1792147,20,1.12E-05,5.58E-07,,20,0
3/23/2020,WV,16,444,4,,1,,0,460,3.47826087,6.25,,0,1792147,19,8.93E-06,5.58E-07,,19,0
3/22/2020,WV,12,385,1,,1,,0,397,3.022670025,8.333333333,,0,1792147,18,6.70E-06,5.58E-07,,18,0
3/21/2020,WV,11,330,2,,1,,0,341,3.225806452,9.090909091,,0,1792147,17,6.14E-06,5.58E-07,,17,0
3/20/2020,WV,7,219,13,,,,0,226,3.097345133,,,0,1792147,16,3.91E-06,,,16,0
3/19/2020,WV,2,143,3,,,,0,145,1.379310345,,,0,1792147,15,1.12E-06,,,15,0
3/18/2020,WV,1,122,14,,,,0,123,0.81300813,,,0,1792147,14,5.58E-07,,,14,0
3/17/2020,WV,0,80,4,,,,0,80,0,,,,1792147,13,0,,,13,0
3/16/2020,WV,0,80,4,,,,0,80,0,,,,1792147,12,0,,,12,0
3/15/2020,WV,0,38,1,,,,0,38,0,,,,1792147,11,0,,,11,0
3/14/2020,WV,0,26,5,,,,,26,0,,,,1792147,10,0,,,10,0
3/13/2020,WV,0,17,4,,,,,17,0,,,,1792147,9,0,,,9,0
3/12/2020,WV,0,7,1,,,,,7,0,,,,1792147,8,0,,,8,0
3/11/2020,WV,0,3,2,,,,,3,0,,,,1792147,7,0,,,7,0
3/10/2020,WV,0,2,3,,,,,2,0,,,,1792147,6,0,,,6,
3/9/2020,WV,0,2,3,,,,,2,0,,,,1792147,5,0,,,5,
3/8/2020,WV,0,2,3,,,,,2,0,,,,1792147,4,0,,,4,
3/7/2020,WV,0,2,3,,,,,2,0,,,,1792147,3,0,,,3,
3/6/2020,WV,0,1,4,,,,,1,0,,,,1792147,2,0,,,2,
,,,,,,,,,,,,,,,1,,,,1,
,,,,,,,,,,,,,,,0,,,,0,
