date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,recovered,death,totalTestResults,percent_positive,hospitalized_percent,recovered_percent,death_percent,population,,positive_norm,hospitalized_norm,recovered_norm,,death_norm
4/13/2020,WY,275,5689,,,41,138,1,5964,4.610999329,14.90909091,50.18181818,0.363636364,578759,40,0.000475155,7.08E-05,0.000238441,40,1.73E-06
4/12/2020,WY,261,5198,,,40,137,0,5459,4.781095439,15.3256705,52.49042146,0,578759,39,0.000450965,6.91E-05,0.000236713,39,0
4/11/2020,WY,261,5198,,,37,129,0,5459,4.781095439,14.17624521,49.42528736,0,578759,38,0.000450965,6.39E-05,0.000222891,38,0
4/10/2020,WY,320,4736,,,37,105,0,5056,6.329113924,11.5625,32.8125,0,578759,37,0.000552907,6.39E-05,0.000181423,37,0
4/9/2020,WY,230,3920,,,34,94,0,4150,5.542168675,14.7826087,40.86956522,0,578759,36,0.000397402,5.87E-05,0.000162416,36,0
4/8/2020,WY,221,3843,,,33,62,0,4064,5.437992126,14.9321267,28.05429864,0,578759,35,0.000381852,5.70E-05,0.000107126,35,0
4/7/2020,WY,216,3789,,,33,62,0,4005,5.393258427,15.27777778,28.7037037,0,578759,34,0.000373212,5.70E-05,0.000107126,34,0
4/6/2020,WY,210,3719,,,23,52,0,3929,5.344871469,10.95238095,24.76190476,0,578759,33,0.000362845,3.97E-05,8.98E-05,33,0
4/5/2020,WY,197,3040,,,23,50,0,3237,6.085881989,11.6751269,25.38071066,0,578759,32,0.000340383,3.97E-05,8.64E-05,32,0
4/4/2020,WY,187,2945,,,23,49,0,3132,5.970625798,12.29946524,26.20320856,0,578759,31,0.000323105,3.97E-05,8.47E-05,31,0
4/3/2020,WY,162,2704,,,21,37,0,2866,5.65247732,12.96296296,22.83950617,0,578759,30,0.000279909,3.63E-05,6.39E-05,30,0
4/2/2020,WY,150,2439,,,19,31,0,2589,5.793742758,12.66666667,20.66666667,0,578759,29,0.000259175,3.28E-05,5.36E-05,29,0
4/1/2020,WY,130,2218,,,18,31,0,2348,5.536626917,13.84615385,23.84615385,0,578759,28,0.000224619,3.11E-05,5.36E-05,28,0
3/31/2020,WY,109,1999,,,17,26,0,2108,5.170777989,15.59633028,23.85321101,0,578759,27,0.000188334,2.94E-05,4.49E-05,27,0
3/30/2020,WY,94,1840,,,17,24,0,1934,4.860392968,18.08510638,25.53191489,0,578759,26,0.000162416,2.94E-05,4.15E-05,26,0
3/29/2020,WY,86,1554,,,15,20,0,1640,5.243902439,17.44186047,23.25581395,0,578759,25,0.000148594,2.59E-05,3.46E-05,25,0
3/28/2020,WY,82,1475,,,14,18,0,1557,5.266538215,17.07317073,21.95121951,0,578759,24,0.000141682,2.42E-05,3.11E-05,24,0
3/27/2020,WY,70,1211,,,11,17,0,1281,5.464480874,15.71428571,24.28571429,0,578759,23,0.000120948,1.90E-05,2.94E-05,23,0
3/26/2020,WY,53,1052,,,,12,,1105,4.79638009,,22.64150943,,578759,22,9.16E-05,,2.07E-05,22,0.00E+00
3/25/2020,WY,44,954,,,,7,,998,4.408817635,,15.90909091,,578759,21,7.60E-05,,1.21E-05,21,0.00E+00
3/24/2020,WY,29,710,,,,,,739,3.924221922,,,,578759,20,5.01E-05,,,20,0
3/23/2020,WY,26,592,,,,,,618,4.207119741,,,,578759,19,4.49E-05,,,19,0
3/22/2020,WY,24,438,,,,,,462,5.194805195,,,,578759,18,4.15E-05,,,18,0
3/21/2020,WY,23,438,,,,,,461,4.989154013,,,,578759,17,3.97E-05,,,17,0
3/20/2020,WY,19,331,,,,,,350,5.428571429,,,,578759,16,3.28E-05,,,16,0
3/19/2020,WY,18,271,,,,,,289,6.228373702,,,,578759,15,3.11E-05,,,15,0
3/18/2020,WY,15,178,,,,,,193,7.772020725,,,,578759,14,2.59E-05,,,14,0
3/17/2020,WY,10,95,,,,,,105,9.523809524,,,,578759,13,1.73E-05,,,13,0
3/16/2020,WY,3,,,,,,,3,100,,,,578759,12,5.18E-06,,,12,0
3/15/2020,WY,3,,,,,,,3,100,,,,578759,11,5.18E-06,,,11,0
3/14/2020,WY,2,,,,,,,2,100,,,,578759,10,3.46E-06,,,10,0
3/13/2020,WY,1,,,,,,,1,100,,,,578759,9,1.73E-06,,,9,0
3/12/2020,WY,1,,,,,,,1,100,,,,578759,8,1.73E-06,,,8,0
3/11/2020,WY,0,,,,,,,0,,,,,578759,7,0,,,7,0
3/10/2020,WY,0,0,0,,,,,0,,,,,578759,6,0,,,6,
3/9/2020,WY,0,,,,,,,0,,,,,578759,5,0,,,5,
3/8/2020,WY,0,,,,,,,0,,,,,578759,4,0,,,4,
3/7/2020,WY,0,,,,,,,0,,,,,578759,3,0,,,3,
,,,,,,,,,,,,,,,2,0,,,2,
,,,,,,,,,,,,,,,1,,,,1,
,,,,,,,,,,,,,,,0,,,,0,
